Market Capitalisation Categorisation,Purchase Price Categorisation,File Date,Ticker,Sector,Market,Stock Name,Market Capitalisation,Purchase Price,Rank
Medium,Medium,01/02/2023,GNRT,Transportation,NYSE,"Gener8 Maritime, Inc.",462920000.00,48846.94,3
Huge,Large,01/02/2023,DIS,Consumer Services,NYSE,Walt Disney Company (The),165110000000.00,64358.89,2
Small,Large,01/02/2023,IFEU,n/a,NASDAQ,iShares FTSE EPRA/NAREIT Europe Index Fund,42370000.00,72093.02,5
Large,Very Large,01/02/2023,DGI,Consumer Services,NYSE,"DigitalGlobe, Inc",1960000000.00,98856.26,5
Large,Medium,01/02/2023,TQQQ,n/a,NASDAQ,ProShares UltraPro QQQ,1720000000.00,47917.48,3
Large,Large,01/02/2023,CAVM,Technology,NASDAQ,"Cavium, Inc.",4480000000.00,74537.05,2
Large,Medium,01/02/2023,SANM,Technology,NASDAQ,Sanmina Corporation,2830000000.00,47702.06,4
Small,Medium,01/02/2023,BONT,Consumer Services,NASDAQ,"The Bon-Ton Stores, Inc.",10540000.00,49262.09,3
Medium,Very Large,01/02/2023,RARX,Health Care,NASDAQ,"Ra Pharmaceuticals, Inc.",480690000.00,99180.45,4
Small,Large,01/02/2023,GLBR,Finance,NASDAQ,"Global Brokerage, Inc.",12290000.00,74197.99,2
Huge,Medium,01/02/2023,ORCL,Technology,NYSE,Oracle Corporation,185530000000.00,44152.27,2
Medium,Very Large,01/02/2023,NERV,Health Care,NASDAQ,"Minerva Neurosciences, Inc",356040000.00,98203.42,5
Large,Medium,01/02/2023,FCNCA,Finance,NASDAQ,"First Citizens BancShares, Inc.",4470000000.00,49184.40,2
Large,Large,01/02/2023,TWTR,Technology,NYSE,"Twitter, Inc.",12180000000.00,74088.77,4
Small,Small,01/02/2023,PAVM,Health Care,NASDAQ,PAVmed Inc.,63590000.00,24699.20,1
Huge,Large,01/02/2023,KHC,Consumer Non-Durables,NASDAQ,The Kraft Heinz Company,108870000000.00,70939.69,1
Large,Very Large,01/02/2023,ENS,Consumer Non-Durables,NYSE,Enersys,3350000000.00,99299.19,3
Large,Very Large,01/02/2023,CORE,Consumer Non-Durables,NASDAQ,"Core-Mark Holding Company, Inc.",1590000000.00,99979.04,1
Small,Large,01/02/2023,GRID,n/a,NASDAQ,First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index,21910000.00,74505.88,1
Small,Medium,01/02/2023,AKER,Health Care,NASDAQ,Akers Biosciences Inc,11120000.00,49686.26,2
Small,Small,01/02/2023,HYND,n/a,NASDAQ,WisdomTree Negative Duration High Yield Bond Fund,16530000.00,23121.43,3
Small,Very Large,01/02/2023,STLR,Finance,NASDAQ,Stellar Acquisition III Inc.,90190000.00,99129.78,2
Large,Small,01/02/2023,DGRW,n/a,NASDAQ,WisdomTree U.S. Quality Dividend Growth Fund,1450000000.00,24085.27,4
Small,Large,01/02/2023,ASFI,Finance,NASDAQ,"Asta Funding, Inc.",56440000.00,72561.29,4
Large,Small,01/02/2023,MET,Finance,NYSE,"MetLife, Inc.",57580000000.00,24515.47,3
Medium,Large,01/02/2023,OMNT,Miscellaneous,NASDAQ,"Ominto, Inc.",151540000.00,73396.07,5
Medium,Medium,01/02/2023,VVUS,Health Care,NASDAQ,"VIVUS, Inc.",121540000.00,45993.62,5
Medium,Medium,01/02/2023,FENG,Consumer Services,NYSE,Phoenix New Media Limited,203150000.00,49434.62,1
Huge,Medium,01/02/2023,V,Miscellaneous,NYSE,Visa Inc.,217120000000.00,34556.47,4
Large,Large,01/02/2023,EVHC,Health Care,NYSE,Envision Healthcare Corporation,6890000000.00,74347.83,3
Medium,Very Large,01/02/2023,ASMB,Health Care,NASDAQ,"Assembly Biosciences, Inc.",377450000.00,99224.20,3
Large,Medium,01/02/2023,QUOT,Consumer Services,NYSE,Quotient Technology Inc.,1040000000.00,49737.92,1
Huge,Small,01/02/2023,HD,Consumer Services,NYSE,"Home Depot, Inc. (The)",187270000000.00,11127.23,1
Medium,Large,01/02/2023,APTI,Technology,NASDAQ,"Apptio, Inc.",654410000.00,74931.58,1
Medium,Medium,01/02/2023,DRRX,Health Care,NASDAQ,DURECT Corporation,185980000.00,48977.73,2
Huge,Medium,01/02/2023,V,Miscellaneous,NYSE,Visa Inc.,217120000000.00,47838.95,1
Large,Small,01/02/2023,CFR,Finance,NYSE,"Cullen/Frost Bankers, Inc.",6190000000.00,24052.69,5
Small,Small,01/02/2023,ANDA,Finance,NASDAQ,Andina Acquisition Corp. II,53580000.00,22721.93,5
Huge,Very Large,01/03/2023,MRK,Health Care,NYSE,"Merck & Company, Inc.",172230000000.00,85268.38,2
Huge,Large,01/03/2023,INTC,Technology,NASDAQ,Intel Corporation,165800000000.00,63780.91,4
Large,Small,01/03/2023,APOG,Capital Goods,NASDAQ,"Apogee Enterprises, Inc.",1600000000.00,24671.93,2
Medium,Medium,01/03/2023,ECHO,Transportation,NASDAQ,"Echo Global Logistics, Inc.",594580000.00,49856.99,2
Large,Small,01/03/2023,PLD,Consumer Services,NYSE,"Prologis, Inc.",30830000000.00,24629.79,3
Huge,Medium,01/03/2023,TM,Capital Goods,NYSE,Toyota Motor Corp Ltd Ord,156020000000.00,32917.59,1
Huge,Large,01/03/2023,SNY,Health Care,NYSE,Sanofi,123340000000.00,71475.09,2
Medium,Small,01/03/2023,BAS,Energy,NYSE,"Basic Energy Services, Inc.",595410000.00,23713.82,4
Small,Small,01/03/2023,DWLV,n/a,NASDAQ,PowerShares DWA Momentum & Low Volatility Rotation Portfolio,4200000.00,22170.33,2
Small,Very Large,01/03/2023,ROYT,Energy,NYSE,Pacific Coast Oil Trust,61730000.00,99754.65,1
Large,Small,01/03/2023,AIR,Capital Goods,NYSE,AAR Corp.,1210000000.00,24811.85,1
Large,Medium,01/03/2023,PATK,Basic Industries,NASDAQ,"Patrick Industries, Inc.",1270000000.00,49182.58,4
Large,Large,01/03/2023,KEYS,Capital Goods,NYSE,Keysight Technologies Inc.,7040000000.00,73202.42,3
Huge,Small,01/03/2023,UNH,Health Care,NYSE,UnitedHealth Group Incorporated,175030000000.00,17656.83,2
Medium,Medium,01/03/2023,FSBW,Finance,NASDAQ,"FS Bancorp, Inc.",139320000.00,49918.12,1
Medium,Small,01/03/2023,BREW,Consumer Non-Durables,NASDAQ,"Craft Brew Alliance, Inc.",320720000.00,24027.44,2
Medium,Medium,01/03/2023,FLXN,Health Care,NASDAQ,"Flexion Therapeutics, Inc.",546870000.00,48000.52,5
Large,Large,01/03/2023,PAA,Energy,NYSE,"Plains All American Pipeline, L.P.",17990000000.00,73912.72,2
Huge,Medium,01/03/2023,KHC,Consumer Non-Durables,NASDAQ,The Kraft Heinz Company,108870000000.00,29722.35,2
Medium,Small,01/03/2023,TTI,Energy,NYSE,"Tetra Technologies, Inc.",364090000.00,24278.12,1
Medium,Very Large,01/03/2023,BPT,Energy,NYSE,BP Prudhoe Bay Royalty Trust,445120000.00,99716.89,2
Medium,Small,01/03/2023,CO,Finance,NYSE,China Cord Blood Corporation,666520000.00,23993.25,3
Large,Very Large,01/03/2023,MLNX,Technology,NASDAQ,"Mellanox Technologies, Ltd.",2160000000.00,98340.82,4
Large,Medium,01/03/2023,SPNC,Health Care,NASDAQ,The Spectranetics Corporation,1300000000.00,48883.70,5
Large,Medium,01/03/2023,WETF,Finance,NASDAQ,"WisdomTree Investments, Inc.",1360000000.00,49538.72,1
Large,Medium,01/03/2023,EVHC,Health Care,NYSE,Envision Healthcare Corporation,6890000000.00,49371.25,2
Large,Small,01/03/2023,FLR,Basic Industries,NYSE,Fluor Corporation,6300000000.00,24086.75,4
Medium,Large,01/03/2023,CAMT,Capital Goods,NASDAQ,Camtek Ltd.,197240000.00,74129.42,5
Small,Very Large,01/03/2023,TROV,Health Care,NASDAQ,"TrovaGene, Inc.",29240000.00,96244.27,5
Large,Small,01/03/2023,EGL,Consumer Services,NYSE,"Engility Holdings, Inc.",1050000000.00,23881.87,5
Small,Small,01/03/2023,PYZ,n/a,NASDAQ,PowerShares DWA Basic Materials Momentum Portfolio,95770000.00,23847.38,1
Small,Very Large,01/03/2023,FORD,Consumer Non-Durables,NASDAQ,"Forward Industries, Inc.",9570000.00,99382.92,2
Huge,Large,01/03/2023,MSFT,Technology,NASDAQ,Microsoft Corporation,540440000000.00,64599.58,3
Small,Very Large,01/03/2023,BCTF,Finance,NASDAQ,"Bancorp 34, Inc.",47360000.00,97804.66,3
Medium,Very Large,01/03/2023,EACQ,Capital Goods,NASDAQ,Easterly Acquisition Corp.,251250000.00,99678.28,3
Medium,Medium,01/03/2023,CXE,n/a,NYSE,Colonial High Income Municipal Trust,165710000.00,48172.35,4
Small,Large,01/03/2023,SNAK,Consumer Non-Durables,NASDAQ,"Inventure Foods, Inc.",83670000.00,69625.70,5
Large,Very Large,01/03/2023,HXL,Basic Industries,NYSE,Hexcel Corporation,4680000000.00,98925.83,2
Small,Very Large,01/03/2023,AMMA,Consumer Services,NASDAQ,"Alliance MMA, Inc.",10910000.00,96568.65,4
Medium,Large,01/03/2023,AKAO,Health Care,NASDAQ,"Achaogen, Inc.",890000000.00,74668.20,1
Small,Large,01/03/2023,ELTK,Technology,NASDAQ,Eltek Ltd.,6800000.00,74326.92,2
Medium,Large,01/03/2023,IVTY,Health Care,NASDAQ,"Invuity, Inc.",104390000.00,74555.12,2
Small,Large,01/03/2023,CREG,Miscellaneous,NASDAQ,China Recycling Energy Corporation,11630000.00,72425.08,3
Large,Very Large,01/03/2023,ACM,Consumer Services,NYSE,AECOM,5080000000.00,98201.59,5
Large,Large,01/03/2023,SHO,Consumer Services,NYSE,"Sunstone Hotel Investors, Inc.",3650000000.00,74811.27,1
Large,Very Large,01/03/2023,UVV,Consumer Services,NYSE,Universal Corporation,1680000000.00,98894.56,3
Large,Large,01/03/2023,NKTR,Health Care,NASDAQ,Nektar Therapeutics,2820000000.00,73093.40,4
Medium,Very Large,01/03/2023,IFN,n/a,NYSE,"India Fund, Inc. (The)",774330000.00,99498.54,5
Medium,Very Large,01/03/2023,EPZM,Health Care,NASDAQ,"Epizyme, Inc.",796590000.00,99543.14,4
Large,Large,01/03/2023,EFX,Finance,NYSE,"Equifax, Inc.",17140000000.00,72971.97,5
Small,Small,01/03/2023,GEVO,Basic Industries,NASDAQ,"Gevo, Inc.",9390000.00,21315.40,4
Huge,Very Large,01/03/2023,HON,Capital Goods,NYSE,Honeywell International Inc.,102630000000.00,77741.94,3
Small,Large,01/03/2023,ZBIO,n/a,NASDAQ,ProShares UltraPro Short NASDAQ Biotechnology,6580000.00,70276.45,4
Huge,Large,01/03/2023,AAPL,Technology,NASDAQ,Apple Inc.,741770000000.00,72661.97,1
Medium,Medium,01/03/2023,TOWR,Capital Goods,NYSE,"Tower International, Inc.",446680000.00,48380.45,3
Small,Medium,01/03/2023,RMCF,Consumer Non-Durables,NASDAQ,"Rocky Mountain Chocolate Factory, Inc.",68380000.00,47373.07,4
Medium,Small,01/03/2023,RPD,Technology,NASDAQ,"Rapid7, Inc.",739260000.00,23553.48,5
Medium,Very Large,01/03/2023,DLNG,Consumer Services,NYSE,Dynagas LNG Partners LP,517440000.00,99739.70,1
Huge,Small,01/03/2023,WFC,Finance,NYSE,Wells Fargo & Company,269310000000.00,23692.96,1
Small,Small,01/03/2023,JAGX,Health Care,NASDAQ,"Jaguar Animal Health, Inc.",8660000.00,22028.90,3
Huge,Very Large,01/03/2023,NVS,Health Care,NYSE,Novartis AG,191210000000.00,99934.21,1
Small,Small,01/03/2023,MARPS,Energy,NASDAQ,Marine Petroleum Trust,6920000.00,20604.55,5
Small,Large,01/03/2023,VRIG,n/a,NASDAQ,PowerShares Variable Rate Investment Grade Portfolio,69290000.00,74913.42,1
Small,Medium,01/03/2023,STRM,Technology,NASDAQ,"Streamline Health Solutions, Inc.",21440000.00,46658.42,5
Small,Medium,01/03/2023,TUTT,n/a,NASDAQ,Tuttle Tactical Management U.S. Core ETF,54070000.00,47968.81,3
Medium,Large,01/03/2023,OSG,Transportation,NYSE,"Overseas Shipholding Group, Inc.",192450000.00,74348.08,3
Large,Very Large,01/03/2023,CAL,Consumer Non-Durables,NYSE,"Caleres, Inc.",1150000000.00,99457.94,1
Large,Medium,01/03/2023,INOV,Technology,NASDAQ,"Inovalon Holdings, Inc.",1990000000.00,49224.41,3
Small,Medium,01/03/2023,SBOT,Health Care,NASDAQ,"Stellar Biotechnologies, Inc.",11350000.00,49483.58,1
Huge,Large,01/03/2023,ORCL,Technology,NYSE,Oracle Corporation,185530000000.00,62188.07,5
Small,Medium,01/03/2023,ARCW,Capital Goods,NASDAQ,"ARC Group Worldwide, Inc.",61780000.00,48341.36,2
Medium,Large,01/03/2023,OXFD,Health Care,NASDAQ,Oxford Immunotec Global PLC,344130000.00,74208.39,4
Small,Very Large,01/04/2023,AFMD,Health Care,NASDAQ,Affimed N.V.,87880000.00,99959.38,1
Huge,Medium,01/04/2023,PTR,Energy,NYSE,PetroChina Company Limited,116380000000.00,40852.83,2
Small,Large,01/04/2023,KONE,Technology,NASDAQ,Kingtone Wirelessinfo Solution Holding Ltd,5160000.00,74999.62,1
Medium,Very Large,01/04/2023,FRP,Public Utilities,NASDAQ,"FairPoint Communications, Inc.",423980000.00,99164.81,4
Medium,Very Large,01/04/2023,USDP,Transportation,NYSE,USD Partners LP,300480000.00,99437.08,3
Small,Large,01/04/2023,PMPT,n/a,NASDAQ,iSectors Post-MPT Growth ETF,11340000.00,74887.30,2
Large,Large,01/04/2023,LW,Consumer Non-Durables,NYSE,"Lamb Weston Holdings, Inc.",6580000000.00,73947.71,4
Small,Large,01/04/2023,PFBX,Finance,NASDAQ,Peoples Financial Corporation,66090000.00,72675.37,5
Small,Small,01/04/2023,ALQA,Health Care,NASDAQ,"Alliqua BioMedical, Inc.",17010000.00,23084.18,1
Medium,Large,01/04/2023,CZNC,Finance,NASDAQ,Citizens & Northern Corp,287820000.00,74886.85,2
Small,Medium,01/04/2023,DGLD,Finance,NASDAQ,VelocityShares 3x Inverse Gold ETN,18660000.00,48531.32,4
Large,Large,01/04/2023,WMS,Capital Goods,NYSE,"Advanced Drainage Systems, Inc.",1130000000.00,73635.15,5
Small,Very Large,01/04/2023,DVCR,Health Care,NASDAQ,Diversicare Healthcare Services Inc.,62000000.00,98059.53,4
Medium,Small,01/04/2023,JHY,n/a,NYSE,Nuveen High Income 2020 Target Term Fund,145490000.00,24793.17,3
Large,Medium,01/04/2023,MS,Finance,NYSE,Morgan Stanley,82280000000.00,49108.55,2
Large,Medium,01/04/2023,THO,Consumer Non-Durables,NYSE,"Thor Industries, Inc.",5530000000.00,48034.38,4
Huge,Very Large,01/04/2023,ORCL,Technology,NYSE,Oracle Corporation,185530000000.00,90852.97,1
Small,Very Large,01/04/2023,ONVI,Miscellaneous,NASDAQ,"Onvia, Inc.",30650000.00,98193.88,3
Medium,Very Large,01/04/2023,RRD,Miscellaneous,NASDAQ,R.R. Donnelley & Sons Company,864500000.00,99982.79,1
Small,Very Large,01/04/2023,RTTR,Health Care,NASDAQ,"Ritter Pharmaceuticals, Inc.",9140000.00,98807.33,2
Huge,Very Large,01/04/2023,GE,Energy,NYSE,General Electric Company,251830000000.00,79900.69,5
Medium,Medium,01/04/2023,INO,Health Care,NASDAQ,"Inovio Pharmaceuticals, Inc.",585080000.00,49913.33,2
Small,Small,01/04/2023,BLH,n/a,NYSE,Blackrock New York Municipal 2018 Term Trust,53990000.00,22250.34,2
Huge,Small,01/04/2023,SNY,Health Care,NYSE,Sanofi,123340000000.00,4933.43,1
Huge,Very Large,01/04/2023,MRK,Health Care,NYSE,"Merck & Company, Inc.",172230000000.00,87754.61,2
Large,Very Large,01/04/2023,IART,Capital Goods,NASDAQ,Integra LifeSciences Holdings Corporation,3990000000.00,98738.19,5
Medium,Medium,01/04/2023,WEYS,Consumer Non-Durables,NASDAQ,"Weyco Group, Inc.",291310000.00,49986.44,1
Large,Medium,01/04/2023,ABT,Health Care,NYSE,Abbott Laboratories,83660000000.00,48477.86,3
Huge,Medium,01/04/2023,CVX,Energy,NYSE,Chevron Corporation,205280000000.00,29937.46,3
Medium,Very Large,01/04/2023,ACBI,Finance,NASDAQ,"Atlantic Capital Bancshares, Inc.",482160000.00,98972.02,5
Large,Small,01/04/2023,LXFT,Technology,NYSE,"Luxoft Holding, Inc.",2050000000.00,24947.74,1
Medium,Small,01/04/2023,MRTN,Transportation,NASDAQ,"Marten Transport, Ltd.",905460000.00,24546.66,5
Small,Medium,01/04/2023,DWAT,n/a,NASDAQ,Arrow DWA Tactical ETF,8670000.00,49905.45,1
Huge,Large,01/04/2023,CMCSA,Consumer Services,NASDAQ,Comcast Corporation,195790000000.00,73906.69,1
Medium,Large,01/04/2023,JPC,n/a,NYSE,Nuveen Preferred Income Opportunites Fund,999980000.00,74937.80,1
Small,Large,01/04/2023,PQ,Energy,NYSE,Petroquest Energy Inc,46900000.00,73694.08,3
Large,Very Large,01/04/2023,TRNO,Finance,NYSE,Terreno Realty Corporation,1630000000.00,99621.04,2
Medium,Small,01/04/2023,NVGS,Transportation,NYSE,Navigator Holdings Ltd.,405380000.00,24944.68,1
Small,Small,01/04/2023,PRCP,Capital Goods,NASDAQ,"Perceptron, Inc.",68490000.00,21546.33,4
Medium,Medium,01/04/2023,TWIN,Technology,NASDAQ,"Twin Disc, Incorporated",194790000.00,48749.14,3
Medium,Medium,01/04/2023,MOV,Consumer Non-Durables,NYSE,Movado Group Inc.,512470000.00,47857.51,4
Large,Small,01/04/2023,HII,Capital Goods,NYSE,"Huntington Ingalls Industries, Inc.",8560000000.00,24675.93,2
Large,Very Large,01/04/2023,DGI,Consumer Services,NYSE,"DigitalGlobe, Inc",1960000000.00,99574.64,3
Small,Medium,01/04/2023,HBIO,Capital Goods,NASDAQ,"Harvard Bioscience, Inc.",86550000.00,48320.17,5
Medium,Medium,01/04/2023,JHG,Finance,NYSE,Janus Henderson Group plc,367060000.00,47830.43,5
Medium,Large,01/04/2023,FINL,Consumer Services,NASDAQ,"The Finish Line, Inc.",551940000.00,74009.62,4
Large,Small,01/04/2023,PPG,Basic Industries,NYSE,"PPG Industries, Inc.",28480000000.00,24105.88,3
Large,Medium,01/04/2023,GGG,Capital Goods,NYSE,Graco Inc.,6280000000.00,49492.93,1
Large,Large,01/04/2023,SKX,Consumer Non-Durables,NYSE,"Skechers U.S.A., Inc.",4350000000.00,74495.13,1
Small,Small,01/04/2023,SOFO,Technology,NASDAQ,"Sonic Foundry, Inc.",17760000.00,21383.49,5
Huge,Very Large,01/04/2023,TIG,Health Care,NASDAQ,TiGenix,103100000000.00,85697.37,3
Huge,Very Large,01/04/2023,CMCSA,Consumer Services,NASDAQ,Comcast Corporation,195790000000.00,81907.58,4
Small,Medium,01/04/2023,CADC,Basic Industries,NASDAQ,"China Advanced Construction Materials Group, Inc.",5730000.00,49544.40,3
Medium,Large,01/04/2023,NEOS,Health Care,NASDAQ,"Neos Therapeutics, Inc.",195150000.00,74227.86,3
Medium,Small,01/04/2023,NAZ,n/a,NYSE,Nuveen Arizona Quality Municipal Income Fund,167960000.00,24814.77,2
Huge,Large,01/04/2023,PFE,Health Care,NYSE,"Pfizer, Inc.",196760000000.00,72346.96,2
Large,Small,01/04/2023,SPG,Consumer Services,NYSE,"Simon Property Group, Inc.",50030000000.00,23682.02,4
Large,Large,01/04/2023,FIT,Technology,NYSE,"Fitbit, Inc.",1160000000.00,74355.04,3
Medium,Small,01/04/2023,UEPS,Finance,NASDAQ,"Net 1 UEPS Technologies, Inc.",556900000.00,24615.51,4
Large,Large,01/04/2023,SBGL,Basic Industries,NYSE,Sibanye Gold Limited,2550000000.00,74409.16,2
Huge,Medium,01/04/2023,BA,Capital Goods,NYSE,Boeing Company (The),118570000000.00,48273.04,1
Medium,Very Large,01/04/2023,SBRAP,Consumer Services,NASDAQ,"Sabra Healthcare REIT, Inc.",146630000.00,99611.62,2
Large,Small,01/04/2023,TNET,Miscellaneous,NYSE,"TriNet Group, Inc.",2170000000.00,23463.07,5
Large,Very Large,01/04/2023,FL,Consumer Services,NYSE,"Foot Locker, Inc.",6830000000.00,98942.99,4
Small,Medium,01/04/2023,NTIC,Capital Goods,NASDAQ,Northern Technologies International Corporation,73300000.00,49660.59,2
Large,Very Large,01/04/2023,SNPS,Technology,NASDAQ,"Synopsys, Inc.",11090000000.00,99646.50,1
Medium,Large,01/04/2023,VVI,Miscellaneous,NYSE,Viad Corp,940530000.00,72829.95,5
Small,Small,01/04/2023,MIRN,Health Care,NASDAQ,"Mirna Therapeutics, Inc.",31070000.00,21905.34,3
Small,Very Large,01/04/2023,ARLZ,Health Care,NASDAQ,Aralez Pharmaceuticals Inc.,79480000.00,97660.24,5
Large,Medium,01/04/2023,AAV,Energy,NYSE,Advantage Oil & Gas Ltd,1150000000.00,47877.61,5
Small,Large,01/04/2023,TLF,Consumer Non-Durables,NASDAQ,"Tandy Leather Factory, Inc.",76520000.00,72741.97,4
Huge,Very Large,01/05/2023,MMM,Health Care,NYSE,3M Company,127360000000.00,96110.73,1
Small,Large,01/05/2023,IPDN,Technology,NASDAQ,"Professional Diversity Network, Inc.",31400000.00,74320.88,1
Large,Medium,01/05/2023,KMPR,Finance,NYSE,Kemper Corporation,2050000000.00,49657.62,4
Large,Medium,01/05/2023,KB,Finance,NYSE,KB Financial Group Inc,19260000000.00,49949.66,2
Small,Very Large,01/05/2023,FLN,n/a,NASDAQ,First Trust Latin America AlphaDEX Fund,35140000.00,97059.76,3
Medium,Small,01/05/2023,FSFR,n/a,NASDAQ,Fifth Street Senior Floating Rate Corp.,219230000.00,24514.43,4
Huge,Large,01/05/2023,MMM,Health Care,NYSE,3M Company,127360000000.00,60479.11,3
Small,Small,01/05/2023,CBIO,Health Care,NASDAQ,"Catalyst Biosciences, Inc.",18830000.00,23021.48,4
Large,Small,01/05/2023,EGBN,Finance,NASDAQ,"Eagle Bancorp, Inc.",2160000000.00,24336.62,1
Small,Very Large,01/05/2023,RADA,Consumer Non-Durables,NASDAQ,RADA Electronic Industries Ltd.,36150000.00,98743.23,2
Small,Very Large,01/05/2023,TEAR,Health Care,NASDAQ,TearLab Corporation,9010000.00,96069.44,4
Huge,Large,01/05/2023,MCD,Consumer Services,NYSE,McDonald's Corporation,123880000000.00,57256.94,5
Large,Very Large,01/05/2023,WES,Public Utilities,NYSE,"Western Gas Partners, LP",8390000000.00,99514.72,4
Small,Medium,01/05/2023,PTIE,Health Care,NASDAQ,"Pain Therapeutics, Inc.",27030000.00,46914.07,5
Medium,Very Large,01/05/2023,MYI,n/a,NYSE,"Blackrock MuniYield Quality Fund III, Inc.",975820000.00,98236.89,3
Small,Very Large,01/05/2023,DTYL,Finance,NASDAQ,iPath US Treasury 10-year Bull ETN,5270000.00,99565.50,1
Large,Large,01/05/2023,RGA,Finance,NYSE,"Reinsurance Group of America, Incorporated",8290000000.00,74232.12,3
Large,Medium,01/05/2023,CP,Transportation,NYSE,Canadian Pacific Railway Limited,22760000000.00,49976.54,1
Small,Small,01/05/2023,RLOG,Consumer Services,NASDAQ,"Rand Logistics, Inc.",6700000.00,23152.12,2
Large,Very Large,01/05/2023,GBDC,n/a,NASDAQ,"Golub Capital BDC, Inc.",1110000000.00,99839.23,2
Medium,Medium,01/05/2023,RVSB,Finance,NASDAQ,Riverview Bancorp Inc,148350000.00,49298.53,5
Medium,Very Large,01/05/2023,LNN,Capital Goods,NYSE,Lindsay Corporation,914460000.00,98208.86,4
Medium,Small,01/05/2023,GBAB,n/a,NYSE,Guggenheim Taxable Municipal Managed Duration Trst,398310000.00,24961.37,1
Small,Very Large,01/05/2023,GFA,Basic Industries,NYSE,Gafisa SA,95340000.00,94675.84,5
Small,Large,01/05/2023,DWAQ,n/a,NASDAQ,PowerShares DWA NASDAQ Momentum Portfolio,35540000.00,72826.15,5
Huge,Medium,01/05/2023,PTR,Energy,NYSE,PetroChina Company Limited,116380000000.00,29397.19,1
Medium,Very Large,01/05/2023,DGICB,Finance,NASDAQ,"Donegal Group, Inc.",395710000.00,99801.39,1
Medium,Small,01/05/2023,BGIO,n/a,NYSE,BlackRock 2022 Global Income Opportunity Trust,209970000.00,24685.68,3
Medium,Medium,01/05/2023,EMCI,Finance,NASDAQ,EMC Insurance Group Inc.,588240000.00,49732.20,1
Huge,Very Large,01/05/2023,KO,Consumer Non-Durables,NYSE,Coca-Cola Company (The),193590000000.00,94005.53,2
Medium,Medium,01/05/2023,TLGT,Health Care,NASDAQ,"Teligent, Inc.",459340000.00,49375.42,3
Large,Very Large,01/05/2023,AVB,Consumer Services,NYSE,"AvalonBay Communities, Inc.",27020000000.00,99971.11,1
Large,Small,01/05/2023,WCG,Health Care,NYSE,"WellCare Health Plans, Inc.",7770000000.00,23159.56,3
Small,Medium,01/05/2023,WYIGU,Finance,NASDAQ,JM Global Holding Company,67860000.00,48225.70,2
Small,Small,01/05/2023,FLKS,Health Care,NASDAQ,"Flex Pharma, Inc.",64330000.00,23130.19,3
Medium,Large,01/05/2023,ESSA,Finance,NASDAQ,"ESSA Bancorp, Inc.",175650000.00,74026.74,3
Small,Large,01/05/2023,AKTX,Health Care,NASDAQ,Akari Therapeutics Plc,56290000.00,74144.16,2
Huge,Large,01/05/2023,PTR,Energy,NYSE,PetroChina Company Limited,116380000000.00,62771.16,2
Small,Small,01/05/2023,PTX,Health Care,NASDAQ,"Pernix Therapeutics Holdings, Inc.",44570000.00,23490.65,1
Large,Small,01/05/2023,D,Public Utilities,NYSE,"Dominion Energy, Inc.",50770000000.00,24227.43,2
Large,Small,01/05/2023,CR,Capital Goods,NYSE,Crane Company,4720000000.00,23155.31,4
Medium,Small,01/05/2023,SGY,Energy,NYSE,Stone Energy Corporation,470400000.00,24346.17,5
Large,Medium,01/05/2023,BCC,Consumer Services,NYSE,"Boise Cascade, L.L.C.",1140000000.00,49509.01,5
Medium,Very Large,01/05/2023,ACET,Health Care,NASDAQ,Aceto Corporation,437060000.00,99113.45,2
Huge,Small,01/05/2023,MRK,Health Care,NYSE,"Merck & Company, Inc.",172230000000.00,7712.91,1
Large,Very Large,01/05/2023,MNST,Consumer Non-Durables,NASDAQ,Monster Beverage Corporation,28570000000.00,99649.45,3
Large,Small,01/05/2023,CAH,Health Care,NYSE,"Cardinal Health, Inc.",23690000000.00,22425.07,5
Small,Medium,01/05/2023,MARK,Consumer Services,NASDAQ,"Remark Holdings, Inc.",57310000.00,48745.09,1
Large,Large,01/05/2023,SPIL,Technology,NASDAQ,"Siliconware Precision Industries Company, Ltd.",5070000000.00,74783.50,1
Medium,Large,01/05/2023,FVC,n/a,NASDAQ,First Trust Dorsey Wright Dynamic Focus 5 ETF,318660000.00,72653.09,5
Huge,Large,01/05/2023,IBM,Technology,NYSE,International Business Machines Corporation,145980000000.00,59375.02,4
Medium,Medium,01/05/2023,PGTI,Capital Goods,NYSE,"PGT Innovations, Inc.",610360000.00,49373.11,4
Medium,Large,01/05/2023,CSTR,Finance,NASDAQ,"CapStar Financial Holdings, Inc.",196970000.00,73302.36,4
Large,Very Large,01/05/2023,ESLT,Capital Goods,NASDAQ,Elbit Systems Ltd.,5290000000.00,99445.93,5
Large,Medium,01/05/2023,TECD,Technology,NASDAQ,Tech Data Corporation,3670000000.00,49765.42,3
Medium,Medium,01/05/2023,FMCI,Finance,NASDAQ,Forum Merger Corporation,217090000.00,49649.44,2
Small,Large,01/05/2023,AGTC,Health Care,NASDAQ,Applied Genetic Technologies Corporation,91320000.00,72955.03,4
Medium,Small,01/05/2023,PTCT,Health Care,NASDAQ,"PTC Therapeutics, Inc.",700740000.00,24810.05,2
Huge,Large,01/05/2023,TIG,Health Care,NASDAQ,TiGenix,103100000000.00,66390.82,1
