,Category,Function/Method/Concept,year,week,_merge
465,Pandas - Selection/slicing,```dropna```,2021.0,15.0,both
466,Pandas - Selection/slicing,slicing a DataFrame,2021.0,15.0,in regex match
467,String Functions,Count matches,2021.0,15.0,in regex match
468,String Functions,```split```,2021.0,15.0,both
469,String Functions,String slicing,2021.0,15.0,in regex match
470,String Functions,```strip```,2021.0,15.0,both
471,numpy,```where```,2021.0,15.0,both
472,Other,list/dict comprehension,2021.0,16.0,both
473,Pandas - Aggregation,```rank```,2021.0,16.0,both
474,Pandas - Dates,```read_csv``` or ```read_excel``` with parse_dates,2021.0,16.0,both
475,Pandas - Joining,```merge```,2021.0,16.0,both
476,Pandas - Other,"```apply```, ```map```",2021.0,16.0,both
477,Pandas - Other,```astype```,2021.0,16.0,both
478,Pandas - Reshaping,```melt```,2021.0,16.0,both
479,Pandas - Reshaping,"```transpose```, ```T```",2021.0,16.0,in regex match
480,Pandas - Selection/slicing,```drop```,2021.0,16.0,both
481,Pandas - Selection/slicing,```dropna```,2021.0,16.0,both
482,Pandas - Selection/slicing,slicing a DataFrame,2021.0,16.0,both
483,String Functions,Count matches,2021.0,16.0,in regex match
484,String Functions,```split```,2021.0,16.0,both
485,numpy,```where```,2021.0,16.0,both
486,Pandas - Aggregation,Named Aggregation,2021.0,17.0,both
487,Pandas - Aggregation,```transform```,2021.0,17.0,both
488,Pandas - File I/O,Read Excel files,2021.0,17.0,both
489,Pandas - File I/O,Read Excel files (dynamic sheets),2021.0,17.0,in regex match
490,Pandas - Joining,```merge```,2021.0,17.0,both
491,Pandas - Other,"```apply```, ```map```",2021.0,17.0,in regex match
492,Pandas - Other,```astype```,2021.0,17.0,both
493,Pandas - Reshaping,```extract```,2021.0,17.0,both
494,Pandas - Reshaping,```melt```,2021.0,17.0,both
495,Pandas - Reshaping,"```transpose```, ```T```",2021.0,17.0,in regex match
496,Pandas - Selection/slicing,```drop```,2021.0,17.0,both
497,Pandas - Selection/slicing,slicing a DataFrame,2021.0,17.0,both
498,String Functions,Count matches,2021.0,17.0,in regex match
499,String Functions,String slicing,2021.0,17.0,in regex match
500,Pandas - Aggregation,Named Aggregation,2021.0,18.0,both
501,Pandas - Dates,"Dateparts (```dt.month```, ```dt.quarter```, etc.)",2021.0,18.0,both
502,Pandas - Dates,"```timedelta```, ```to_timedelta```, ```relativedelta```",2021.0,18.0,in regex match
503,Pandas - File I/O,Read Excel files,2021.0,18.0,both
504,Pandas - File I/O,Read Excel files (dynamic sheets),2021.0,18.0,in regex match
505,Pandas - Joining,```merge```,2021.0,18.0,both
506,Pandas - Other,"```apply```, ```map```",2021.0,18.0,both
507,Pandas - Reshaping,"```pivot```, ```pivot_table```",2021.0,18.0,both
508,Pandas - Reshaping,"```pivot```, ```pivot_table```",2021.0,18.0,both
509,Pandas - Reshaping,"```transpose```, ```T```",2021.0,18.0,in regex match
510,Pandas - Selection/slicing,slicing a DataFrame,2021.0,18.0,in regex match
511,String Functions,Count matches,2021.0,18.0,in regex match
512,String Functions,String slicing,2021.0,18.0,in regex match
513,Pandas - File I/O,Read Excel files,2021.0,19.0,both
514,Pandas - File I/O,Read Excel files (dynamic sheets),2021.0,19.0,in regex match
515,Pandas - Joining,```merge```,2021.0,19.0,both
516,Pandas - Other,```astype```,2021.0,19.0,both
517,Pandas - Reshaping,```explode```,2021.0,19.0,both
518,Pandas - Reshaping,```extract```,2021.0,19.0,both
519,Pandas - Reshaping,"```transpose```, ```T```",2021.0,19.0,in regex match
520,Pandas - Selection/slicing,slicing a DataFrame,2021.0,19.0,both
521,String Functions,"Changing case (```upper```, ```lower```, ```title```, etc.)",2021.0,19.0,both
522,String Functions,Count matches,2021.0,19.0,in regex match
523,String Functions,```replace```,2021.0,19.0,both
524,String Functions,```split```,2021.0,19.0,both
525,String Functions,String slicing,2021.0,19.0,in regex match
526,String Functions,```strip```,2021.0,19.0,both
527,Other,list/dict comprehension,2021.0,20.0,both
528,Other,Loops,2021.0,20.0,in regex match
529,Pandas - Aggregation,Named Aggregation,2021.0,20.0,both
530,Pandas - Dates,```read_csv``` or ```read_excel``` with parse_dates,2021.0,20.0,in regex match
531,Pandas - File I/O,Read Excel files,2021.0,20.0,in regex match
532,Pandas - File I/O,Write multiple tabs to Excel file,2021.0,20.0,both
533,Pandas - Joining,```merge```,2021.0,20.0,both
534,Pandas - Reshaping,"```transpose```, ```T```",2021.0,20.0,in regex match
535,Pandas - Selection/slicing,slicing a DataFrame,2021.0,20.0,both
536,String Functions,Count matches,2021.0,20.0,in regex match
537,String Functions,String slicing,2021.0,20.0,in regex match
538,numpy,```where```,2021.0,20.0,both
539,Other,Loops,2021.0,21.0,in regex match
540,Pandas - Aggregation,```rank```,2021.0,21.0,both
541,Pandas - Aggregation,```transform```,2021.0,21.0,both
542,Pandas - Dates,```to_datetime```,2021.0,21.0,both
543,Pandas - File I/O,Read Excel files,2021.0,21.0,in regex match
544,Pandas - File I/O,Read Excel files (dynamic sheets),2021.0,21.0,both
545,Pandas - Other,```astype```,2021.0,21.0,both
546,Pandas - Reshaping,"```transpose```, ```T```",2021.0,21.0,in regex match
547,Pandas - Selection/slicing,slicing a DataFrame,2021.0,21.0,both
548,String Functions,Count matches,2021.0,21.0,in regex match
549,String Functions,```replace```,2021.0,21.0,in regex match
550,String Functions,```split```,2021.0,21.0,both
551,String Functions,```strip```,2021.0,21.0,both
552,Other,list/dict comprehension,2021.0,22.0,both
553,Other,Loops,2021.0,22.0,in regex match
554,Pandas - Aggregation,Named Aggregation,2021.0,22.0,both
555,Pandas - File I/O,Read Excel files,2021.0,22.0,both
556,Pandas - File I/O,Read Excel files (dynamic sheets),2021.0,22.0,in regex match
557,Pandas - Joining,```merge```,2021.0,22.0,both
558,Pandas - Reshaping,```explode```,2021.0,22.0,both
559,Pandas - Reshaping,```extract```,2021.0,22.0,both
560,Pandas - Reshaping,"```transpose```, ```T```",2021.0,22.0,in regex match
561,Pandas - Selection/slicing,slicing a DataFrame,2021.0,22.0,both
562,String Functions,"Changing case (```upper```, ```lower```, ```title```, etc.)",2021.0,22.0,both
563,String Functions,"```contains```, ```startswith```, ```endswith```",2021.0,22.0,both
564,String Functions,Count matches,2021.0,22.0,in regex match
565,String Functions,String slicing,2021.0,22.0,in regex match
566,String Functions,```strip```,2021.0,22.0,both
567,Other,list/dict comprehension,2021.0,23.0,in regex match
568,Pandas - Aggregation,```groupby``` with filter,2021.0,23.0,both
569,Pandas - File I/O,Read Excel files,2021.0,23.0,in regex match
570,Pandas - File I/O,Read Excel files (dynamic sheets),2021.0,23.0,both
571,Pandas - Other,```astype```,2021.0,23.0,both
572,Pandas - Reshaping,"```pivot```, ```pivot_table```",2021.0,23.0,both
573,Pandas - Reshaping,"```transpose```, ```T```",2021.0,23.0,in regex match
574,Pandas - Selection/slicing,slicing a DataFrame,2021.0,23.0,both
575,String Functions,Count matches,2021.0,23.0,in regex match
576,String Functions,String slicing,2021.0,23.0,in regex match
577,numpy,"```ceil```, ```floor```",2021.0,23.0,both
578,Other,list/dict comprehension,2021.0,24.0,both
579,Other,```zip```,2021.0,24.0,both
580,Pandas - File I/O,Read Excel files,2021.0,24.0,both
581,Pandas - File I/O,Read Excel files (dynamic sheets),2021.0,24.0,in regex match
582,Pandas - Joining,```merge```,2021.0,24.0,both
583,Pandas - Other,"```fillna```, ```ffill```, ```bfill```",2021.0,24.0,both
584,Pandas - Reshaping,```explode```,2021.0,24.0,both
585,Pandas - Reshaping,"```transpose```, ```T```",2021.0,24.0,in regex match
586,Pandas - Selection/slicing,"```idmax```, ```idmin```",2021.0,24.0,both
587,Pandas - Selection/slicing,slicing a DataFrame,2021.0,24.0,both
588,String Functions,Count matches,2021.0,24.0,in regex match
589,String Functions,String slicing,2021.0,24.0,in regex match
590,Other,list/dict comprehension,2021.0,25.0,both
591,Pandas - Aggregation,Named Aggregation,2021.0,25.0,both
592,Pandas - Aggregation,```rank```,2021.0,25.0,both
593,Pandas - File I/O,Read Excel files,2021.0,25.0,both
594,Pandas - File I/O,Read Excel files (dynamic sheets),2021.0,25.0,in regex match
595,Pandas - Joining,```merge```,2021.0,25.0,both
596,Pandas - Other,```astype```,2021.0,25.0,both
597,Pandas - Other,```sort_values```,2021.0,25.0,both
598,Pandas - Reshaping,```extract```,2021.0,25.0,both
599,Pandas - Reshaping,"```transpose```, ```T```",2021.0,25.0,in regex match
600,Pandas - Selection/slicing,```drop```,2021.0,25.0,both
601,Pandas - Selection/slicing,```drop_duplicates```,2021.0,25.0,both
602,Pandas - Selection/slicing,slicing a DataFrame,2021.0,25.0,both
603,String Functions,Count matches,2021.0,25.0,in regex match
604,String Functions,String slicing,2021.0,25.0,in regex match
605,Other,list/dict comprehension,2021.0,26.0,both
606,Other,Loops,2021.0,26.0,in regex match
607,Pandas - Aggregation,"Boolean aggregation(```any```, ```all```)",2021.0,26.0,in regex match
608,Pandas - Aggregation,Named Aggregation,2021.0,26.0,both
609,Pandas - Dates,```read_csv``` or ```read_excel``` with parse_dates,2021.0,26.0,both
610,Pandas - Dates,"```timedelta```, ```to_timedelta```, ```relativedelta```",2021.0,26.0,both
611,Pandas - Joining,```merge```,2021.0,26.0,both
612,Pandas - Other,```sort_values```,2021.0,26.0,both
613,Pandas - Reshaping,```explode```,2021.0,26.0,both
614,Pandas - Reshaping,"```transpose```, ```T```",2021.0,26.0,in regex match
615,String Functions,Count matches,2021.0,26.0,in regex match
616,String Functions,```replace```,2021.0,26.0,in regex match
617,String Functions,String slicing,2021.0,26.0,in regex match
618,Other,list/dict comprehension,2021.0,27.0,both
619,Other,Loops,2021.0,27.0,both
620,Pandas - File I/O,Read Excel files,2021.0,27.0,both
621,Pandas - File I/O,Read Excel files (dynamic sheets),2021.0,27.0,in regex match
622,Pandas - Joining,```append```,2021.0,27.0,in regex match
623,Pandas - Joining,```merge```,2021.0,27.0,both
624,Pandas - Other,```astype```,2021.0,27.0,both
625,Pandas - Other,```sort_values```,2021.0,27.0,both
626,Pandas - Reshaping,"```transpose```, ```T```",2021.0,27.0,in regex match
627,Pandas - Selection/slicing,```dropna```,2021.0,27.0,both
628,Pandas - Selection/slicing,slicing a DataFrame,2021.0,27.0,both
629,String Functions,Count matches,2021.0,27.0,in regex match
630,String Functions,```replace```,2021.0,27.0,both
631,String Functions,String slicing,2021.0,27.0,in regex match
632,Other,list/dict comprehension,2021.0,28.0,both
633,Other,Loops,2021.0,28.0,in regex match
634,Pandas - Aggregation,Named Aggregation,2021.0,28.0,both
635,Pandas - Aggregation,```rank```,2021.0,28.0,both
636,Pandas - Dates,```dt.strftime```,2021.0,28.0,both
637,Pandas - Dates,```to_datetime```,2021.0,28.0,both
638,Pandas - File I/O,Read Excel files,2021.0,28.0,both
639,Pandas - File I/O,Read Excel files (dynamic sheets),2021.0,28.0,in regex match
640,Pandas - File I/O,Write multiple tabs to Excel file,2021.0,28.0,both
641,Pandas - Other,```astype```,2021.0,28.0,both
642,Pandas - Reshaping,```melt```,2021.0,28.0,both
643,Pandas - Reshaping,"```transpose```, ```T```",2021.0,28.0,in regex match
644,Pandas - Selection/slicing,slicing a DataFrame,2021.0,28.0,both
645,Rounding,Basic,2021.0,28.0,both
646,String Functions,"Changing case (```upper```, ```lower```, ```title```, etc.)",2021.0,28.0,both
647,String Functions,"```contains```, ```startswith```, ```endswith```",2021.0,28.0,both
648,String Functions,Count matches,2021.0,28.0,in regex match
649,String Functions,```replace```,2021.0,28.0,both
650,String Functions,String slicing,2021.0,28.0,both
651,String Functions,```strip```,2021.0,28.0,both
652,numpy,```where```,2021.0,28.0,both
653,Other,list/dict comprehension,2021.0,29.0,both
654,Other,Mapping values with dictionary,2021.0,29.0,both
655,Pandas - Dates,```to_datetime```,2021.0,29.0,both
656,Pandas - File I/O,Read Excel files,2021.0,29.0,both
657,Pandas - File I/O,Read Excel files (dynamic sheets),2021.0,29.0,in regex match
658,Pandas - File I/O,Write multiple tabs to Excel file,2021.0,29.0,in regex match
659,Pandas - Joining,```merge```,2021.0,29.0,both
660,Pandas - Reshaping,```explode```,2021.0,29.0,both
661,Pandas - Reshaping,```extract```,2021.0,29.0,both
662,Pandas - Reshaping,"```transpose```, ```T```",2021.0,29.0,in regex match
663,Pandas - Selection/slicing,```drop_duplicates```,2021.0,29.0,both
664,String Functions,"Changing case (```upper```, ```lower```, ```title```, etc.)",2021.0,29.0,both
665,String Functions,"```contains```, ```startswith```, ```endswith```",2021.0,29.0,both
666,String Functions,Count matches,2021.0,29.0,in regex match
667,String Functions,```replace```,2021.0,29.0,both
668,String Functions,```split```,2021.0,29.0,both
669,String Functions,String slicing,2021.0,29.0,in regex match
670,String Functions,```strip```,2021.0,29.0,both
671,Other,list/dict comprehension,2021.0,30.0,both
672,Other,Mapping values with dictionary,2021.0,30.0,both
673,Pandas - Dates,```to_datetime```,2021.0,30.0,both
674,Pandas - Other,```astype```,2021.0,30.0,both
675,Pandas - Other,"```shift```, ```diff```",2021.0,30.0,both
676,Pandas - Other,```sort_values```,2021.0,30.0,both
677,Pandas - Reshaping,"```transpose```, ```T```",2021.0,30.0,in regex match
678,Pandas - Selection/slicing,"```idmax```, ```idmin```",2021.0,30.0,both
679,Rounding,Basic,2021.0,30.0,both
680,String Functions,Count matches,2021.0,30.0,in regex match
681,String Functions,```replace```,2021.0,30.0,in regex match
682,String Functions,String slicing,2021.0,30.0,in regex match
683,Other,"list methods (```sort```, ```reverse```, ```append```, ```union```, etc.)",2021.0,31.0,both
684,Pandas - Dates,```read_csv``` or ```read_excel``` with parse_dates,2021.0,31.0,both
685,Pandas - Reshaping,"```transpose```, ```T```",2021.0,31.0,in regex match
686,Pandas - Selection/slicing,slicing a DataFrame,2021.0,31.0,both
687,String Functions,Count matches,2021.0,31.0,in regex match
688,String Functions,String slicing,2021.0,31.0,in regex match
689,Pandas - Aggregation,Named Aggregation,2021.0,32.0,both
690,Pandas - Dates,```read_csv``` or ```read_excel``` with parse_dates,2021.0,32.0,both
691,Pandas - Other,```astype```,2021.0,32.0,both
692,Pandas - Reshaping,"```transpose```, ```T```",2021.0,32.0,in regex match
693,Rounding,Basic,2021.0,32.0,both
694,String Functions,Count matches,2021.0,32.0,in regex match
695,numpy,```where```,2021.0,32.0,both
696,Other,Loops,2021.0,33.0,both
697,Pandas - Aggregation,```transform```,2021.0,33.0,both
698,Pandas - Dates,"```timedelta```, ```to_timedelta```, ```relativedelta```",2021.0,33.0,both
699,Pandas - Dates,```to_datetime```,2021.0,33.0,both
700,Pandas - File I/O,Read Excel files,2021.0,33.0,both
701,Pandas - File I/O,Read Excel files (dynamic sheets),2021.0,33.0,both
702,Pandas - Reshaping,"```transpose```, ```T```",2021.0,33.0,in regex match
703,Pandas - Selection/slicing,slicing a DataFrame,2021.0,33.0,both
704,String Functions,Count matches,2021.0,33.0,in regex match
705,String Functions,String slicing,2021.0,33.0,both
706,numpy,```where```,2021.0,33.0,both
707,Other,Function,2021.0,34.0,both
708,Other,Function (recursive),2021.0,34.0,in regex match
709,Other,list/dict comprehension,2021.0,34.0,both
710,Other,Mapping values with dictionary,2021.0,34.0,both
711,Pandas - Aggregation,Named Aggregation,2021.0,34.0,both
712,Pandas - File I/O,Read Excel files,2021.0,34.0,both
713,Pandas - File I/O,Read Excel files (dynamic sheets),2021.0,34.0,in regex match
714,Pandas - Joining,```merge```,2021.0,34.0,both
715,Pandas - Reshaping,```melt```,2021.0,34.0,both
716,Pandas - Reshaping,"```transpose```, ```T```",2021.0,34.0,in regex match
717,Pandas - Selection/slicing,slicing a DataFrame,2021.0,34.0,both
718,Rounding,Basic,2021.0,34.0,both
719,String Functions,Count matches,2021.0,34.0,in regex match
720,String Functions,```join```,2021.0,34.0,in regex match
721,String Functions,```replace```,2021.0,34.0,both
722,String Functions,String slicing,2021.0,34.0,in regex match
723,numpy,```where```,2021.0,34.0,both
724,Other,Function,2021.0,35.0,both
725,Other,Function (recursive),2021.0,35.0,in regex match
726,Pandas - Aggregation,```transform```,2021.0,35.0,both
727,Pandas - File I/O,Read Excel files,2021.0,35.0,both
728,Pandas - Joining,```merge```,2021.0,35.0,both
729,Pandas - Other,```assign```,2021.0,35.0,in regex match
730,Pandas - Other,```astype```,2021.0,35.0,both
731,Pandas - Reshaping,```extract```,2021.0,35.0,both
732,Pandas - Reshaping,"```transpose```, ```T```",2021.0,35.0,in regex match
733,Pandas - Selection/slicing,```drop```,2021.0,35.0,in regex match
734,Pandas - Selection/slicing,```drop_duplicates```,2021.0,35.0,both
735,Pandas - Selection/slicing,slicing a DataFrame,2021.0,35.0,both
736,String Functions,Count matches,2021.0,35.0,in regex match
737,String Functions,String slicing,2021.0,35.0,in regex match
738,numpy,```where```,2021.0,35.0,both
739,Pandas - Aggregation,Named Aggregation,2021.0,36.0,both
740,Pandas - File I/O,Read Excel files,2021.0,36.0,both
741,Pandas - File I/O,Read Excel files (dynamic sheets),2021.0,36.0,in regex match
742,Pandas - Joining,```merge```,2021.0,36.0,both
743,Pandas - Other,```sort_values```,2021.0,36.0,both
744,Pandas - Reshaping,```melt```,2021.0,36.0,both
745,Pandas - Reshaping,"```transpose```, ```T```",2021.0,36.0,in regex match
746,Pandas - Selection/slicing,slicing a DataFrame,2021.0,36.0,both
747,Rounding,Basic,2021.0,36.0,both
748,String Functions,Count matches,2021.0,36.0,in regex match
749,String Functions,```replace```,2021.0,36.0,both
750,String Functions,String slicing,2021.0,36.0,both
751,numpy,```where```,2021.0,36.0,both
752,Other,list/dict comprehension,2021.0,37.0,both
753,Other,```zip```,2021.0,37.0,both
754,Pandas - Aggregation,"Cumulative aggregation(```cumcount```, ```cumsum```, etc.)",2021.0,37.0,in regex match
755,Pandas - Dates,"```DateOffset```, ```offsets```",2021.0,37.0,both
756,Pandas - File I/O,Read Excel files,2021.0,37.0,both
757,Pandas - File I/O,Read Excel files (dynamic sheets),2021.0,37.0,in regex match
758,Pandas - Reshaping,```explode```,2021.0,37.0,both
759,Pandas - Reshaping,"```transpose```, ```T```",2021.0,37.0,in regex match
760,String Functions,Count matches,2021.0,37.0,in regex match
761,Other,list/dict comprehension,2021.0,38.0,both
762,Pandas - Aggregation,Named Aggregation,2021.0,38.0,both
763,Pandas - File I/O,Read Excel files,2021.0,38.0,both
764,Pandas - File I/O,Read Excel files (dynamic sheets),2021.0,38.0,in regex match
765,Pandas - Joining,```merge```,2021.0,38.0,both
766,Pandas - Other,```sort_values```,2021.0,38.0,both
767,Pandas - Reshaping,```extract```,2021.0,38.0,both
768,Pandas - Reshaping,"```transpose```, ```T```",2021.0,38.0,in regex match
769,Rounding,Basic,2021.0,38.0,both
770,String Functions,Count matches,2021.0,38.0,in regex match
771,String Functions,```replace```,2021.0,38.0,both
772,Pandas - Dates,```read_csv``` or ```read_excel``` with parse_dates,2021.0,39.0,both
773,Pandas - Joining,```merge```,2021.0,39.0,both
774,Pandas - Other,"```fillna```, ```ffill```, ```bfill```",2021.0,39.0,both
775,Pandas - Other,```sort_values```,2021.0,39.0,both
776,Pandas - Reshaping,```extract```,2021.0,39.0,both
777,Pandas - Reshaping,"```transpose```, ```T```",2021.0,39.0,in regex match
778,Pandas - Selection/slicing,slicing a DataFrame,2021.0,39.0,both
779,String Functions,Count matches,2021.0,39.0,in regex match
780,numpy,```where```,2021.0,39.0,both
781,Pandas - Reshaping,```crosstab```,2021.0,40.0,both
782,Pandas - Reshaping,"```transpose```, ```T```",2021.0,40.0,in regex match
783,Pandas - Selection/slicing,slicing a DataFrame,2021.0,40.0,both
784,Rounding,Basic,2021.0,40.0,both
785,String Functions,Count matches,2021.0,40.0,in regex match
786,numpy,```where```,2021.0,40.0,both
787,Other,list/dict comprehension,2021.0,41.0,both
788,Pandas - File I/O,Formatting numeric output,2021.0,41.0,both
789,Pandas - Joining,```append```,2021.0,41.0,both
790,Pandas - Other,```astype```,2021.0,41.0,in regex match
791,Pandas - Other,"```shift```, ```diff```",2021.0,41.0,both
792,Pandas - Other,```sort_values```,2021.0,41.0,both
793,Pandas - Reshaping,```extract```,2021.0,41.0,both
794,Pandas - Reshaping,"```transpose```, ```T```",2021.0,41.0,in regex match
795,String Functions,"Changing case (```upper```, ```lower```, ```title```, etc.)",2021.0,41.0,in regex match
796,String Functions,Count matches,2021.0,41.0,in regex match
797,String Functions,String slicing,2021.0,41.0,in regex match
798,numpy,```where```,2021.0,41.0,both
799,Other,Function,2021.0,42.0,both
800,Other,Function (recursive),2021.0,42.0,in regex match
801,Other,list/dict comprehension,2021.0,42.0,in regex match
802,Pandas - Aggregation,```transform```,2021.0,42.0,both
803,Pandas - Dates,"Dateparts (```dt.month```, ```dt.quarter```, etc.)",2021.0,42.0,both
804,Pandas - Dates,```read_csv``` or ```read_excel``` with parse_dates,2021.0,42.0,both
805,Pandas - Joining,```merge```,2021.0,42.0,both
806,Pandas - Other,"```apply```, ```map```",2021.0,42.0,both
807,Pandas - Other,"```fillna```, ```ffill```, ```bfill```",2021.0,42.0,both
808,Pandas - Reshaping,"```transpose```, ```T```",2021.0,42.0,in regex match
809,Rounding,Basic,2021.0,42.0,both
810,String Functions,Count matches,2021.0,42.0,in regex match
811,String Functions,String slicing,2021.0,42.0,in regex match
812,numpy,```where```,2021.0,42.0,both
813,Other,list/dict comprehension,2021.0,43.0,both
814,Other,Mapping values with dictionary,2021.0,43.0,both
815,Pandas - Dates,```read_csv``` or ```read_excel``` with parse_dates,2021.0,43.0,in regex match
816,Pandas - File I/O,Read Excel files,2021.0,43.0,both
817,Pandas - File I/O,Read Excel files (dynamic sheets),2021.0,43.0,in regex match
818,Pandas - Reshaping,```melt```,2021.0,43.0,both
819,Pandas - Reshaping,"```pivot```, ```pivot_table```",2021.0,43.0,both
820,Pandas - Reshaping,"```transpose```, ```T```",2021.0,43.0,in regex match
821,Pandas - Selection/slicing,```drop```,2021.0,43.0,both
822,String Functions,Count matches,2021.0,43.0,in regex match
823,String Functions,```replace```,2021.0,43.0,in regex match
824,String Functions,String slicing,2021.0,43.0,in regex match
825,String Functions,```strip```,2021.0,43.0,both
826,numpy,```where```,2021.0,43.0,both
827,Pandas - File I/O,Read Excel files,2021.0,44.0,both
828,Pandas - File I/O,Read Excel files (dynamic sheets),2021.0,44.0,in regex match
829,Pandas - Other,```astype```,2021.0,44.0,both
830,Pandas - Other,"```fillna```, ```ffill```, ```bfill```",2021.0,44.0,both
831,Pandas - Other,```reindex```,2021.0,44.0,both
832,Pandas - Reshaping,"```pivot```, ```pivot_table```",2021.0,44.0,both
833,Pandas - Reshaping,"```transpose```, ```T```",2021.0,44.0,in regex match
834,Pandas - Selection/slicing,slicing a DataFrame,2021.0,44.0,in regex match
835,String Functions,"Changing case (```upper```, ```lower```, ```title```, etc.)",2021.0,44.0,both
836,String Functions,Count matches,2021.0,44.0,in regex match
837,String Functions,String slicing,2021.0,44.0,in regex match
838,numpy,```where```,2021.0,44.0,both
839,Other,list/dict comprehension,2021.0,45.0,both
840,Pandas - Dates,```to_datetime```,2021.0,45.0,both
841,Pandas - File I/O,Read Excel files,2021.0,45.0,both
842,Pandas - File I/O,Read Excel files (dynamic sheets),2021.0,45.0,both
843,Pandas - Joining,```merge```,2021.0,45.0,both
844,Pandas - Other,```assign```,2021.0,45.0,both
845,Pandas - Other,```astype```,2021.0,45.0,both
846,Pandas - Other,```sort_values```,2021.0,45.0,both
847,Pandas - Reshaping,```explode```,2021.0,45.0,both
848,Pandas - Reshaping,"```transpose```, ```T```",2021.0,45.0,in regex match
849,Pandas - Selection/slicing,```drop```,2021.0,45.0,both
850,Pandas - Selection/slicing,```drop_duplicates```,2021.0,45.0,both
851,Pandas - Selection/slicing,slicing a DataFrame,2021.0,45.0,both
852,String Functions,Count matches,2021.0,45.0,in regex match
853,String Functions,```split```,2021.0,45.0,both
854,String Functions,String slicing,2021.0,45.0,in regex match
855,Other,list/dict comprehension,2021.0,46.0,both
856,Other,Loops,2021.0,46.0,in regex match
857,Pandas - Aggregation,Named Aggregation,2021.0,46.0,both
858,Pandas - File I/O,Read Excel files,2021.0,46.0,both
859,Pandas - File I/O,Read Excel files (dynamic sheets),2021.0,46.0,both
860,Pandas - Joining,```merge```,2021.0,46.0,both
861,Pandas - Other,```assign```,2021.0,46.0,both
862,Pandas - Other,```astype```,2021.0,46.0,both
863,Pandas - Reshaping,"```transpose```, ```T```",2021.0,46.0,in regex match
864,Pandas - Selection/slicing,```drop```,2021.0,46.0,both
865,String Functions,Count matches,2021.0,46.0,in regex match
866,String Functions,```replace```,2021.0,46.0,in regex match
867,String Functions,String slicing,2021.0,46.0,in regex match
868,String Functions,```strip```,2021.0,46.0,both
869,Charts,```matplotlib```,2021.0,47.0,both
870,Other,list/dict comprehension,2021.0,47.0,both
871,Other,Loops,2021.0,47.0,both
872,Pandas - Aggregation,Named Aggregation,2021.0,47.0,both
873,Pandas - Aggregation,```rank```,2021.0,47.0,both
874,Pandas - File I/O,Read Excel files,2021.0,47.0,both
875,Pandas - File I/O,Read Excel files (dynamic sheets),2021.0,47.0,in regex match
876,Pandas - Joining,```merge```,2021.0,47.0,both
877,Pandas - Other,"```apply```, ```map```",2021.0,47.0,in regex match
878,Pandas - Other,"```fillna```, ```ffill```, ```bfill```",2021.0,47.0,both
879,Pandas - Reshaping,```melt```,2021.0,47.0,both
880,Pandas - Reshaping,"```transpose```, ```T```",2021.0,47.0,in regex match
881,String Functions,"Changing case (```upper```, ```lower```, ```title```, etc.)",2021.0,47.0,in regex match
882,String Functions,Count matches,2021.0,47.0,in regex match
883,String Functions,```join```,2021.0,47.0,both
884,String Functions,String slicing,2021.0,47.0,in regex match
885,numpy,"```ceil```, ```floor```",2021.0,47.0,both
886,numpy,```where```,2021.0,47.0,both
887,Other,list/dict comprehension,2021.0,48.0,both
888,Other,Mapping values with dictionary,2021.0,48.0,both
889,Pandas - Aggregation,"Boolean aggregation(```any```, ```all```)",2021.0,48.0,in regex match
890,Pandas - File I/O,Read Excel files,2021.0,48.0,both
891,Pandas - File I/O,Read Excel files (dynamic sheets),2021.0,48.0,in regex match
892,Pandas - Other,```astype```,2021.0,48.0,both
893,Pandas - Other,"```fillna```, ```ffill```, ```bfill```",2021.0,48.0,both
894,Pandas - Reshaping,```extract```,2021.0,48.0,both
895,Pandas - Reshaping,```melt```,2021.0,48.0,both
896,Pandas - Reshaping,"```transpose```, ```T```",2021.0,48.0,in regex match
897,Pandas - Selection/slicing,```drop```,2021.0,48.0,both
898,Pandas - Selection/slicing,```dropna```,2021.0,48.0,both
899,Pandas - Selection/slicing,slicing a DataFrame,2021.0,48.0,both
900,String Functions,"```contains```, ```startswith```, ```endswith```",2021.0,48.0,both
901,String Functions,Count matches,2021.0,48.0,in regex match
902,String Functions,```replace```,2021.0,48.0,both
903,String Functions,String slicing,2021.0,48.0,in regex match
904,numpy,```where```,2021.0,48.0,both
905,Pandas - Aggregation,"Cumulative aggregation(```cumcount```, ```cumsum```, etc.)",2021.0,49.0,both
906,Pandas - Aggregation,Named Aggregation,2021.0,49.0,both
907,Pandas - Aggregation,```transform```,2021.0,49.0,both
908,Pandas - Dates,```dt.strftime```,2021.0,49.0,both
909,Pandas - Dates,```read_csv``` or ```read_excel``` with parse_dates,2021.0,49.0,both
910,Pandas - Reshaping,"```transpose```, ```T```",2021.0,49.0,in regex match
911,Rounding,Basic,2021.0,49.0,both
912,String Functions,Count matches,2021.0,49.0,in regex match
913,String Functions,String slicing,2021.0,49.0,in regex match
914,Other,list/dict comprehension,2021.0,50.0,both
915,Pandas - Aggregation,"Cumulative aggregation(```cumcount```, ```cumsum```, etc.)",2021.0,50.0,both
916,Pandas - Dates,"```DateOffset```, ```offsets```",2021.0,50.0,both
917,Pandas - File I/O,Read Excel files,2021.0,50.0,both
