Flag,Player,Session,Score,Session Date
Actual,Player 4,Cardio,6,20/04/2022
Actual,Player 4,Cardio,10,22/04/2022
Actual,Player 4,Cardio,4,25/04/2022
Carried over,Player 4,Cardio,9,28/04/2022
Carried over,Player 4,Cardio,9,27/04/2022
Actual,Player 4,Cardio,9,26/04/2022
Actual,Player 4,Cardio,4,29/04/2022
Actual,Player 4,Cardio,8,02/05/2022
Carried over,Player 4,Cardio,6,04/05/2022
Actual,Player 4,Cardio,6,03/05/2022
Actual,Player 4,Cardio,4,05/05/2022
Carried over,Player 4,Cardio,5,09/05/2022
Actual,Player 4,Cardio,5,06/05/2022
Actual,Player 4,Cardio,10,10/05/2022
Actual,Player 4,Cardio,5,11/05/2022
Actual,Player 4,Cardio,10,12/05/2022
Carried over,Player 4,Cardio,10,19/05/2022
Carried over,Player 4,Cardio,10,18/05/2022
Carried over,Player 4,Cardio,10,17/05/2022
Carried over,Player 4,Cardio,10,16/05/2022
Actual,Player 4,Cardio,10,13/05/2022
Actual,Player 4,Cardio,10,20/05/2022
Carried over,Player 4,Cardio,5,24/05/2022
Actual,Player 4,Cardio,5,23/05/2022
Carried over,Player 4,Cardio,8,26/05/2022
Actual,Player 4,Cardio,8,25/05/2022
Carried over,Player 4,Cardio,8,30/05/2022
Actual,Player 4,Cardio,8,27/05/2022
Carried over,Player 4,Cardio,10,01/06/2022
Actual,Player 4,Cardio,10,31/05/2022
Actual,Player 4,Cardio,4,02/06/2022
Actual,Player 4,Cardio,8,03/06/2022
Actual,Player 4,Cardio,7,06/06/2022
Actual,Player 4,Cardio,3,07/06/2022
Carried over,Player 4,Cardio,3,10/06/2022
Carried over,Player 4,Cardio,3,09/06/2022
Actual,Player 4,Cardio,3,08/06/2022
Actual,Player 4,Cardio,7,13/06/2022
Carried over,Player 4,Cardio,8,20/06/2022
Carried over,Player 4,Cardio,8,17/06/2022
Carried over,Player 4,Cardio,8,16/06/2022
Carried over,Player 4,Cardio,8,15/06/2022
Actual,Player 4,Cardio,8,14/06/2022
Actual,Player 4,Cardio,4,21/06/2022
Carried over,Player 4,Cardio,10,23/06/2022
Actual,Player 4,Cardio,10,22/06/2022
Carried over,Player 4,Cardio,7,28/06/2022
Carried over,Player 4,Cardio,7,27/06/2022
Actual,Player 4,Cardio,7,24/06/2022
Actual,Player 4,Cardio,4,29/06/2022
Actual,Player 4,Cardio,5,30/06/2022
Carried over,Player 4,Cardio,4,04/07/2022
Actual,Player 4,Cardio,4,01/07/2022
Carried over,Player 4,Cardio,5,06/07/2022
Actual,Player 4,Cardio,5,05/07/2022
Actual,Player 4,Cardio,10,07/07/2022
Actual,Player 4,Cardio,5,08/07/2022
Actual,Player 4,Cardio,4,11/07/2022
Actual,Player 4,Cardio,8,12/07/2022
Actual,Player 4,Cardio,10,13/07/2022
Actual,Player 4,Cardio,10,14/07/2022
Actual,Player 4,Cardio,9,15/07/2022
Actual,Player 4,Cardio,4,18/07/2022
Actual,Player 4,Cardio,5,19/07/2022
Actual,Player 4,Cardio,10,20/07/2022
Carried over,Player 4,Cardio,8,25/07/2022
Carried over,Player 4,Cardio,8,22/07/2022
Actual,Player 4,Cardio,8,21/07/2022
Actual,Player 4,Cardio,9,26/07/2022
Carried over,Player 4,Cardio,4,28/07/2022
Actual,Player 4,Cardio,4,27/07/2022
Actual,Player 2,Agility,9,03/01/2022
Actual,Player 2,Agility,5,04/01/2022
Actual,Player 2,Agility,5,05/01/2022
Actual,Player 2,Agility,9,06/01/2022
Carried over,Player 2,Agility,10,11/01/2022
Carried over,Player 2,Agility,10,10/01/2022
Actual,Player 2,Agility,10,07/01/2022
Actual,Player 2,Agility,5,12/01/2022
Carried over,Player 2,Agility,7,14/01/2022
Actual,Player 2,Agility,7,13/01/2022
Actual,Player 2,Agility,9,17/01/2022
Actual,Player 2,Agility,10,18/01/2022
Carried over,Player 2,Agility,6,21/01/2022
Carried over,Player 2,Agility,6,20/01/2022
Actual,Player 2,Agility,6,19/01/2022
Actual,Player 2,Agility,4,24/01/2022
Actual,Player 2,Agility,10,25/01/2022
Actual,Player 2,Agility,3,26/01/2022
Carried over,Player 2,Agility,5,31/01/2022
Carried over,Player 2,Agility,5,28/01/2022
Actual,Player 2,Agility,5,27/01/2022
Actual,Player 2,Agility,8,01/02/2022
Actual,Player 2,Agility,6,02/02/2022
Carried over,Player 2,Agility,6,04/02/2022
Actual,Player 2,Agility,6,03/02/2022
Actual,Player 2,Agility,6,07/02/2022
Actual,Player 2,Agility,9,08/02/2022
Carried over,Player 2,Agility,6,10/02/2022
Actual,Player 2,Agility,6,09/02/2022
Actual,Player 2,Agility,6,11/02/2022
Carried over,Player 2,Agility,3,15/02/2022
Actual,Player 2,Agility,3,14/02/2022
Actual,Player 2,Agility,7,16/02/2022
Carried over,Player 2,Agility,6,18/02/2022
Actual,Player 2,Agility,6,17/02/2022
Carried over,Player 2,Agility,6,23/02/2022
Carried over,Player 2,Agility,6,22/02/2022
Actual,Player 2,Agility,6,21/02/2022
Actual,Player 2,Agility,4,24/02/2022
Actual,Player 2,Agility,3,25/02/2022
Actual,Player 2,Agility,9,28/02/2022
Actual,Player 2,Agility,6,01/03/2022
Actual,Player 2,Agility,5,02/03/2022
Actual,Player 2,Agility,10,03/03/2022
Actual,Player 2,Agility,7,04/03/2022
Actual,Player 2,Agility,5,07/03/2022
Carried over,Player 2,Agility,9,09/03/2022
Actual,Player 2,Agility,9,08/03/2022
Actual,Player 2,Agility,6,10/03/2022
Actual,Player 2,Agility,8,11/03/2022
Actual,Player 2,Agility,3,14/03/2022
Actual,Player 2,Agility,6,15/03/2022
Actual,Player 2,Agility,6,16/03/2022
Actual,Player 2,Agility,8,17/03/2022
Carried over,Player 2,Agility,7,21/03/2022
Actual,Player 2,Agility,7,18/03/2022
Carried over,Player 2,Agility,4,23/03/2022
Actual,Player 2,Agility,4,22/03/2022
Actual,Player 2,Agility,10,24/03/2022
Carried over,Player 2,Agility,6,28/03/2022
Actual,Player 2,Agility,6,25/03/2022
Actual,Player 2,Agility,8,29/03/2022
Carried over,Player 2,Agility,9,31/03/2022
Actual,Player 2,Agility,9,30/03/2022
Actual,Player 2,Agility,3,01/04/2022
Actual,Player 2,Agility,8,04/04/2022
Carried over,Player 2,Agility,9,06/04/2022
Actual,Player 2,Agility,9,05/04/2022
Actual,Player 2,Agility,3,07/04/2022
Actual,Player 2,Agility,6,08/04/2022
Actual,Player 2,Agility,7,11/04/2022
Actual,Player 2,Agility,3,12/04/2022
Actual,Player 2,Agility,10,13/04/2022
Actual,Player 2,Agility,4,14/04/2022
Actual,Player 2,Agility,3,15/04/2022
Actual,Player 2,Agility,3,18/04/2022
Actual,Player 2,Agility,10,19/04/2022
Actual,Player 2,Agility,7,20/04/2022
Actual,Player 2,Agility,10,21/04/2022
Actual,Player 2,Agility,9,22/04/2022
Actual,Player 2,Agility,9,25/04/2022
Actual,Player 2,Agility,5,26/04/2022
Actual,Player 2,Agility,8,27/04/2022
Actual,Player 2,Agility,8,28/04/2022
Carried over,Player 2,Agility,3,03/05/2022
Carried over,Player 2,Agility,3,02/05/2022
Actual,Player 2,Agility,3,29/04/2022
Actual,Player 2,Agility,4,04/05/2022
Actual,Player 2,Agility,8,05/05/2022
Carried over,Player 2,Agility,4,09/05/2022
Actual,Player 2,Agility,4,06/05/2022
Actual,Player 2,Agility,7,10/05/2022
Actual,Player 2,Agility,8,11/05/2022
Actual,Player 2,Agility,4,12/05/2022
Actual,Player 2,Agility,3,13/05/2022
Actual,Player 2,Agility,8,16/05/2022
Carried over,Player 2,Agility,8,18/05/2022
Actual,Player 2,Agility,8,17/05/2022
Carried over,Player 2,Agility,9,20/05/2022
Actual,Player 2,Agility,9,19/05/2022
Carried over,Player 2,Agility,7,24/05/2022
Actual,Player 2,Agility,7,23/05/2022
Actual,Player 2,Agility,10,25/05/2022
Carried over,Player 2,Agility,6,30/05/2022
Carried over,Player 2,Agility,6,27/05/2022
Actual,Player 2,Agility,6,26/05/2022
Carried over,Player 2,Agility,9,01/06/2022
Actual,Player 2,Agility,9,31/05/2022
Actual,Player 2,Agility,4,02/06/2022
Actual,Player 2,Agility,4,03/06/2022
Actual,Player 2,Agility,10,06/06/2022
Carried over,Player 2,Agility,10,09/06/2022
Carried over,Player 2,Agility,10,08/06/2022
Actual,Player 2,Agility,10,07/06/2022
Actual,Player 2,Agility,8,10/06/2022
Actual,Player 2,Agility,3,13/06/2022
Actual,Player 2,Agility,10,14/06/2022
Carried over,Player 2,Agility,10,16/06/2022
Actual,Player 2,Agility,10,15/06/2022
Actual,Player 2,Agility,4,17/06/2022
Carried over,Player 2,Agility,9,21/06/2022
Actual,Player 2,Agility,9,20/06/2022
Actual,Player 2,Agility,4,22/06/2022
Actual,Player 2,Agility,10,23/06/2022
Carried over,Player 2,Agility,5,27/06/2022
Actual,Player 2,Agility,5,24/06/2022
Actual,Player 2,Agility,9,28/06/2022
Actual,Player 2,Agility,9,29/06/2022
Actual,Player 2,Agility,4,30/06/2022
Carried over,Player 2,Agility,10,04/07/2022
Actual,Player 2,Agility,10,01/07/2022
Carried over,Player 2,Agility,8,06/07/2022
Actual,Player 2,Agility,8,05/07/2022
Carried over,Player 2,Agility,7,08/07/2022
Actual,Player 2,Agility,7,07/07/2022
Actual,Player 2,Agility,3,11/07/2022
Actual,Player 2,Agility,3,12/07/2022
Actual,Player 2,Agility,8,13/07/2022
Actual,Player 2,Agility,6,14/07/2022
Carried over,Player 2,Agility,4,27/07/2022
Carried over,Player 2,Agility,4,26/07/2022
Carried over,Player 2,Agility,4,25/07/2022
Carried over,Player 2,Agility,4,22/07/2022
Carried over,Player 2,Agility,4,21/07/2022
Carried over,Player 2,Agility,4,20/07/2022
Carried over,Player 2,Agility,4,19/07/2022
Carried over,Player 2,Agility,4,18/07/2022
Actual,Player 2,Agility,4,15/07/2022
Carried over,Player 7,Strength Building,4,04/01/2022
Actual,Player 7,Strength Building,4,03/01/2022
Actual,Player 7,Strength Building,3,05/01/2022
Carried over,Player 7,Strength Building,4,10/01/2022
Carried over,Player 7,Strength Building,4,07/01/2022
Actual,Player 7,Strength Building,4,06/01/2022
Carried over,Player 7,Strength Building,9,12/01/2022
Actual,Player 7,Strength Building,9,11/01/2022
Actual,Player 7,Strength Building,5,13/01/2022
Actual,Player 7,Strength Building,6,14/01/2022
Actual,Player 7,Strength Building,8,17/01/2022
Carried over,Player 7,Strength Building,10,21/01/2022
Carried over,Player 7,Strength Building,10,20/01/2022
Carried over,Player 7,Strength Building,10,19/01/2022
Actual,Player 7,Strength Building,10,18/01/2022
Actual,Player 7,Strength Building,10,24/01/2022
Actual,Player 7,Strength Building,5,25/01/2022
Actual,Player 7,Strength Building,7,26/01/2022
Actual,Player 7,Strength Building,9,27/01/2022
Actual,Player 7,Strength Building,3,28/01/2022
Carried over,Player 15,Agility,7,04/01/2022
Actual,Player 15,Agility,7,03/01/2022
Actual,Player 15,Agility,5,05/01/2022
Actual,Player 15,Agility,3,06/01/2022
Carried over,Player 15,Agility,3,10/01/2022
Actual,Player 15,Agility,3,07/01/2022
Actual,Player 15,Agility,6,11/01/2022
Actual,Player 15,Agility,9,12/01/2022
Actual,Player 15,Agility,7,13/01/2022
Carried over,Player 15,Agility,10,19/01/2022
Carried over,Player 15,Agility,10,18/01/2022
Carried over,Player 15,Agility,10,17/01/2022
Actual,Player 15,Agility,10,14/01/2022
Carried over,Player 15,Agility,7,26/01/2022
Carried over,Player 15,Agility,7,25/01/2022
Carried over,Player 15,Agility,7,24/01/2022
Carried over,Player 15,Agility,7,21/01/2022
Actual,Player 15,Agility,7,20/01/2022
Actual,Player 15,Agility,3,27/01/2022
Actual,Player 15,Agility,7,28/01/2022
Actual,Player 15,Agility,4,31/01/2022
Carried over,Player 15,Agility,4,03/02/2022
Carried over,Player 15,Agility,4,02/02/2022
Actual,Player 15,Agility,4,01/02/2022
Carried over,Player 15,Agility,10,07/02/2022
Actual,Player 15,Agility,10,04/02/2022
Actual,Player 15,Agility,7,08/02/2022
Actual,Player 15,Agility,10,09/02/2022
Actual,Player 15,Agility,10,10/02/2022
Actual,Player 15,Agility,10,11/02/2022
Actual,Player 15,Agility,6,14/02/2022
Actual,Player 15,Agility,9,15/02/2022
Actual,Player 15,Agility,3,16/02/2022
Actual,Player 15,Agility,9,17/02/2022
Actual,Player 15,Agility,8,18/02/2022
Carried over,Player 15,Agility,9,22/02/2022
Actual,Player 15,Agility,9,21/02/2022
Actual,Player 15,Agility,9,23/02/2022
Actual,Player 15,Agility,6,24/02/2022
Carried over,Player 15,Agility,4,28/02/2022
Actual,Player 15,Agility,4,25/02/2022
Actual,Player 15,Agility,8,01/03/2022
Carried over,Player 15,Agility,8,03/03/2022
Actual,Player 15,Agility,8,02/03/2022
Actual,Player 15,Agility,10,04/03/2022
Carried over,Player 15,Agility,4,08/03/2022
Actual,Player 15,Agility,4,07/03/2022
Actual,Player 15,Agility,4,09/03/2022
Carried over,Player 15,Agility,7,11/03/2022
Actual,Player 15,Agility,7,10/03/2022
Carried over,Player 15,Agility,9,15/03/2022
Actual,Player 15,Agility,9,14/03/2022
Actual,Player 15,Agility,7,16/03/2022
Actual,Player 15,Agility,6,17/03/2022
Actual,Player 15,Agility,10,18/03/2022
Actual,Player 15,Agility,5,21/03/2022
Actual,Player 15,Agility,10,22/03/2022
Carried over,Player 15,Agility,8,24/03/2022
Actual,Player 15,Agility,8,23/03/2022
Actual,Player 15,Agility,9,25/03/2022
Actual,Player 15,Agility,9,28/03/2022
Actual,Player 15,Agility,3,29/03/2022
Actual,Player 15,Agility,7,30/03/2022
Actual,Player 15,Agility,5,31/03/2022
Carried over,Player 15,Agility,8,05/04/2022
Carried over,Player 15,Agility,8,04/04/2022
Actual,Player 15,Agility,8,01/04/2022
Actual,Player 15,Agility,4,06/04/2022
Actual,Player 15,Agility,4,07/04/2022
Actual,Player 15,Agility,4,08/04/2022
Actual,Player 15,Agility,9,11/04/2022
Actual,Player 15,Agility,4,12/04/2022
Actual,Player 15,Agility,6,13/04/2022
Actual,Player 15,Agility,6,14/04/2022
Actual,Player 15,Agility,6,15/04/2022
Actual,Player 15,Agility,10,18/04/2022
Actual,Player 15,Agility,5,19/04/2022
Actual,Player 15,Agility,10,20/04/2022
Actual,Player 15,Agility,9,21/04/2022
Carried over,Player 15,Agility,3,25/04/2022
Actual,Player 15,Agility,3,22/04/2022
Carried over,Player 15,Agility,4,29/04/2022
Carried over,Player 15,Agility,4,28/04/2022
Carried over,Player 15,Agility,4,27/04/2022
Actual,Player 15,Agility,4,26/04/2022
Carried over,Player 15,Agility,7,03/05/2022
Actual,Player 15,Agility,7,02/05/2022
Actual,Player 15,Agility,8,04/05/2022
Actual,Player 15,Agility,7,05/05/2022
Actual,Player 15,Agility,6,06/05/2022
Carried over,Player 15,Agility,7,10/05/2022
Actual,Player 15,Agility,7,09/05/2022
Carried over,Player 15,Agility,6,12/05/2022
Actual,Player 15,Agility,6,11/05/2022
Carried over,Player 15,Agility,7,16/05/2022
Actual,Player 15,Agility,7,13/05/2022
Actual,Player 15,Agility,5,17/05/2022
Actual,Player 15,Agility,3,18/05/2022
Carried over,Player 15,Agility,9,20/05/2022
Actual,Player 15,Agility,9,19/05/2022
Actual,Player 15,Agility,10,23/05/2022
Actual,Player 15,Agility,6,24/05/2022
Actual,Player 15,Agility,6,25/05/2022
Actual,Player 15,Agility,9,26/05/2022
Actual,Player 15,Agility,10,27/05/2022
Actual,Player 15,Agility,4,30/05/2022
Actual,Player 15,Agility,7,31/05/2022
Actual,Player 15,Agility,5,01/06/2022
Actual,Player 15,Agility,3,02/06/2022
Carried over,Player 15,Agility,6,06/06/2022
Actual,Player 15,Agility,6,03/06/2022
Actual,Player 15,Agility,3,07/06/2022
Actual,Player 15,Agility,10,08/06/2022
Actual,Player 15,Agility,8,09/06/2022
Actual,Player 15,Agility,7,10/06/2022
Actual,Player 15,Agility,6,13/06/2022
Actual,Player 15,Agility,6,14/06/2022
Actual,Player 15,Agility,3,15/06/2022
Actual,Player 15,Agility,3,16/06/2022
Actual,Player 15,Agility,8,17/06/2022
Actual,Player 15,Agility,5,20/06/2022
Actual,Player 15,Agility,3,21/06/2022
Actual,Player 15,Agility,7,22/06/2022
Actual,Player 15,Agility,7,23/06/2022
Actual,Player 15,Agility,5,24/06/2022
Carried over,Player 15,Agility,5,28/06/2022
Actual,Player 15,Agility,5,27/06/2022
Actual,Player 15,Agility,8,29/06/2022
Actual,Player 15,Agility,7,30/06/2022
Actual,Player 15,Agility,4,01/07/2022
Carried over,Player 15,Agility,10,05/07/2022
Actual,Player 15,Agility,10,04/07/2022
Carried over,Player 15,Agility,6,08/07/2022
Carried over,Player 15,Agility,6,07/07/2022
Actual,Player 15,Agility,6,06/07/2022
Carried over,Player 15,Agility,9,13/07/2022
Carried over,Player 15,Agility,9,12/07/2022
Actual,Player 15,Agility,9,11/07/2022
Actual,Player 15,Agility,6,14/07/2022
Carried over,Player 15,Agility,4,18/07/2022
Actual,Player 15,Agility,4,15/07/2022
Actual,Player 15,Agility,9,19/07/2022
Actual,Player 15,Agility,7,20/07/2022
Actual,Player 15,Agility,8,21/07/2022
Actual,Player 15,Agility,5,22/07/2022
Actual,Player 15,Agility,10,25/07/2022
Carried over,Player 15,Agility,4,27/07/2022
Actual,Player 15,Agility,4,26/07/2022
Actual,Player 13,Strength Building,9,03/01/2022
Actual,Player 13,Strength Building,9,04/01/2022
Actual,Player 13,Strength Building,7,05/01/2022
Actual,Player 13,Strength Building,3,06/01/2022
Carried over,Player 13,Strength Building,3,10/01/2022
Actual,Player 13,Strength Building,3,07/01/2022
Actual,Player 13,Strength Building,3,11/01/2022
Actual,Player 13,Strength Building,3,12/01/2022
Actual,Player 13,Strength Building,3,13/01/2022
Actual,Player 13,Strength Building,3,14/01/2022
Actual,Player 13,Strength Building,6,17/01/2022
Actual,Player 13,Strength Building,9,18/01/2022
Carried over,Player 13,Strength Building,3,21/01/2022
Carried over,Player 13,Strength Building,3,20/01/2022
Actual,Player 13,Strength Building,3,19/01/2022
Carried over,Player 13,Strength Building,10,26/01/2022
Carried over,Player 13,Strength Building,10,25/01/2022
Actual,Player 13,Strength Building,10,24/01/2022
Carried over,Player 13,Strength Building,10,28/01/2022
Actual,Player 13,Strength Building,10,27/01/2022
Actual,Player 13,Strength Building,4,31/01/2022
Actual,Player 13,Strength Building,4,01/02/2022
Actual,Player 13,Strength Building,9,02/02/2022
Actual,Player 13,Strength Building,8,03/02/2022
Carried over,Player 13,Strength Building,3,07/02/2022
Actual,Player 13,Strength Building,3,04/02/2022
Carried over,Player 13,Strength Building,3,09/02/2022
Actual,Player 13,Strength Building,3,08/02/2022
Actual,Player 13,Strength Building,5,10/02/2022
Carried over,Player 13,Strength Building,7,14/02/2022
Actual,Player 13,Strength Building,7,11/02/2022
Actual,Player 13,Strength Building,10,15/02/2022
Actual,Player 13,Strength Building,6,16/02/2022
Actual,Player 13,Strength Building,5,17/02/2022
Actual,Player 13,Strength Building,4,18/02/2022
Actual,Player 13,Strength Building,3,21/02/2022
Carried over,Player 13,Strength Building,5,24/02/2022
Carried over,Player 13,Strength Building,5,23/02/2022
Actual,Player 13,Strength Building,5,22/02/2022
Carried over,Player 13,Strength Building,3,28/02/2022
Actual,Player 13,Strength Building,3,25/02/2022
Carried over,Player 13,Strength Building,9,02/03/2022
Actual,Player 13,Strength Building,9,01/03/2022
Actual,Player 13,Strength Building,3,03/03/2022
Actual,Player 13,Strength Building,5,04/03/2022
Actual,Player 13,Strength Building,3,07/03/2022
Actual,Player 13,Strength Building,6,08/03/2022
Actual,Player 13,Strength Building,4,09/03/2022
Actual,Player 13,Strength Building,6,10/03/2022
Actual,Player 13,Strength Building,8,11/03/2022
Carried over,Player 13,Strength Building,7,17/03/2022
Carried over,Player 13,Strength Building,7,16/03/2022
Carried over,Player 13,Strength Building,7,15/03/2022
Actual,Player 13,Strength Building,7,14/03/2022
Actual,Player 13,Strength Building,5,18/03/2022
Actual,Player 13,Strength Building,4,21/03/2022
Actual,Player 13,Strength Building,7,22/03/2022
Carried over,Player 13,Strength Building,3,24/03/2022
Actual,Player 13,Strength Building,3,23/03/2022
Carried over,Player 13,Strength Building,10,28/03/2022
Actual,Player 13,Strength Building,10,25/03/2022
Actual,Player 13,Strength Building,10,29/03/2022
Actual,Player 13,Strength Building,4,30/03/2022
Actual,Player 13,Strength Building,8,31/03/2022
Actual,Player 13,Strength Building,9,01/04/2022
Carried over,Player 13,Strength Building,7,05/04/2022
Actual,Player 13,Strength Building,7,04/04/2022
Carried over,Player 13,Strength Building,4,07/04/2022
Actual,Player 13,Strength Building,4,06/04/2022
Actual,Player 13,Strength Building,3,08/04/2022
Actual,Player 13,Strength Building,4,11/04/2022
Actual,Player 13,Strength Building,6,12/04/2022
Actual,Player 13,Strength Building,10,13/04/2022
Actual,Player 13,Strength Building,6,14/04/2022
Carried over,Player 13,Strength Building,9,22/04/2022
Carried over,Player 13,Strength Building,9,21/04/2022
Carried over,Player 13,Strength Building,9,20/04/2022
Carried over,Player 13,Strength Building,9,19/04/2022
Carried over,Player 13,Strength Building,9,18/04/2022
Actual,Player 13,Strength Building,9,15/04/2022
Actual,Player 13,Strength Building,9,25/04/2022
Actual,Player 13,Strength Building,10,26/04/2022
Actual,Player 13,Strength Building,7,27/04/2022
Actual,Player 13,Strength Building,9,28/04/2022
Actual,Player 13,Strength Building,7,29/04/2022
Actual,Player 13,Strength Building,9,02/05/2022
Carried over,Player 13,Strength Building,8,05/05/2022
Carried over,Player 13,Strength Building,8,04/05/2022
Actual,Player 13,Strength Building,8,03/05/2022
Actual,Player 13,Strength Building,8,06/05/2022
Actual,Player 13,Strength Building,8,09/05/2022
Actual,Player 13,Strength Building,4,10/05/2022
Carried over,Player 13,Strength Building,7,19/05/2022
Carried over,Player 13,Strength Building,7,18/05/2022
Carried over,Player 13,Strength Building,7,17/05/2022
Carried over,Player 13,Strength Building,7,16/05/2022
Carried over,Player 13,Strength Building,7,13/05/2022
Carried over,Player 13,Strength Building,7,12/05/2022
Actual,Player 13,Strength Building,7,11/05/2022
Actual,Player 13,Strength Building,4,20/05/2022
Carried over,Player 13,Strength Building,6,25/05/2022
Carried over,Player 13,Strength Building,6,24/05/2022
Actual,Player 13,Strength Building,6,23/05/2022
Actual,Player 13,Strength Building,6,26/05/2022
Carried over,Player 13,Strength Building,4,31/05/2022
Carried over,Player 13,Strength Building,4,30/05/2022
Actual,Player 13,Strength Building,4,27/05/2022
Carried over,Player 13,Strength Building,10,06/06/2022
Carried over,Player 13,Strength Building,10,03/06/2022
Carried over,Player 13,Strength Building,10,02/06/2022
Actual,Player 13,Strength Building,10,01/06/2022
Actual,Player 13,Strength Building,5,07/06/2022
Actual,Player 13,Strength Building,4,08/06/2022
Carried over,Player 13,Strength Building,3,14/06/2022
Carried over,Player 13,Strength Building,3,13/06/2022
Carried over,Player 13,Strength Building,3,10/06/2022
Actual,Player 13,Strength Building,3,09/06/2022
Actual,Player 13,Strength Building,7,15/06/2022
Actual,Player 13,Strength Building,4,16/06/2022
Actual,Player 13,Strength Building,4,17/06/2022
Carried over,Player 13,Strength Building,3,21/06/2022
Actual,Player 13,Strength Building,3,20/06/2022
Actual,Player 13,Strength Building,10,22/06/2022
Actual,Player 13,Strength Building,6,23/06/2022
Actual,Player 13,Strength Building,4,24/06/2022
Carried over,Player 13,Strength Building,5,28/06/2022
Actual,Player 13,Strength Building,5,27/06/2022
Carried over,Player 13,Strength Building,3,30/06/2022
Actual,Player 13,Strength Building,3,29/06/2022
Actual,Player 13,Strength Building,8,01/07/2022
Carried over,Player 13,Strength Building,8,05/07/2022
Actual,Player 13,Strength Building,8,04/07/2022
Actual,Player 13,Strength Building,5,06/07/2022
Carried over,Player 13,Strength Building,7,08/07/2022
Actual,Player 13,Strength Building,7,07/07/2022
Actual,Player 13,Strength Building,8,11/07/2022
Carried over,Player 13,Strength Building,6,13/07/2022
Actual,Player 13,Strength Building,6,12/07/2022
Actual,Player 13,Strength Building,9,14/07/2022
Carried over,Player 13,Strength Building,3,19/07/2022
Carried over,Player 13,Strength Building,3,18/07/2022
Actual,Player 13,Strength Building,3,15/07/2022
Actual,Player 13,Strength Building,7,20/07/2022
Carried over,Player 13,Strength Building,8,25/07/2022
Carried over,Player 13,Strength Building,8,22/07/2022
Carried over,Player 12,Cardio,8,05/01/2022
Carried over,Player 12,Cardio,8,04/01/2022
Actual,Player 12,Cardio,8,03/01/2022
Actual,Player 12,Cardio,10,06/01/2022
Carried over,Player 12,Cardio,3,13/01/2022
Carried over,Player 12,Cardio,3,12/01/2022
Carried over,Player 12,Cardio,3,11/01/2022
Carried over,Player 12,Cardio,3,10/01/2022
Actual,Player 12,Cardio,3,07/01/2022
Carried over,Player 12,Cardio,5,17/01/2022
Actual,Player 12,Cardio,5,14/01/2022
Carried over,Player 12,Cardio,9,21/01/2022
Carried over,Player 12,Cardio,9,20/01/2022
Carried over,Player 12,Cardio,9,19/01/2022
Actual,Player 12,Cardio,9,18/01/2022
Carried over,Player 12,Cardio,7,27/01/2022
Carried over,Player 12,Cardio,7,26/01/2022
Carried over,Player 12,Cardio,7,25/01/2022
Actual,Player 12,Cardio,7,24/01/2022
Actual,Player 12,Cardio,10,28/01/2022
Actual,Player 12,Cardio,10,31/01/2022
Actual,Player 12,Cardio,7,01/02/2022
Actual,Player 12,Cardio,9,02/02/2022
Carried over,Player 12,Cardio,4,07/02/2022
Carried over,Player 12,Cardio,4,04/02/2022
Actual,Player 12,Cardio,4,03/02/2022
Actual,Player 12,Cardio,3,08/02/2022
Carried over,Player 12,Cardio,6,10/02/2022
Actual,Player 12,Cardio,6,09/02/2022
Actual,Player 12,Cardio,10,11/02/2022
Actual,Player 12,Cardio,4,14/02/2022
Actual,Player 12,Cardio,9,15/02/2022
Actual,Player 12,Cardio,9,16/02/2022
Actual,Player 12,Cardio,6,17/02/2022
Actual,Player 12,Cardio,8,18/02/2022
Actual,Player 12,Cardio,10,21/02/2022
Actual,Player 12,Cardio,6,22/02/2022
Actual,Player 12,Cardio,10,23/02/2022
Actual,Player 12,Cardio,4,24/02/2022
Carried over,Player 12,Cardio,4,28/02/2022
Actual,Player 12,Cardio,4,25/02/2022
Carried over,Player 12,Cardio,4,03/03/2022
Carried over,Player 12,Cardio,4,02/03/2022
Actual,Player 12,Cardio,4,01/03/2022
Actual,Player 12,Cardio,3,04/03/2022
Actual,Player 12,Cardio,3,07/03/2022
Actual,Player 12,Cardio,7,08/03/2022
Actual,Player 12,Cardio,7,09/03/2022
Actual,Player 12,Cardio,10,10/03/2022
Carried over,Player 12,Cardio,6,15/03/2022
Carried over,Player 12,Cardio,6,14/03/2022
Actual,Player 12,Cardio,6,11/03/2022
Carried over,Player 12,Cardio,8,17/03/2022
Actual,Player 12,Cardio,8,16/03/2022
Carried over,Player 12,Cardio,8,21/03/2022
Actual,Player 12,Cardio,8,18/03/2022
Actual,Player 12,Cardio,4,22/03/2022
Actual,Player 12,Cardio,3,23/03/2022
Actual,Player 12,Cardio,3,24/03/2022
Actual,Player 12,Cardio,9,25/03/2022
Carried over,Player 12,Cardio,10,29/03/2022
Actual,Player 12,Cardio,10,28/03/2022
Carried over,Player 12,Cardio,6,31/03/2022
Actual,Player 12,Cardio,6,30/03/2022
Actual,Player 12,Cardio,4,01/04/2022
Actual,Player 12,Cardio,9,04/04/2022
Actual,Player 12,Cardio,6,05/04/2022
Actual,Player 12,Cardio,8,06/04/2022
Actual,Player 12,Cardio,10,07/04/2022
Carried over,Player 12,Cardio,7,11/04/2022
Actual,Player 12,Cardio,7,08/04/2022
Carried over,Player 12,Cardio,9,13/04/2022
Actual,Player 12,Cardio,9,12/04/2022
