Hour,Minute,From,To
21,15,1,G
21,15,G,6
21,16,7,5
21,17,2,5
21,17,8,G
21,18,11,10
21,19,11,G
21,19,7,1
21,20,G,5
21,20,B,10
21,21,5,3
21,22,2,G
21,23,3,6
21,23,10,G
21,23,G,5
21,24,G,9
21,24,4,5
21,25,G,11
21,25,6,9
21,26,B,5
21,26,1,G
21,26,11,7
21,28,G,2
21,28,G,11
21,28,G,11
21,29,6,G
21,30,B,G
21,30,1,G
21,31,G,7
21,32,5,7
21,32,6,G
21,33,G,8
21,34,G,9
21,34,2,10
21,35,G,7
21,35,G,10
21,35,2,6
21,36,G,10
21,37,G,1
21,37,6,5
21,38,11,B
21,39,G,8
21,40,11,1
21,40,5,1
21,41,G,6
21,42,G,11
21,43,8,G
21,43,4,G
21,43,G,11
21,46,G,6
21,47,G,4
21,47,6,G
21,48,7,G
21,48,3,5
21,49,11,9
21,50,G,5
21,50,7,G
21,51,4,8
21,51,G,9
21,53,10,G
21,53,6,4
21,54,G,5
21,55,2,4
21,56,10,3
21,57,G,4
21,57,G,5
21,58,8,G
21,59,4,11
22,1,1,G
22,1,B,G
22,2,8,1
22,2,5,1
22,3,2,11
22,4,2,4
22,4,7,G
22,4,4,G
22,5,B,3
22,5,4,G
22,6,2,B
22,7,7,G
22,8,2,G
22,11,G,5
22,11,10,G
22,13,3,7
22,14,1,G
22,15,10,G
22,17,8,G
22,17,10,B
22,17,1,8
22,19,6,8
22,19,4,G
22,20,1,10
22,21,4,G
22,21,G,2
22,22,G,B
22,22,7,2
22,24,2,G
22,24,6,2
22,25,G,9
22,26,6,G
22,26,G,9
22,27,1,7
22,27,9,10
22,28,G,11
22,28,8,11
22,29,B,5
22,29,1,11
22,30,4,6
22,32,G,3
22,33,6,G
22,34,G,8
22,34,3,2
22,35,5,8
22,37,G,11
22,37,11,8
22,38,11,10
22,39,10,G
22,40,8,B
22,42,G,11
22,42,8,4
22,42,8,2
22,43,5,B
22,44,4,G
22,44,G,6
22,45,5,G
22,45,G,2
22,47,11,G
22,47,8,2
22,48,3,G
22,49,3,2
22,49,B,11
22,50,2,8
22,50,G,4
22,50,11,3
22,51,6,G
22,52,G,11
22,52,G,5
22,52,1,G
22,53,G,11
22,53,3,4
22,54,G,B
22,55,11,G
22,56,11,6
22,56,G,1
22,57,9,G
22,58,G,11
22,59,2,G
22,59,G,2
23,1,G,11
23,2,G,B
23,4,G,8
23,5,2,G
23,5,2,G
23,5,2,G
23,6,8,7
23,7,5,G
23,7,G,3
23,8,4,7
23,9,5,G
23,11,G,2
23,11,3,G
23,11,10,G
23,12,1,G
23,12,G,11
23,13,1,G
23,14,G,10
23,14,G,11
23,15,G,10
23,16,G,B
23,16,3,9
23,17,4,G
23,18,2,6
23,18,2,G
23,18,G,B
23,19,B,G
23,19,3,G
23,19,4,G
23,20,G,7
23,20,3,G
23,22,9,11
23,23,10,8
23,24,B,G
23,26,G,3
23,26,G,B
23,26,G,8
23,27,G,1
23,27,G,11
23,27,G,9
23,29,11,9
23,29,8,1
23,29,3,G
23,30,B,G
23,31,3,4
23,32,G,1
23,32,6,11
23,32,G,B
23,33,2,10
23,34,G,6
23,34,5,G
23,35,G,7
23,35,6,G
23,36,G,10
23,36,11,8
23,37,G,6
23,38,6,G
23,38,G,9
23,39,G,B
23,40,9,G
23,41,G,1
23,43,G,2
23,43,1,G
23,44,3,G
23,45,G,1
23,46,2,3
23,46,1,G
23,49,11,7
23,50,G,2
23,51,6,G
23,52,11,G
23,52,11,5
23,53,G,1
23,53,5,G
23,54,9,1
23,54,6,5
23,55,7,2
23,56,G,3
23,56,9,G
23,56,G,1
23,58,2,7
23,58,4,G
23,59,G,5
