name,metric,raw_value,scaled_value
Loni Harwood,career_length,13.27583846680356,61.0
Ana Marquez,career_length,11.227926078028748,38.0
Marsha Wolak,career_length,11.501711156741958,40.0
Natalya Nikitina,career_length,10.926762491444217,36.0
Haixia Zhang,career_length,10.902121834360027,35.0
Abbey Daniels,career_length,10.652977412731007,34.0
Sixiao Li,career_length,7.578370978781656,17.0
Amanda Musumeci,career_length,6.26694045174538,9.0
Lily Kiletto,career_length,10.50239561943874,33.0
Gaelle Baumann,career_length,8.70362765229295,21.0
Lauren Roberts,career_length,9.418206707734429,26.0
Ema Zajmovic,career_length,9.886379192334017,28.0
Wendy Freedman,career_length,9.705681040383299,27.0
Carla Sabini,career_length,7.4633812457221085,15.0
Yuri Ishida,career_length,9.27857631759069,24.0
Gloria Jackson,career_length,9.409993155373032,25.0
Elisabeth Hille,career_length,7.137577002053388,13.0
Sosia Jiang,career_length,8.78302532511978,22.0
Kelly Minkin,career_length,8.145106091718,19.0
Li Yan,career_length,6.236824093086927,6.0
Samantha Abernathy,career_length,7.761806981519507,18.0
Yaxi Zhu,career_length,3.370294318959617,3.0
Angelina Rich,career_length,7.509924709103354,16.0
Thi Xoa Nguyen,career_length,10.47501711156742,32.0
Vivian Saliba,career_length,7.227926078028747,14.0
Gao Wenling,career_length,7.096509240246407,12.0
Maria Constanza Lampropulos,career_length,6.699520876112252,10.0
Linglin Zeng,career_length,6.2559890485968515,7.0
Cate Hall,career_length,6.713210130047912,11.0
Ness Reilly,career_length,12.358658453114305,50.0
Lisa Meredith,career_length,2.206707734428474,1.0
Kyna England,career_length,2.8939082819986313,2.0
