Flight Details,Flow Card?,Bags Checked,Meal Type
2024-04-30//PA008//Perth-New York//Economy//3265,0,2,None
2024-07-03//PA005//London-Tokyo//Business Class//374.39999999999998,0,3,Nut Free
2024-05-14//PA008//Perth-New York//Economy//2435,1,0,Vegetarian
2024-07-30//PA005//London-Tokyo//Premium Economy//1347.5,0,1,Nut Free
2024-12-06//PA011//Perth-Tokyo//Economy//2705,0,1,Nut Free
2024-07-03//PA012//Tokyo-Perth//Premium Economy//1582.5,1,1,Egg Free
2024-03-14//PA008//Perth-New York//Premium Economy//1127.5,1,1,None
2024-07-29//PA005//London-Tokyo//Business Class//262.80000000000001,0,1,None
2024-07-03//PA008//Perth-New York//Premium Economy//1457.5,1,1,Egg Free
2024-02-04//PA001//London-New York//Business Class//793.19999999999993,1,0,None
2024-01-21//PA006//Tokyo-London//First Class//647,0,2,Egg Free
2024-04-06//PA010//Tokyo-New York//First Class//324,0,1,Vegetarian
2024-04-19//PA011//Perth-Tokyo//Business Class//394.80000000000001,0,1,Egg Free
2024-01-18//PA007//New York-Perth//First Class//554,0,0,None
2024-07-12//PA007//New York-Perth//First Class//346,1,0,Dairy Free
2024-06-02//PA010//Tokyo-New York//Business Class//649.19999999999993,1,1,None
2024-09-28//PA003//London-Perth//Premium Economy//937.5,1,1,Egg Free
2024-08-09//PA004//Perth-London//Business Class//547.19999999999993,1,3,Vegetarian
2024-05-28//PA010//Tokyo-New York//Economy//3295,1,1,Egg Free
2024-03-11//PA011//Perth-Tokyo//First Class//438,1,3,None
2024-07-26//PA005//London-Tokyo//Premium Economy//510,1,1,Dairy Free
2024-08-24//PA011//Perth-Tokyo//Business Class//780,0,3,Vegan
2024-08-09//PA011//Perth-Tokyo//First Class//420,0,3,Nut Free
2024-06-01//PA006//Tokyo-London//Business Class//782.39999999999998,1,0,Vegetarian
2024-12-23//PA008//Perth-New York//Economy//1905,0,2,None
2024-03-28//PA010//Tokyo-New York//Business Class//568.79999999999995,1,3,Egg Free
2024-12-16//PA006//Tokyo-London//Economy//3150,1,2,Vegan
2024-11-09//PA010//Tokyo-New York//First Class//613,1,1,Egg Free
2024-07-07//PA009//New York-Tokyo//Economy//2700,1,2,Nut Free
2024-10-03//PA005//London-Tokyo//Economy//1150,1,3,None
2024-10-27//PA006//Tokyo-London//Premium Economy//1360,0,3,Egg Free
2024-12-02//PA001//London-New York//Economy//2530,0,0,Dairy Free
2024-03-04//PA006//Tokyo-London//Premium Economy//1257.5,0,1,Vegetarian
2024-09-19//PA008//Perth-New York//First Class//495,0,3,Vegan
2024-01-12//PA010//Tokyo-New York//Business Class//313.19999999999999,1,3,Vegan
2024-12-20//PA005//London-Tokyo//First Class//646,0,1,Nut Free
2024-08-30//PA009//New York-Tokyo//Economy//2875,1,1,Dairy Free
2024-12-23//PA004//Perth-London//Economy//2635,0,2,Nut Free
2024-01-23//PA009//New York-Tokyo//First Class//603,1,1,Egg Free
2024-04-17//PA011//Perth-Tokyo//First Class//362,1,2,Dairy Free
2024-06-18//PA001//London-New York//Economy//1390,0,0,Dairy Free
2024-01-17//PA006//Tokyo-London//Economy//2140,0,3,Vegetarian
2024-11-24//PA005//London-Tokyo//First Class//322,1,3,Vegetarian
2024-12-19//PA006//Tokyo-London//First Class//296,0,2,Egg Free
2024-01-04//PA003//London-Perth//First Class//443,0,2,Nut Free
2024-11-20//PA011//Perth-Tokyo//First Class//678,1,1,Egg Free
2024-12-16//PA004//Perth-London//Premium Economy//1410,1,1,Egg Free
2024-06-15//PA005//London-Tokyo//Economy//1775,1,1,Egg Free
2024-10-05//PA009//New York-Tokyo//Business Class//787.19999999999993,0,2,Vegetarian
2024-06-23//PA010//Tokyo-New York//Business Class//291.59999999999997,1,2,Dairy Free
2024-06-05//PA008//Perth-New York//First Class//316,1,3,Egg Free
2024-12-23//PA009//New York-Tokyo//First Class//630,0,2,Dairy Free
2024-12-04//PA011//Perth-Tokyo//First Class//295,0,3,Vegan
2024-10-24//PA010//Tokyo-New York//Business Class//333.59999999999997,1,2,Egg Free
2024-02-28//PA009//New York-Tokyo//First Class//403,1,3,None
2024-06-06//PA001//London-New York//Business Class//570,1,2,None
2024-09-20//PA010//Tokyo-New York//Premium Economy//1305,1,0,Egg Free
2024-02-19//PA004//Perth-London//First Class//260,1,1,Dairy Free
2024-12-10//PA011//Perth-Tokyo//Economy//2830,1,2,Vegan
2024-07-22//PA004//Perth-London//Economy//3170,0,1,Vegan
2024-11-12//PA009//New York-Tokyo//First Class//344,1,2,Vegan
2024-09-28//PA009//New York-Tokyo//Economy//3390,1,2,Dairy Free
2024-03-11//PA011//Perth-Tokyo//Business Class//560.39999999999998,0,0,None
2024-05-24//PA008//Perth-New York//First Class//553,0,3,Vegetarian
2024-10-02//PA001//London-New York//First Class//517,1,2,Vegan
2024-02-02//PA005//London-Tokyo//Business Class//793.19999999999993,0,2,Egg Free
2024-03-30//PA003//London-Perth//Premium Economy//537.5,0,1,Dairy Free
2024-10-03//PA012//Tokyo-Perth//Premium Economy//682.5,0,2,None
2024-03-23//PA010//Tokyo-New York//Economy//1755,0,1,Vegan
2024-08-15//PA008//Perth-New York//Business Class//596.39999999999998,0,1,Dairy Free
2024-08-12//PA006//Tokyo-London//Premium Economy//615,1,3,Vegetarian
2024-10-07//PA008//Perth-New York//First Class//642,1,3,Vegetarian
2024-03-03//PA003//London-Perth//Business Class//334.80000000000001,0,3,Vegan
2024-04-04//PA005//London-Tokyo//First Class//521,1,0,Nut Free
2024-02-05//PA012//Tokyo-Perth//Business Class//578.39999999999998,0,0,Nut Free
2024-01-09//PA012//Tokyo-Perth//First Class//406,0,1,Nut Free
2024-06-26//PA011//Perth-Tokyo//First Class//437,0,2,None
2024-08-08//PA008//Perth-New York//Economy//3245,0,0,Egg Free
2024-03-04//PA009//New York-Tokyo//Premium Economy//1440,0,2,Vegetarian
2024-07-02//PA004//Perth-London//Business Class//417.59999999999997,0,3,Vegan
2024-09-09//PA011//Perth-Tokyo//Premium Economy//592.5,0,1,Dairy Free
2024-03-05//PA006//Tokyo-London//Business Class//682.79999999999995,0,2,Dairy Free
2024-09-30//PA011//Perth-Tokyo//First Class//676,0,1,Egg Free
2024-03-24//PA006//Tokyo-London//First Class//418,0,1,None
2024-12-04//PA007//New York-Perth//First Class//564,0,2,None
2024-07-28//PA001//London-New York//Economy//2670,0,0,Vegetarian
2024-07-30//PA003//London-Perth//First Class//612,1,1,Vegetarian
2024-05-29//PA009//New York-Tokyo//Business Class//294,1,0,Nut Free
2024-01-04//PA002//New York-London//First Class//684,1,1,Dairy Free
2024-01-06//PA011//Perth-Tokyo//Economy//3420,0,0,Dairy Free
2024-02-26//PA007//New York-Perth//Business Class//596.39999999999998,0,0,Vegetarian
2024-01-16//PA007//New York-Perth//Business Class//406.80000000000001,1,3,None
2024-08-09//PA003//London-Perth//Premium Economy//1572.5,1,3,Nut Free
2024-06-13//PA006//Tokyo-London//Economy//2475,0,0,Egg Free
2024-07-13//PA010//Tokyo-New York//First Class//403,1,1,Nut Free
2024-10-13//PA012//Tokyo-Perth//Premium Economy//1352.5,1,0,Dairy Free
2024-05-13//PA007//New York-Perth//Business Class//355.19999999999999,0,0,Dairy Free
2024-07-20//PA011//Perth-Tokyo//First Class//606,1,1,Egg Free
2024-08-27//PA005//London-Tokyo//Economy//3080,1,2,Vegetarian
2024-03-25//PA002//New York-London//Premium Economy//1342.5,1,2,Dairy Free
2024-12-09//PA006//Tokyo-London//Economy//1665,0,3,Dairy Free
2024-07-07//PA005//London-Tokyo//First Class//225,0,0,Vegetarian
2024-08-09//PA006//Tokyo-London//Business Class//658.79999999999995,1,2,Vegan
2024-03-15//PA002//New York-London//Economy//2870,0,2,Vegetarian
2024-05-22//PA006//Tokyo-London//Premium Economy//1660,1,3,Egg Free
2024-01-14//PA012//Tokyo-Perth//First Class//379,1,0,Egg Free
2024-09-06//PA006//Tokyo-London//Business Class//272.39999999999998,1,1,Vegan
2024-05-09//PA004//Perth-London//Business Class//693.60000000000002,0,1,None
2024-04-11//PA011//Perth-Tokyo//Economy//1410,1,0,Nut Free
2024-02-19//PA012//Tokyo-Perth//Premium Economy//897.5,0,3,Vegan
2024-09-01//PA005//London-Tokyo//Business Class//243.59999999999999,1,1,None
2024-11-18//PA008//Perth-New York//Premium Economy//1127.5,1,1,None
2024-12-31//PA005//London-Tokyo//First Class//247,1,3,Nut Free
2024-08-03//PA011//Perth-Tokyo//Economy//2695,1,0,Nut Free
2024-07-16//PA009//New York-Tokyo//First Class//396,0,3,Nut Free
2024-07-25//PA010//Tokyo-New York//Business Class//835.19999999999993,0,0,Vegetarian
2024-10-10//PA001//London-New York//Premium Economy//1135,0,2,Nut Free
2024-01-10//PA005//London-Tokyo//Business Class//651.60000000000002,0,0,Dairy Free
2024-04-01//PA005//London-Tokyo//Economy//1255,0,0,Dairy Free
2024-05-31//PA009//New York-Tokyo//First Class//484,1,1,None
2024-08-10//PA004//Perth-London//Economy//2050,0,2,Vegan
2024-12-19//PA006//Tokyo-London//First Class//216,1,1,Egg Free
2024-10-14//PA001//London-New York//Economy//1510,0,2,Vegan
2024-03-22//PA012//Tokyo-Perth//First Class//481,0,3,Dairy Free
2024-01-14//PA005//London-Tokyo//First Class//660,0,3,None
2024-09-26//PA004//Perth-London//First Class//258,0,2,Vegetarian
2024-02-07//PA001//London-New York//Business Class//266.39999999999998,1,0,None
2024-09-08//PA010//Tokyo-New York//Premium Economy//877.5,0,3,Dairy Free
2024-07-18//PA002//New York-London//Economy//2915,0,0,Egg Free
2024-01-24//PA012//Tokyo-Perth//Economy//3370,1,0,Vegan
2024-01-21//PA012//Tokyo-Perth//Business Class//422.39999999999998,1,0,Vegetarian
2024-07-05//PA002//New York-London//First Class//677,0,0,Nut Free
2024-04-18//PA003//London-Perth//First Class//350,1,1,Egg Free
2024-11-01//PA011//Perth-Tokyo//Economy//1745,0,2,Nut Free
2024-10-17//PA005//London-Tokyo//Business Class//708,0,2,None
2024-03-03//PA006//Tokyo-London//Business Class//790.79999999999995,0,2,Egg Free
2024-07-11//PA011//Perth-Tokyo//First Class//237,1,2,Vegetarian
2024-11-19//PA006//Tokyo-London//Premium Economy//1295,1,3,None
2024-03-10//PA012//Tokyo-Perth//First Class//412,0,2,Egg Free
2024-12-19//PA001//London-New York//Business Class//571.19999999999993,1,1,Dairy Free
2024-01-05//PA004//Perth-London//First Class//251,0,0,None
2024-02-03//PA008//Perth-New York//Business Class//421.19999999999999,1,3,Dairy Free
2024-11-28//PA009//New York-Tokyo//Premium Economy//1017.5,0,3,Vegan
2024-02-06//PA004//Perth-London//First Class//306,1,2,Dairy Free
2024-04-10//PA011//Perth-Tokyo//Economy//1695,1,0,Vegetarian
2024-11-08//PA007//New York-Perth//First Class//255,0,1,Dairy Free
2024-01-07//PA002//New York-London//Economy//3215,0,0,Vegan
2024-10-30//PA006//Tokyo-London//Premium Economy//730,0,0,Nut Free
2024-05-14//PA003//London-Perth//Economy//2940,0,3,Vegan
2024-12-26//PA006//Tokyo-London//Premium Economy//570,0,0,Dairy Free
2024-12-26//PA009//New York-Tokyo//Business Class//343.19999999999999,0,3,None
2024-02-19//PA011//Perth-Tokyo//Business Class//558,0,1,None
2024-04-26//PA005//London-Tokyo//Economy//1645,0,2,Vegan
2024-11-14//PA011//Perth-Tokyo//First Class//435,0,0,Vegan
2024-11-12//PA009//New York-Tokyo//Premium Economy//550,0,2,None
2024-05-20//PA003//London-Perth//Business Class//399.59999999999997,0,0,Egg Free
2024-02-24//PA007//New York-Perth//First Class//266,0,2,Egg Free
2024-11-21//PA006//Tokyo-London//Business Class//367.19999999999999,1,0,None
2024-02-16//PA003//London-Perth//First Class//618,1,3,Nut Free
2024-12-02//PA001//London-New York//Premium Economy//1037.5,1,3,Vegetarian
2024-08-11//PA008//Perth-New York//Business Class//294,1,3,Vegan
2024-12-11//PA008//Perth-New York//Business Class//834,1,0,Egg Free
2024-07-24//PA010//Tokyo-New York//First Class//560,0,0,Dairy Free
2024-07-24//PA001//London-New York//Economy//1520,0,1,Egg Free
2024-05-10//PA008//Perth-New York//First Class//572,0,1,Nut Free
2024-07-27//PA005//London-Tokyo//Premium Economy//1375,0,3,Dairy Free
2024-03-23//PA005//London-Tokyo//Business Class//741.60000000000002,0,3,Vegan
2024-04-09//PA008//Perth-New York//Premium Economy//1307.5,1,0,None
2024-07-12//PA002//New York-London//Business Class//795.60000000000002,0,1,Vegetarian
2024-03-06//PA006//Tokyo-London//Premium Economy//1220,1,2,Nut Free
2024-06-15//PA004//Perth-London//Business Class//433.19999999999999,0,3,Vegan
2024-10-25//PA007//New York-Perth//First Class//485,1,3,Dairy Free
2024-07-11//PA002//New York-London//Economy//3080,1,2,Nut Free
2024-03-13//PA005//London-Tokyo//First Class//518,1,1,Dairy Free
2024-01-13//PA001//London-New York//Business Class//540,0,1,Dairy Free
2024-01-24//PA011//Perth-Tokyo//Economy//3060,1,3,Vegan
2024-07-07//PA011//Perth-Tokyo//First Class//462,0,2,None
2024-10-15//PA010//Tokyo-New York//First Class//294,0,0,Vegetarian
2024-11-26//PA012//Tokyo-Perth//Business Class//459.59999999999997,0,0,Nut Free
2024-01-09//PA006//Tokyo-London//Premium Economy//640,0,1,Vegetarian
2024-09-17//PA001//London-New York//Economy//2000,1,3,Vegan
2024-05-14//PA011//Perth-Tokyo//Business Class//411.59999999999997,0,2,Vegetarian
2024-12-23//PA009//New York-Tokyo//Business Class//474,0,2,Nut Free
2024-08-08//PA001//London-New York//First Class//627,1,1,Nut Free
2024-07-01//PA009//New York-Tokyo//Economy//3005,0,1,Vegetarian
2024-12-23//PA009//New York-Tokyo//Premium Economy//922.5,1,2,Egg Free
2024-05-14//PA001//London-New York//Business Class//583.19999999999993,1,2,Vegan
2024-02-15//PA008//Perth-New York//Premium Economy//1732.5,1,3,Nut Free
2024-07-27//PA004//Perth-London//First Class//217,0,2,Vegetarian
2024-10-02//PA010//Tokyo-New York//Premium Economy//927.5,1,3,Vegetarian
2024-09-16//PA001//London-New York//Economy//2415,1,2,None
2024-07-10//PA009//New York-Tokyo//Premium Economy//1142.5,1,2,None
2024-03-14//PA005//London-Tokyo//Economy//2250,0,2,Vegetarian
2024-08-12//PA003//London-Perth//Economy//2750,1,1,Dairy Free
2024-11-17//PA001//London-New York//First Class//519,0,3,Egg Free
2024-03-06//PA012//Tokyo-Perth//Economy//1380,1,0,Egg Free
2024-01-28//PA004//Perth-London//Economy//2990,1,3,Nut Free
2024-01-09//PA011//Perth-Tokyo//First Class//692,0,2,Vegan
2024-08-22//PA011//Perth-Tokyo//Business Class//517.19999999999993,0,3,Nut Free
2024-07-24//PA012//Tokyo-Perth//Premium Economy//1075,1,0,Vegetarian
2024-01-17//PA010//Tokyo-New York//Premium Economy//1325,1,0,Nut Free
2024-08-20//PA008//Perth-New York//Premium Economy//1292.5,0,1,Egg Free
2024-03-01//PA004//Perth-London//Premium Economy//1447.5,1,3,None
2024-09-02//PA006//Tokyo-London//First Class//642,1,1,Vegetarian
2024-10-23//PA009//New York-Tokyo//Premium Economy//740,1,0,Egg Free
2024-07-16//PA012//Tokyo-Perth//Economy//1170,1,2,Dairy Free
2024-09-25//PA008//Perth-New York//Business Class//270,0,2,Vegetarian
2024-04-04//PA009//New York-Tokyo//First Class//691,1,3,Egg Free
2024-04-30//PA010//Tokyo-New York//First Class//626,0,1,Vegetarian
2024-07-31//PA005//London-Tokyo//Business Class//577.19999999999993,1,3,Nut Free
2024-04-02//PA008//Perth-New York//First Class//634,0,0,None
2024-05-28//PA009//New York-Tokyo//First Class//564,0,3,Vegan
2024-10-22//PA006//Tokyo-London//Premium Economy//1020,1,1,Egg Free
2024-07-27//PA009//New York-Tokyo//Premium Economy//707.5,0,3,Vegan
2024-03-23//PA002//New York-London//Premium Economy//870,0,2,None
2024-08-24//PA004//Perth-London//Economy//2985,1,2,Vegan
2024-12-01//PA010//Tokyo-New York//Business Class//524.39999999999998,0,0,Vegan
2024-03-23//PA003//London-Perth//Premium Economy//1302.5,1,3,Vegetarian
2024-07-20//PA007//New York-Perth//Premium Economy//1677.5,1,0,Dairy Free
2024-05-11//PA005//London-Tokyo//Business Class//747.60000000000002,1,1,Nut Free
2024-11-30//PA004//Perth-London//Premium Economy//1357.5,1,2,Nut Free
2024-04-20//PA006//Tokyo-London//Economy//3015,1,0,Nut Free
2024-07-30//PA004//Perth-London//First Class//437,0,0,Vegetarian
2024-04-01//PA011//Perth-Tokyo//Business Class//289.19999999999999,0,0,Vegan
2024-03-29//PA009//New York-Tokyo//First Class//550,0,3,None
2024-02-19//PA008//Perth-New York//Economy//2515,1,2,Egg Free
2024-04-27//PA007//New York-Perth//First Class//689,1,0,Vegan
2024-11-10//PA009//New York-Tokyo//Premium Economy//1225,1,3,Nut Free
2024-03-29//PA009//New York-Tokyo//First Class//500,1,1,Egg Free
2024-01-17//PA005//London-Tokyo//Premium Economy//942.5,1,3,Nut Free
2024-03-17//PA001//London-New York//Economy//2880,1,0,None
2024-07-28//PA003//London-Perth//Business Class//328.80000000000001,0,2,Dairy Free
2024-05-17//PA005//London-Tokyo//Economy//3390,0,0,Nut Free
2024-09-02//PA007//New York-Perth//First Class//570,1,1,Vegan
2024-08-31//PA006//Tokyo-London//Premium Economy//1325,0,2,Egg Free
2024-09-25//PA003//London-Perth//Business Class//762,1,0,Vegan
2024-07-21//PA002//New York-London//Economy//2340,1,0,Nut Free
2024-09-07//PA005//London-Tokyo//First Class//388,1,0,Vegetarian
2024-11-07//PA007//New York-Perth//First Class//345,1,3,Nut Free
2024-08-02//PA002//New York-London//Premium Economy//1667.5,1,3,Vegetarian
2024-01-30//PA002//New York-London//First Class//699,0,2,Dairy Free
2024-08-28//PA001//London-New York//Economy//1925,1,2,Dairy Free
2024-02-24//PA005//London-Tokyo//First Class//688,1,3,Egg Free
2024-03-25//PA009//New York-Tokyo//Business Class//313.19999999999999,0,1,Vegetarian
2024-04-14//PA005//London-Tokyo//Premium Economy//665,1,1,Nut Free
2024-10-24//PA009//New York-Tokyo//Economy//3235,1,0,Vegetarian
2024-03-31//PA007//New York-Perth//Premium Economy//935,1,3,Vegan
2024-02-13//PA005//London-Tokyo//First Class//278,0,2,Nut Free
2024-06-29//PA002//New York-London//Business Class//452.39999999999998,1,1,Vegan
2024-01-19//PA005//London-Tokyo//Economy//2525,1,3,Egg Free
2024-09-30//PA009//New York-Tokyo//Economy//1820,0,2,Dairy Free
2024-04-04//PA003//London-Perth//Economy//1325,1,1,Nut Free
2024-08-05//PA009//New York-Tokyo//Economy//2055,0,0,Nut Free
2024-03-08//PA012//Tokyo-Perth//Economy//1360,0,2,Nut Free
2024-04-23//PA003//London-Perth//Premium Economy//1342.5,0,3,Egg Free
2024-01-18//PA010//Tokyo-New York//Economy//1710,0,1,None
2024-08-10//PA008//Perth-New York//First Class//251,1,1,None
2024-05-05//PA006//Tokyo-London//Economy//1310,1,0,Vegan
2024-12-02//PA001//London-New York//Premium Economy//1255,1,2,Dairy Free
2024-07-10//PA011//Perth-Tokyo//Business Class//241.19999999999999,1,2,Egg Free
2024-09-21//PA007//New York-Perth//Premium Economy//807.5,1,0,Nut Free
2024-10-08//PA008//Perth-New York//Business Class//414,1,0,Vegetarian
2024-10-07//PA008//Perth-New York//Economy//2685,1,3,Vegan
2024-10-04//PA004//Perth-London//Premium Economy//945,1,1,Egg Free
2024-10-08//PA003//London-Perth//Business Class//758.39999999999998,1,1,Egg Free
2024-05-19//PA010//Tokyo-New York//Economy//3180,0,1,Nut Free
2024-09-25//PA010//Tokyo-New York//First Class//476,0,0,Vegan
2024-09-15//PA006//Tokyo-London//Premium Economy//1090,1,2,Vegan
2024-01-24//PA005//London-Tokyo//Economy//2935,0,3,Vegetarian
2024-04-25//PA005//London-Tokyo//Economy//1335,0,0,Vegan
2024-07-29//PA001//London-New York//Premium Economy//1477.5,1,1,Dairy Free
2024-07-03//PA006//Tokyo-London//Premium Economy//887.5,0,1,Dairy Free
2024-09-27//PA012//Tokyo-Perth//Business Class//657.60000000000002,1,2,Vegetarian
2024-03-18//PA006//Tokyo-London//First Class//335,0,1,Nut Free
2024-09-28//PA011//Perth-Tokyo//Business Class//580.79999999999995,1,2,None
2024-09-23//PA008//Perth-New York//Economy//1205,1,1,Dairy Free
2024-07-30//PA007//New York-Perth//Premium Economy//1632.5,1,2,Dairy Free
2024-05-28//PA009//New York-Tokyo//Premium Economy//1122.5,0,1,Vegetarian
2024-03-02//PA008//Perth-New York//Premium Economy//1567.5,0,0,None
2024-12-15//PA004//Perth-London//First Class//336,0,0,None
2024-08-29//PA004//Perth-London//Business Class//561.60000000000002,0,2,Vegetarian
2024-10-09//PA007//New York-Perth//First Class//327,0,0,Egg Free
2024-04-20//PA006//Tokyo-London//Premium Economy//507.5,0,0,Vegan
2024-11-05//PA008//Perth-New York//Premium Economy//620,0,1,Nut Free
2024-07-27//PA006//Tokyo-London//Business Class//793.19999999999993,0,0,None
2024-06-27//PA004//Perth-London//Economy//1280,0,3,Vegan
2024-03-15//PA004//Perth-London//First Class//449,1,2,Vegan
2024-11-20//PA009//New York-Tokyo//Business Class//613.19999999999993,0,3,Vegan
2024-04-24//PA011//Perth-Tokyo//Economy//1870,1,1,Vegetarian
2024-05-01//PA004//Perth-London//Economy//2500,0,3,Dairy Free
2024-11-14//PA004//Perth-London//Economy//2290,1,2,Nut Free
2024-05-08//PA003//London-Perth//Premium Economy//832.5,0,1,Nut Free
2024-07-19//PA011//Perth-Tokyo//Economy//3105,0,1,Nut Free
2024-07-07//PA002//New York-London//Business Class//530.39999999999998,1,3,Nut Free
2024-03-02//PA001//London-New York//First Class//323,1,0,Vegan
2024-05-08//PA006//Tokyo-London//First Class//440,1,2,None
2024-07-07//PA001//London-New York//Economy//2905,0,0,None
2024-11-04//PA009//New York-Tokyo//Economy//1970,0,1,Vegetarian
2024-09-02//PA012//Tokyo-Perth//Premium Economy//570,1,3,Nut Free
2024-05-19//PA010//Tokyo-New York//First Class//362,1,2,None
2024-03-10//PA012//Tokyo-Perth//Economy//1965,0,0,Nut Free
2024-10-20//PA009//New York-Tokyo//Economy//2210,0,2,None
2024-11-30//PA010//Tokyo-New York//Economy//3250,0,2,Egg Free
2024-10-19//PA002//New York-London//Premium Economy//1130,1,0,None
2024-10-03//PA008//Perth-New York//Economy//1140,1,0,Vegan
2024-06-10//PA004//Perth-London//First Class//478,1,3,Nut Free
2024-12-30//PA001//London-New York//First Class//487,0,3,Dairy Free
2024-02-02//PA002//New York-London//Economy//1530,1,0,Nut Free
2024-10-22//PA001//London-New York//Economy//2960,0,0,Egg Free
2024-08-29//PA007//New York-Perth//Economy//1265,1,3,Nut Free
2024-03-27//PA004//Perth-London//Economy//2985,0,3,Nut Free
2024-11-30//PA001//London-New York//First Class//401,1,3,Nut Free
2024-09-17//PA009//New York-Tokyo//Business Class//400.80000000000001,0,0,Egg Free
2024-11-16//PA008//Perth-New York//First Class//536,0,1,Nut Free
2024-11-23//PA001//London-New York//Economy//2595,0,2,Vegetarian
2024-12-05//PA004//Perth-London//Business Class//609.60000000000002,1,0,None
2024-12-03//PA004//Perth-London//Premium Economy//802.5,0,2,Nut Free
2024-11-29//PA009//New York-Tokyo//Economy//2375,1,0,Vegetarian
2024-10-25//PA010//Tokyo-New York//First Class//466,1,1,Nut Free
2024-08-28//PA005//London-Tokyo//Premium Economy//1122.5,1,2,Dairy Free
2024-06-15//PA001//London-New York//Premium Economy//1005,1,3,Vegan
2024-12-26//PA008//Perth-New York//First Class//297,1,3,None
2024-07-06//PA007//New York-Perth//Economy//3465,0,1,Nut Free
2024-02-21//PA011//Perth-Tokyo//Economy//2505,0,2,Vegan
2024-05-17//PA002//New York-London//Premium Economy//1547.5,1,2,Dairy Free
2024-07-30//PA004//Perth-London//First Class//552,1,0,None
2024-11-04//PA008//Perth-New York//Business Class//432,1,0,Egg Free
2024-05-22//PA008//Perth-New York//First Class//451,0,1,Dairy Free
2024-10-20//PA006//Tokyo-London//Premium Economy//802.5,1,1,None
2024-03-29//PA012//Tokyo-Perth//Business Class//508.79999999999995,1,2,Dairy Free
2024-07-26//PA002//New York-London//Economy//2885,1,0,Vegetarian
2024-06-14//PA012//Tokyo-Perth//First Class//312,0,2,Vegetarian
2024-10-04//PA003//London-Perth//Business Class//711.60000000000002,1,1,Egg Free
2024-12-01//PA010//Tokyo-New York//Premium Economy//1677.5,1,0,Nut Free
2024-10-06//PA012//Tokyo-Perth//Premium Economy//510,0,2,Dairy Free
2024-03-09//PA012//Tokyo-Perth//Premium Economy//840,1,0,Nut Free
2024-08-23//PA002//New York-London//Economy//2010,1,2,Dairy Free
2024-10-10//PA006//Tokyo-London//Premium Economy//780,0,3,Nut Free
2024-06-25//PA005//London-Tokyo//Premium Economy//1152.5,1,2,None
2024-04-16//PA003//London-Perth//Premium Economy//825,1,3,Dairy Free
2024-10-30//PA001//London-New York//Premium Economy//1622.5,0,3,Vegan
2024-08-12//PA008//Perth-New York//Premium Economy//792.5,0,1,Dairy Free
2024-06-11//PA005//London-Tokyo//First Class//468,1,1,Nut Free
2024-08-03//PA010//Tokyo-New York//Business Class//714,0,0,Vegetarian
2024-09-21//PA011//Perth-Tokyo//Economy//1195,0,3,Vegetarian
2024-08-19//PA009//New York-Tokyo//Economy//2725,0,0,Vegetarian
2024-08-13//PA007//New York-Perth//Business Class//302.39999999999998,1,2,None
2024-07-20//PA011//Perth-Tokyo//Business Class//684,0,1,Vegetarian
2024-05-20//PA001//London-New York//Business Class//799.19999999999993,1,0,Nut Free
2024-07-03//PA007//New York-Perth//Business Class//278.39999999999998,0,1,Dairy Free
2024-06-08//PA002//New York-London//Business Class//283.19999999999999,0,1,None
2024-01-15//PA009//New York-Tokyo//Business Class//397.19999999999999,1,3,Dairy Free
2024-08-02//PA008//Perth-New York//Premium Economy//1025,0,0,Vegan
2024-05-17//PA009//New York-Tokyo//First Class//264,0,3,Dairy Free
2024-05-21//PA001//London-New York//First Class//493,1,0,Vegan
2024-06-07//PA008//Perth-New York//Economy//2110,1,0,Egg Free
2024-06-07//PA007//New York-Perth//Business Class//470.39999999999998,0,0,Vegan
2024-01-23//PA011//Perth-Tokyo//First Class//635,1,2,None
2024-04-02//PA007//New York-Perth//First Class//553,0,2,Vegetarian
2024-07-31//PA002//New York-London//First Class//392,1,0,None
2024-09-05//PA006//Tokyo-London//Economy//3345,1,3,None
2024-12-21//PA004//Perth-London//Business Class//244.79999999999998,0,0,Egg Free
2024-06-05//PA010//Tokyo-New York//Premium Economy//1200,0,2,Vegetarian
2024-07-28//PA003//London-Perth//Premium Economy//730,0,1,Vegetarian
2024-12-15//PA012//Tokyo-Perth//Economy//2975,0,3,Vegan
2024-01-21//PA009//New York-Tokyo//Business Class//352.80000000000001,1,0,Egg Free
2024-04-15//PA011//Perth-Tokyo//First Class//334,1,1,None
2024-07-08//PA005//London-Tokyo//Business Class//619.19999999999993,0,3,Vegan
2024-12-09//PA008//Perth-New York//First Class//605,0,3,Vegan
2024-02-22//PA011//Perth-Tokyo//First Class//632,0,1,Vegetarian
2024-10-01//PA012//Tokyo-Perth//First Class//382,1,1,None
2024-01-18//PA004//Perth-London//First Class//232,0,1,Egg Free
2024-07-21//PA012//Tokyo-Perth//First Class//361,0,2,Egg Free
2024-01-17//PA002//New York-London//Business Class//672,1,2,Vegan
2024-04-19//PA011//Perth-Tokyo//Economy//1045,0,3,Egg Free
2024-11-02//PA011//Perth-Tokyo//Business Class//744,0,1,None
2024-03-22//PA011//Perth-Tokyo//First Class//563,1,0,Nut Free
2024-02-23//PA012//Tokyo-Perth//Business Class//472.79999999999995,1,0,Dairy Free
2024-12-09//PA011//Perth-Tokyo//Economy//3460,1,0,Vegan
