Cumulative Monthly Cost,ID,Country,City,Address,Company,Office Size,Contract Start,Contract End,Contract Length,Months Until Expiry,People,Per Person,Rent per Month,Month Divider
246000,13,United Kingdom,Bristol,6 Donald Lane,Herzog-Aufderhar,Large,12/09/2021,11/09/2024,36,29,100,410,41000,12/02/2022
287000,13,United Kingdom,Bristol,6 Donald Lane,Herzog-Aufderhar,Large,12/09/2021,11/09/2024,36,29,100,410,41000,12/03/2022
328000,13,United Kingdom,Bristol,6 Donald Lane,Herzog-Aufderhar,Large,12/09/2021,11/09/2024,36,29,100,410,41000,12/04/2022
369000,13,United Kingdom,Bristol,6 Donald Lane,Herzog-Aufderhar,Large,12/09/2021,11/09/2024,36,29,100,410,41000,12/05/2022
410000,13,United Kingdom,Bristol,6 Donald Lane,Herzog-Aufderhar,Large,12/09/2021,11/09/2024,36,29,100,410,41000,12/06/2022
451000,13,United Kingdom,Bristol,6 Donald Lane,Herzog-Aufderhar,Large,12/09/2021,11/09/2024,36,29,100,410,41000,12/07/2022
492000,13,United Kingdom,Bristol,6 Donald Lane,Herzog-Aufderhar,Large,12/09/2021,11/09/2024,36,29,100,410,41000,12/08/2022
533000,13,United Kingdom,Bristol,6 Donald Lane,Herzog-Aufderhar,Large,12/09/2021,11/09/2024,36,29,100,410,41000,12/09/2022
574000,13,United Kingdom,Bristol,6 Donald Lane,Herzog-Aufderhar,Large,12/09/2021,11/09/2024,36,29,100,410,41000,12/10/2022
615000,13,United Kingdom,Bristol,6 Donald Lane,Herzog-Aufderhar,Large,12/09/2021,11/09/2024,36,29,100,410,41000,12/11/2022
656000,13,United Kingdom,Bristol,6 Donald Lane,Herzog-Aufderhar,Large,12/09/2021,11/09/2024,36,29,100,410,41000,12/12/2022
697000,13,United Kingdom,Bristol,6 Donald Lane,Herzog-Aufderhar,Large,12/09/2021,11/09/2024,36,29,100,410,41000,12/01/2023
738000,13,United Kingdom,Bristol,6 Donald Lane,Herzog-Aufderhar,Large,12/09/2021,11/09/2024,36,29,100,410,41000,12/02/2023
779000,13,United Kingdom,Bristol,6 Donald Lane,Herzog-Aufderhar,Large,12/09/2021,11/09/2024,36,29,100,410,41000,12/03/2023
820000,13,United Kingdom,Bristol,6 Donald Lane,Herzog-Aufderhar,Large,12/09/2021,11/09/2024,36,29,100,410,41000,12/04/2023
861000,13,United Kingdom,Bristol,6 Donald Lane,Herzog-Aufderhar,Large,12/09/2021,11/09/2024,36,29,100,410,41000,12/05/2023
902000,13,United Kingdom,Bristol,6 Donald Lane,Herzog-Aufderhar,Large,12/09/2021,11/09/2024,36,29,100,410,41000,12/06/2023
943000,13,United Kingdom,Bristol,6 Donald Lane,Herzog-Aufderhar,Large,12/09/2021,11/09/2024,36,29,100,410,41000,12/07/2023
984000,13,United Kingdom,Bristol,6 Donald Lane,Herzog-Aufderhar,Large,12/09/2021,11/09/2024,36,29,100,410,41000,12/08/2023
1025000,13,United Kingdom,Bristol,6 Donald Lane,Herzog-Aufderhar,Large,12/09/2021,11/09/2024,36,29,100,410,41000,12/09/2023
1066000,13,United Kingdom,Bristol,6 Donald Lane,Herzog-Aufderhar,Large,12/09/2021,11/09/2024,36,29,100,410,41000,12/10/2023
1107000,13,United Kingdom,Bristol,6 Donald Lane,Herzog-Aufderhar,Large,12/09/2021,11/09/2024,36,29,100,410,41000,12/11/2023
1148000,13,United Kingdom,Bristol,6 Donald Lane,Herzog-Aufderhar,Large,12/09/2021,11/09/2024,36,29,100,410,41000,12/12/2023
1189000,13,United Kingdom,Bristol,6 Donald Lane,Herzog-Aufderhar,Large,12/09/2021,11/09/2024,36,29,100,410,41000,12/01/2024
1230000,13,United Kingdom,Bristol,6 Donald Lane,Herzog-Aufderhar,Large,12/09/2021,11/09/2024,36,29,100,410,41000,12/02/2024
1271000,13,United Kingdom,Bristol,6 Donald Lane,Herzog-Aufderhar,Large,12/09/2021,11/09/2024,36,29,100,410,41000,12/03/2024
1312000,13,United Kingdom,Bristol,6 Donald Lane,Herzog-Aufderhar,Large,12/09/2021,11/09/2024,36,29,100,410,41000,12/04/2024
1353000,13,United Kingdom,Bristol,6 Donald Lane,Herzog-Aufderhar,Large,12/09/2021,11/09/2024,36,29,100,410,41000,12/05/2024
1394000,13,United Kingdom,Bristol,6 Donald Lane,Herzog-Aufderhar,Large,12/09/2021,11/09/2024,36,29,100,410,41000,12/06/2024
1435000,13,United Kingdom,Bristol,6 Donald Lane,Herzog-Aufderhar,Large,12/09/2021,11/09/2024,36,29,100,410,41000,12/07/2024
1476000,13,United Kingdom,Bristol,6 Donald Lane,Herzog-Aufderhar,Large,12/09/2021,11/09/2024,36,29,100,410,41000,12/08/2024
1517000,13,United Kingdom,Bristol,6 Donald Lane,Herzog-Aufderhar,Large,12/09/2021,11/09/2024,36,29,100,410,41000,11/09/2024
52000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/09/2021
104000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/10/2021
156000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/11/2021
208000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/12/2021
260000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/01/2022
312000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/02/2022
364000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/03/2022
416000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/04/2022
468000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/05/2022
520000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/06/2022
572000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/07/2022
624000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/08/2022
676000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/09/2022
728000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/10/2022
780000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/11/2022
832000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/12/2022
884000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/01/2023
936000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/02/2023
988000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/03/2023
1040000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/04/2023
1092000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/05/2023
1144000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/06/2023
1196000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/07/2023
1248000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/08/2023
1300000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/09/2023
1352000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/10/2023
1404000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/11/2023
1456000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/12/2023
1508000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/01/2024
1560000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/02/2024
1612000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/03/2024
1664000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/04/2024
1716000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/05/2024
1768000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/06/2024
1820000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/07/2024
1872000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/08/2024
1924000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/09/2024
1976000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/10/2024
2028000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/11/2024
2080000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/12/2024
2132000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/01/2025
2184000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/02/2025
2236000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/03/2025
2288000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/04/2025
2340000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/05/2025
2392000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/06/2025
2444000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/07/2025
2496000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/08/2025
2548000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/09/2025
2600000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/10/2025
2652000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/11/2025
2704000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/12/2025
2756000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/01/2026
2808000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/02/2026
2860000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/03/2026
2912000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/04/2026
2964000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/05/2026
3016000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/06/2026
3068000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/07/2026
3120000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,26/08/2026
3172000,14,United Kingdom,London,7 Porter Street,Lehner-Hilpert,Large,26/09/2021,25/09/2026,60,53,100,520,52000,25/09/2026
8200,15,United Kingdom,Bristol,8478 Derek Terrace,"Homenick, Brekke and Reichel",Small,29/11/2021,28/11/2023,24,19,20,410,8200,29/11/2021
16400,15,United Kingdom,Bristol,8478 Derek Terrace,"Homenick, Brekke and Reichel",Small,29/11/2021,28/11/2023,24,19,20,410,8200,29/12/2021
24600,15,United Kingdom,Bristol,8478 Derek Terrace,"Homenick, Brekke and Reichel",Small,29/11/2021,28/11/2023,24,19,20,410,8200,29/01/2022
32800,15,United Kingdom,Bristol,8478 Derek Terrace,"Homenick, Brekke and Reichel",Small,29/11/2021,28/11/2023,24,19,20,410,8200,28/02/2022
41000,15,United Kingdom,Bristol,8478 Derek Terrace,"Homenick, Brekke and Reichel",Small,29/11/2021,28/11/2023,24,19,20,410,8200,28/03/2022
49200,15,United Kingdom,Bristol,8478 Derek Terrace,"Homenick, Brekke and Reichel",Small,29/11/2021,28/11/2023,24,19,20,410,8200,28/04/2022
57400,15,United Kingdom,Bristol,8478 Derek Terrace,"Homenick, Brekke and Reichel",Small,29/11/2021,28/11/2023,24,19,20,410,8200,28/05/2022
65600,15,United Kingdom,Bristol,8478 Derek Terrace,"Homenick, Brekke and Reichel",Small,29/11/2021,28/11/2023,24,19,20,410,8200,28/06/2022
73800,15,United Kingdom,Bristol,8478 Derek Terrace,"Homenick, Brekke and Reichel",Small,29/11/2021,28/11/2023,24,19,20,410,8200,28/07/2022
82000,15,United Kingdom,Bristol,8478 Derek Terrace,"Homenick, Brekke and Reichel",Small,29/11/2021,28/11/2023,24,19,20,410,8200,28/08/2022
90200,15,United Kingdom,Bristol,8478 Derek Terrace,"Homenick, Brekke and Reichel",Small,29/11/2021,28/11/2023,24,19,20,410,8200,28/09/2022
98400,15,United Kingdom,Bristol,8478 Derek Terrace,"Homenick, Brekke and Reichel",Small,29/11/2021,28/11/2023,24,19,20,410,8200,28/10/2022
106600,15,United Kingdom,Bristol,8478 Derek Terrace,"Homenick, Brekke and Reichel",Small,29/11/2021,28/11/2023,24,19,20,410,8200,28/11/2022
114800,15,United Kingdom,Bristol,8478 Derek Terrace,"Homenick, Brekke and Reichel",Small,29/11/2021,28/11/2023,24,19,20,410,8200,28/12/2022
123000,15,United Kingdom,Bristol,8478 Derek Terrace,"Homenick, Brekke and Reichel",Small,29/11/2021,28/11/2023,24,19,20,410,8200,28/01/2023
131200,15,United Kingdom,Bristol,8478 Derek Terrace,"Homenick, Brekke and Reichel",Small,29/11/2021,28/11/2023,24,19,20,410,8200,28/02/2023
139400,15,United Kingdom,Bristol,8478 Derek Terrace,"Homenick, Brekke and Reichel",Small,29/11/2021,28/11/2023,24,19,20,410,8200,28/03/2023
147600,15,United Kingdom,Bristol,8478 Derek Terrace,"Homenick, Brekke and Reichel",Small,29/11/2021,28/11/2023,24,19,20,410,8200,28/04/2023
155800,15,United Kingdom,Bristol,8478 Derek Terrace,"Homenick, Brekke and Reichel",Small,29/11/2021,28/11/2023,24,19,20,410,8200,28/05/2023
164000,15,United Kingdom,Bristol,8478 Derek Terrace,"Homenick, Brekke and Reichel",Small,29/11/2021,28/11/2023,24,19,20,410,8200,28/06/2023
172200,15,United Kingdom,Bristol,8478 Derek Terrace,"Homenick, Brekke and Reichel",Small,29/11/2021,28/11/2023,24,19,20,410,8200,28/07/2023
180400,15,United Kingdom,Bristol,8478 Derek Terrace,"Homenick, Brekke and Reichel",Small,29/11/2021,28/11/2023,24,19,20,410,8200,28/08/2023
188600,15,United Kingdom,Bristol,8478 Derek Terrace,"Homenick, Brekke and Reichel",Small,29/11/2021,28/11/2023,24,19,20,410,8200,28/09/2023
196800,15,United Kingdom,Bristol,8478 Derek Terrace,"Homenick, Brekke and Reichel",Small,29/11/2021,28/11/2023,24,19,20,410,8200,28/10/2023
205000,15,United Kingdom,Bristol,8478 Derek Terrace,"Homenick, Brekke and Reichel",Small,29/11/2021,28/11/2023,24,19,20,410,8200,28/11/2023
52000,16,United Kingdom,London,35058 Washington Crossing,Schimmel-Gerlach,Large,04/05/2021,03/05/2025,48,37,100,520,52000,04/05/2021
104000,16,United Kingdom,London,35058 Washington Crossing,Schimmel-Gerlach,Large,04/05/2021,03/05/2025,48,37,100,520,52000,04/06/2021
156000,16,United Kingdom,London,35058 Washington Crossing,Schimmel-Gerlach,Large,04/05/2021,03/05/2025,48,37,100,520,52000,04/07/2021
208000,16,United Kingdom,London,35058 Washington Crossing,Schimmel-Gerlach,Large,04/05/2021,03/05/2025,48,37,100,520,52000,04/08/2021
260000,16,United Kingdom,London,35058 Washington Crossing,Schimmel-Gerlach,Large,04/05/2021,03/05/2025,48,37,100,520,52000,04/09/2021
312000,16,United Kingdom,London,35058 Washington Crossing,Schimmel-Gerlach,Large,04/05/2021,03/05/2025,48,37,100,520,52000,04/10/2021
364000,16,United Kingdom,London,35058 Washington Crossing,Schimmel-Gerlach,Large,04/05/2021,03/05/2025,48,37,100,520,52000,04/11/2021
416000,16,United Kingdom,London,35058 Washington Crossing,Schimmel-Gerlach,Large,04/05/2021,03/05/2025,48,37,100,520,52000,04/12/2021
468000,16,United Kingdom,London,35058 Washington Crossing,Schimmel-Gerlach,Large,04/05/2021,03/05/2025,48,37,100,520,52000,04/01/2022
520000,16,United Kingdom,London,35058 Washington Crossing,Schimmel-Gerlach,Large,04/05/2021,03/05/2025,48,37,100,520,52000,04/02/2022
572000,16,United Kingdom,London,35058 Washington Crossing,Schimmel-Gerlach,Large,04/05/2021,03/05/2025,48,37,100,520,52000,04/03/2022
624000,16,United Kingdom,London,35058 Washington Crossing,Schimmel-Gerlach,Large,04/05/2021,03/05/2025,48,37,100,520,52000,04/04/2022
676000,16,United Kingdom,London,35058 Washington Crossing,Schimmel-Gerlach,Large,04/05/2021,03/05/2025,48,37,100,520,52000,04/05/2022
728000,16,United Kingdom,London,35058 Washington Crossing,Schimmel-Gerlach,Large,04/05/2021,03/05/2025,48,37,100,520,52000,04/06/2022
780000,16,United Kingdom,London,35058 Washington Crossing,Schimmel-Gerlach,Large,04/05/2021,03/05/2025,48,37,100,520,52000,04/07/2022
832000,16,United Kingdom,London,35058 Washington Crossing,Schimmel-Gerlach,Large,04/05/2021,03/05/2025,48,37,100,520,52000,04/08/2022
884000,16,United Kingdom,London,35058 Washington Crossing,Schimmel-Gerlach,Large,04/05/2021,03/05/2025,48,37,100,520,52000,04/09/2022
936000,16,United Kingdom,London,35058 Washington Crossing,Schimmel-Gerlach,Large,04/05/2021,03/05/2025,48,37,100,520,52000,04/10/2022
988000,16,United Kingdom,London,35058 Washington Crossing,Schimmel-Gerlach,Large,04/05/2021,03/05/2025,48,37,100,520,52000,04/11/2022
1040000,16,United Kingdom,London,35058 Washington Crossing,Schimmel-Gerlach,Large,04/05/2021,03/05/2025,48,37,100,520,52000,04/12/2022
1092000,16,United Kingdom,London,35058 Washington Crossing,Schimmel-Gerlach,Large,04/05/2021,03/05/2025,48,37,100,520,52000,04/01/2023
1144000,16,United Kingdom,London,35058 Washington Crossing,Schimmel-Gerlach,Large,04/05/2021,03/05/2025,48,37,100,520,52000,04/02/2023
1196000,16,United Kingdom,London,35058 Washington Crossing,Schimmel-Gerlach,Large,04/05/2021,03/05/2025,48,37,100,520,52000,04/03/2023
1248000,16,United Kingdom,London,35058 Washington Crossing,Schimmel-Gerlach,Large,04/05/2021,03/05/2025,48,37,100,520,52000,04/04/2023
1300000,16,United Kingdom,London,35058 Washington Crossing,Schimmel-Gerlach,Large,04/05/2021,03/05/2025,48,37,100,520,52000,04/05/2023
1352000,16,United Kingdom,London,35058 Washington Crossing,Schimmel-Gerlach,Large,04/05/2021,03/05/2025,48,37,100,520,52000,04/06/2023
1404000,16,United Kingdom,London,35058 Washington Crossing,Schimmel-Gerlach,Large,04/05/2021,03/05/2025,48,37,100,520,52000,04/07/2023
1456000,16,United Kingdom,London,35058 Washington Crossing,Schimmel-Gerlach,Large,04/05/2021,03/05/2025,48,37,100,520,52000,04/08/2023
1508000,16,United Kingdom,London,35058 Washington Crossing,Schimmel-Gerlach,Large,04/05/2021,03/05/2025,48,37,100,520,52000,04/09/2023
1560000,16,United Kingdom,London,35058 Washington Crossing,Schimmel-Gerlach,Large,04/05/2021,03/05/2025,48,37,100,520,52000,04/10/2023
1612000,16,United Kingdom,London,35058 Washington Crossing,Schimmel-Gerlach,Large,04/05/2021,03/05/2025,48,37,100,520,52000,04/11/2023
1664000,16,United Kingdom,London,35058 Washington Crossing,Schimmel-Gerlach,Large,04/05/2021,03/05/2025,48,37,100,520,52000,04/12/2023
1716000,16,United Kingdom,London,35058 Washington Crossing,Schimmel-Gerlach,Large,04/05/2021,03/05/2025,48,37,100,520,52000,04/01/2024
1768000,16,United Kingdom,London,35058 Washington Crossing,Schimmel-Gerlach,Large,04/05/2021,03/05/2025,48,37,100,520,52000,04/02/2024
1820000,16,United Kingdom,London,35058 Washington Crossing,Schimmel-Gerlach,Large,04/05/2021,03/05/2025,48,37,100,520,52000,04/03/2024
1872000,16,United Kingdom,London,35058 Washington Crossing,Schimmel-Gerlach,Large,04/05/2021,03/05/2025,48,37,100,520,52000,04/04/2024
1924000,16,United Kingdom,London,35058 Washington Crossing,Schimmel-Gerlach,Large,04/05/2021,03/05/2025,48,37,100,520,52000,04/05/2024
1976000,16,United Kingdom,London,35058 Washington Crossing,Schimmel-Gerlach,Large,04/05/2021,03/05/2025,48,37,100,520,52000,04/06/2024
2028000,16,United Kingdom,London,35058 Washington Crossing,Schimmel-Gerlach,Large,04/05/2021,03/05/2025,48,37,100,520,52000,04/07/2024
2080000,16,United Kingdom,London,35058 Washington Crossing,Schimmel-Gerlach,Large,04/05/2021,03/05/2025,48,37,100,520,52000,04/08/2024
2132000,16,United Kingdom,London,35058 Washington Crossing,Schimmel-Gerlach,Large,04/05/2021,03/05/2025,48,37,100,520,52000,04/09/2024
2184000,16,United Kingdom,London,35058 Washington Crossing,Schimmel-Gerlach,Large,04/05/2021,03/05/2025,48,37,100,520,52000,04/10/2024
2236000,16,United Kingdom,London,35058 Washington Crossing,Schimmel-Gerlach,Large,04/05/2021,03/05/2025,48,37,100,520,52000,04/11/2024
2288000,16,United Kingdom,London,35058 Washington Crossing,Schimmel-Gerlach,Large,04/05/2021,03/05/2025,48,37,100,520,52000,04/12/2024
2340000,16,United Kingdom,London,35058 Washington Crossing,Schimmel-Gerlach,Large,04/05/2021,03/05/2025,48,37,100,520,52000,04/01/2025
2392000,16,United Kingdom,London,35058 Washington Crossing,Schimmel-Gerlach,Large,04/05/2021,03/05/2025,48,37,100,520,52000,04/02/2025
2444000,16,United Kingdom,London,35058 Washington Crossing,Schimmel-Gerlach,Large,04/05/2021,03/05/2025,48,37,100,520,52000,04/03/2025
2496000,16,United Kingdom,London,35058 Washington Crossing,Schimmel-Gerlach,Large,04/05/2021,03/05/2025,48,37,100,520,52000,04/04/2025
2548000,16,United Kingdom,London,35058 Washington Crossing,Schimmel-Gerlach,Large,04/05/2021,03/05/2025,48,37,100,520,52000,03/05/2025
21500,17,United Kingdom,Manchester,18 Hudson Street,Stokes-Auer,Medium,22/07/2021,21/07/2024,36,27,50,430,21500,22/07/2021
43000,17,United Kingdom,Manchester,18 Hudson Street,Stokes-Auer,Medium,22/07/2021,21/07/2024,36,27,50,430,21500,22/08/2021
64500,17,United Kingdom,Manchester,18 Hudson Street,Stokes-Auer,Medium,22/07/2021,21/07/2024,36,27,50,430,21500,22/09/2021
86000,17,United Kingdom,Manchester,18 Hudson Street,Stokes-Auer,Medium,22/07/2021,21/07/2024,36,27,50,430,21500,22/10/2021
107500,17,United Kingdom,Manchester,18 Hudson Street,Stokes-Auer,Medium,22/07/2021,21/07/2024,36,27,50,430,21500,22/11/2021
129000,17,United Kingdom,Manchester,18 Hudson Street,Stokes-Auer,Medium,22/07/2021,21/07/2024,36,27,50,430,21500,22/12/2021
150500,17,United Kingdom,Manchester,18 Hudson Street,Stokes-Auer,Medium,22/07/2021,21/07/2024,36,27,50,430,21500,22/01/2022
172000,17,United Kingdom,Manchester,18 Hudson Street,Stokes-Auer,Medium,22/07/2021,21/07/2024,36,27,50,430,21500,22/02/2022
193500,17,United Kingdom,Manchester,18 Hudson Street,Stokes-Auer,Medium,22/07/2021,21/07/2024,36,27,50,430,21500,22/03/2022
215000,17,United Kingdom,Manchester,18 Hudson Street,Stokes-Auer,Medium,22/07/2021,21/07/2024,36,27,50,430,21500,22/04/2022
236500,17,United Kingdom,Manchester,18 Hudson Street,Stokes-Auer,Medium,22/07/2021,21/07/2024,36,27,50,430,21500,22/05/2022
258000,17,United Kingdom,Manchester,18 Hudson Street,Stokes-Auer,Medium,22/07/2021,21/07/2024,36,27,50,430,21500,22/06/2022
279500,17,United Kingdom,Manchester,18 Hudson Street,Stokes-Auer,Medium,22/07/2021,21/07/2024,36,27,50,430,21500,22/07/2022
301000,17,United Kingdom,Manchester,18 Hudson Street,Stokes-Auer,Medium,22/07/2021,21/07/2024,36,27,50,430,21500,22/08/2022
322500,17,United Kingdom,Manchester,18 Hudson Street,Stokes-Auer,Medium,22/07/2021,21/07/2024,36,27,50,430,21500,22/09/2022
344000,17,United Kingdom,Manchester,18 Hudson Street,Stokes-Auer,Medium,22/07/2021,21/07/2024,36,27,50,430,21500,22/10/2022
365500,17,United Kingdom,Manchester,18 Hudson Street,Stokes-Auer,Medium,22/07/2021,21/07/2024,36,27,50,430,21500,22/11/2022
387000,17,United Kingdom,Manchester,18 Hudson Street,Stokes-Auer,Medium,22/07/2021,21/07/2024,36,27,50,430,21500,22/12/2022
408500,17,United Kingdom,Manchester,18 Hudson Street,Stokes-Auer,Medium,22/07/2021,21/07/2024,36,27,50,430,21500,22/01/2023
430000,17,United Kingdom,Manchester,18 Hudson Street,Stokes-Auer,Medium,22/07/2021,21/07/2024,36,27,50,430,21500,22/02/2023
451500,17,United Kingdom,Manchester,18 Hudson Street,Stokes-Auer,Medium,22/07/2021,21/07/2024,36,27,50,430,21500,22/03/2023
473000,17,United Kingdom,Manchester,18 Hudson Street,Stokes-Auer,Medium,22/07/2021,21/07/2024,36,27,50,430,21500,22/04/2023
494500,17,United Kingdom,Manchester,18 Hudson Street,Stokes-Auer,Medium,22/07/2021,21/07/2024,36,27,50,430,21500,22/05/2023
516000,17,United Kingdom,Manchester,18 Hudson Street,Stokes-Auer,Medium,22/07/2021,21/07/2024,36,27,50,430,21500,22/06/2023
537500,17,United Kingdom,Manchester,18 Hudson Street,Stokes-Auer,Medium,22/07/2021,21/07/2024,36,27,50,430,21500,22/07/2023
559000,17,United Kingdom,Manchester,18 Hudson Street,Stokes-Auer,Medium,22/07/2021,21/07/2024,36,27,50,430,21500,22/08/2023
