7 letter word,% Chance,Total Points,Points Rank,Likelihood Rank
sovkhoz,1.0240000000000E-11,26,3,76
speaker,6.2208000000000E-10,13,16,34
special,6.2208000000000E-10,11,18,34
species,8.2944000000000E-10,11,18,30
sponsor,7.3728000000000E-10,9,20,32
squabby,1.1520000000000E-11,23,6,75
squashy,2.3040000000000E-11,22,7,69
squawks,1.1520000000000E-11,23,6,75
squawky,5.7600000000000E-12,26,3,80
squeaky,3.4560000000000E-11,23,6,65
squeeze,2.7648000000000E-10,25,4,42
squiffy,1.1520000000000E-11,25,4,75
squishy,2.3040000000000E-11,22,7,69
station,5.5987200000000E-9,7,22,9
storage,3.7324800000000E-9,8,21,13
strange,2.7993600000000E-9,8,21,17
stretch,4.1472000000000E-10,12,17,39
student,1.6588800000000E-9,8,21,22
studied,1.6588800000000E-9,9,20,22
subject,4.6080000000000E-11,18,11,62
succeed,3.6864000000000E-10,12,17,40
success,1.2288000000000E-10,11,18,51
suggest,4.1472000000000E-10,9,20,39
summary,6.9120000000000E-11,14,15,58
support,1.8432000000000E-10,11,18,47
suppose,2.4576000000000E-10,11,18,44
supreme,5.5296000000000E-10,11,18,35
surface,4.1472000000000E-10,12,17,39
surgery,4.1472000000000E-10,11,18,39
surplus,1.2288000000000E-10,9,20,51
survive,4.1472000000000E-10,13,16,39
suspect,1.8432000000000E-10,11,18,47
sustain,1.8662400000000E-9,7,22,21
syzygal,1.7280000000000E-11,23,6,72
teacher,1.8662400000000E-9,12,17,21
telecom,1.1059200000000E-9,11,18,27
telling,1.8662400000000E-9,8,21,21
tension,7.4649600000000E-9,7,22,7
theatre,5.5987200000000E-9,10,19,9
therapy,3.1104000000000E-10,15,14,41
thereby,4.1472000000000E-10,15,14,39
thought,1.3824000000000E-10,14,15,50
through,1.3824000000000E-10,14,15,50
tonight,9.3312000000000E-10,11,18,29
totally,8.2944000000000E-10,10,19,30
touched,3.6864000000000E-10,13,16,40
towards,8.2944000000000E-10,11,18,30
traffic,2.3328000000000E-10,15,14,45
trouble,1.1059200000000E-9,9,20,27
turning,1.3996800000000E-9,8,21,25
typical,1.5552000000000E-10,14,15,49
tzaddik,7.7760000000000E-11,22,7,57
tzaddiq,7.7760000000000E-11,27,2,57
uniform,4.1472000000000E-10,12,17,39
unknown,1.3824000000000E-10,14,15,50
unusual,5.5296000000000E-10,7,22,35
upgrade,6.2208000000000E-10,11,18,34
upscale,2.7648000000000E-10,11,18,42
utility,9.3312000000000E-10,10,19,29
variety,1.3996800000000E-9,13,16,25
various,1.2441600000000E-9,10,19,26
vehicle,4.1472000000000E-10,15,14,39
venture,2.4883200000000E-9,10,19,18
version,2.4883200000000E-9,10,19,18
veteran,5.5987200000000E-9,10,19,9
victory,2.0736000000000E-10,15,14,46
viewing,6.9984000000000E-10,14,15,33
village,9.3312000000000E-10,11,18,29
violent,2.4883200000000E-9,10,19,18
virtual,9.3312000000000E-10,10,19,29
visible,6.2208000000000E-10,12,17,34
vizying,5.8320000000000E-11,23,6,60
waiting,1.5746400000000E-9,11,18,23
walking,1.1664000000000E-10,15,14,52
wanting,1.0497600000000E-9,11,18,28
warning,1.0497600000000E-9,11,18,28
warrant,2.0995200000000E-9,10,19,20
waxwork,1.7280000000000E-11,24,5,72
waxworm,3.4560000000000E-11,22,7,65
wearing,2.0995200000000E-9,11,18,20
weather,1.8662400000000E-9,13,16,21
webcast,2.0736000000000E-10,14,15,46
website,1.2441600000000E-9,12,17,26
wedding,6.2208000000000E-10,13,16,34
weekend,8.2944000000000E-10,15,14,30
welcome,3.6864000000000E-10,14,15,40
welfare,1.2441600000000E-9,13,16,26
western,2.4883200000000E-9,10,19,18
whaizle,1.5552000000000E-10,22,7,49
wheezed,2.7648000000000E-10,23,6,42
wheezer,4.1472000000000E-10,22,7,39
wheezes,2.7648000000000E-10,22,7,42
wheezle,2.7648000000000E-10,22,7,42
whereas,1.2441600000000E-9,13,16,26
whereby,1.3824000000000E-10,18,11,50
whether,4.1472000000000E-10,16,13,39
willing,4.6656000000000E-10,11,18,38
winning,1.0497600000000E-9,11,18,28
without,4.1472000000000E-10,13,16,39
witness,1.2441600000000E-9,10,19,26
woozily,9.2160000000000E-11,22,7,54
workbox,1.5360000000000E-11,23,6,73
working,1.5552000000000E-10,15,14,49
writing,1.0497600000000E-9,11,18,28
written,2.7993600000000E-9,10,19,17
zaddick,2.5920000000000E-11,24,5,68
zaddiks,5.1840000000000E-11,22,7,61
zaffars,7.7760000000000E-11,22,7,57
zaffers,1.0368000000000E-10,22,7,53
zaffirs,7.7760000000000E-11,22,7,57
zaffres,1.0368000000000E-10,22,7,53
zambuck,2.8800000000000E-12,26,3,82
zambuks,5.7600000000000E-12,24,5,80
zanjero,3.1104000000000E-10,23,6,41
zanyish,7.7760000000000E-11,22,7,57
zebecks,2.3040000000000E-11,24,5,69
zecchin,5.1840000000000E-11,23,6,61
zelkova,6.9120000000000E-11,23,6,58
zephyrs,2.3040000000000E-11,24,5,69
zeuxite,3.1104000000000E-10,23,6,41
ziffius,5.1840000000000E-11,22,7,61
zimocca,5.1840000000000E-11,22,7,61
zincify,3.8880000000000E-11,24,5,64
zincked,5.1840000000000E-11,23,6,61
zinkify,1.9440000000000E-11,26,3,71
ziplock,1.1520000000000E-11,24,5,75
zlotych,1.5360000000000E-11,24,5,73
zombify,1.1520000000000E-11,26,3,75
zoogamy,6.9120000000000E-11,22,7,58
zootaxy,6.9120000000000E-11,26,3,58
zuffoli,4.6080000000000E-11,22,7,62
zuffolo,4.0960000000000E-11,22,7,63
zydecos,6.1440000000000E-11,22,7,59
zygomas,3.4560000000000E-11,22,7,65
zygotic,5.1840000000000E-11,22,7,61
zymogen,6.9120000000000E-11,22,7,58
zymomes,3.0720000000000E-11,23,6,66
zymotic,3.4560000000000E-11,23,6,65
zymurgy,5.7600000000000E-12,25,4,80
zythums,7.6800000000000E-12,24,5,78
