Points Rank,Likelihood Rank,7 letter word,% Chance,Total Points
22,36,install,1.86624e-09,7
22,48,assault,1.24416e-09,7
22,21,serious,3.31776e-09,7
22,36,sustain,1.86624e-09,7
22,43,rollout,1.47456e-09,7
22,5,restore,9.95328e-09,7
22,6,initial,9.44784e-09,7
22,22,session,3.31776e-09,7
22,8,tension,7.46496e-09,7
22,4,eastern,1.119744e-08,7
22,26,natural,2.79936e-09,7
22,4,intense,1.119744e-08,7
22,1,release,1.492992e-08,7
22,2,airline,1.259712e-08,7
22,9,routine,7.46496e-09,7
