Series,Week,Couple,Scores,Dance,Music,Result,Film,Broadway musical,Musical,Country,CelebratingBBC
6,Week 14: Final,Couple,Scores,Dance,Music,Result,,,,,
6,Week 14: Final,Rachel & Vincent,"40 (10, 10, 10, 10)",Foxtrot,"""(They Long to Be) Close to You"" —Matt Monro",Runners-up,,,,,
6,Week 14: Final,Rachel & Vincent,"39 (9, 10, 10, 10)",Rumba,"""You Do Something To Me"" —Paul Weller",Runners-up,,,,,
6,Week 14: Final,Rachel & Vincent,No scores received,Showdance,"""Flashdance... What a Feeling"" —Irene Cara",Runners-up,,,,,
6,Week 14: Final,Tom & Camilla,"35 (8, 9, 9, 9)",Foxtrot,"""Here You Come Again"" —Dolly Parton",Winners,,,,,
6,Week 14: Final,Tom & Camilla,"38 (9, 10, 10, 9)",Salsa,"""Pa Gonza Con Fruko"" —Fruko y sus Tesos",Winners,,,,,
6,Week 14: Final,Tom & Camilla,No scores received,Showdance,"""If My Friends Could See Me Now"" —fromSweet Charity",Winners,,,,,
6,Week 14: Final,Lisa & Brendan,"40 (10, 10, 10, 10)",Foxtrot,"""Walkin' My Baby Back Home"" —Nat King Cole",Third place,,,,,
6,Week 14: Final,Lisa & Brendan,"40 (10, 10, 10, 10)",Cha-cha-cha,"""Tears Dry on Their Own"" —Amy Winehouse",Third place,,,,,
6,Week 14: Final,Lisa & Brendan,No scores received,Showdance,"""I'd Do Anything for Love (But I Won't Do That)"" —Meat Loaf",Third place,,,,,
7,Week 1,Couple,Scores,Dance,Music,,,,,,
7,Week 1,Rav & Aliona,"19 (3, 6, 5, 5)",Tango,"""Baby Did a Bad, Bad Thing"" —Chris Isaak",,,,,,
7,Week 1,Ricky G. & Erin,"21 (4, 6, 6, 5)",Waltz,"""What'll I Do"" —Irving Berlin",,,,,,
7,Week 1,Chris & Ola,"26 (6, 7, 7, 6)",Tango,"""Sharp Dressed Man"" —ZZ Top",,,,,,
7,Week 1,Jade & Ian,"25 (6, 7, 6, 6)",Waltz,"""Weekend in New England"" —Barry Manilow",,,,,,
7,Week 1,Martina & Matthew,"22 (4, 6, 6, 6)",Waltz,"""Jesse"" —Roberta Flack",,,,,,
7,Week 1,Lynda & Darren,"21 (3, 6, 7, 5)",Tango,"""Under Pressure"" —Queen&David Bowie",,,,,,
7,Week 1,Ali & Brian,"30 (7, 8, 8, 7)",Waltz,"""Reach Out and Touch (Somebody's Hand)"" —Diana Ross",,,,,,
7,Week 1,Joe & Kristina,"16 (2, 5, 5, 4)",Tango,"""Cité Tango"" —Astor Piazzolla",,,,,,
7,Week 1,Couple,Scores,Dance,Music,Result,,,,,
7,Week 1,Jade & Ian,"27 (6, 7, 7, 7)",Cha-cha-cha,"""Ain't No Other Man"" —Christina Aguilera",Safe,,,,,
7,Week 1,Ali & Brian,"30 (7, 7, 8, 8)",Rumba,"""That's What Friends Are For"" —Dionne Warwick",Safe,,,,,
7,Week 1,Lynda & Darren,"23 (5, 6, 6, 6)",Cha-cha-cha,"""Don't Go Breaking My Heart"" —Elton John&Kiki Dee",Safe,,,,,
7,Week 1,Rav & Aliona,"22 (4, 6, 5, 7)",Rumba,"""Temptation"" —Tom Waits",Bottom two,,,,,
7,Week 1,Chris & Ola,"30 (7, 8, 7, 8)",Rumba,"""Don't Know Much"" —Linda Ronstadt",Safe,,,,,
7,Week 1,Joe & Kristina,"16 (2, 5, 5, 4)",Cha-cha-cha,"""Chain of Fools"" —Aretha Franklin",Safe,,,,,
7,Week 1,Martina & Matthew,"24 (5, 6, 7, 6)",Rumba,"""Alone"" —Heart",Eliminated,,,,,
7,Week 1,Ricky G. & Erin,"26 (6, 7, 7, 6)",Cha-cha-cha,"""Jump (for My Love)"" —The Pointer Sisters",Safe,,,,,
7,Week 2,Couple,Scores,Dance,Music,,,,,,
7,Week 2,Natalie & Vincent,"24 (6, 6, 6, 6)",Tango,"""Spider of the Night"" — Pedro Manilla",,,,,,
7,Week 2,Zöe & James,"30 (7, 8, 7, 8)",Waltz,"""Some Day My Prince Will Come"" —Adriana Caselotti",,,,,,
7,Week 2,Craig & Flavia,"22 (5, 6, 5, 6)",Tango,"""Jai Ho"" —Pussycat Dolls",,,,,,
7,Week 2,Richard & Lilia,"19 (4, 5, 5, 5)",Waltz,"""Truly"" —Lionel Richie",,,,,,
7,Week 2,Laila & Anton,"30 (7, 8, 7, 8)",Tango,"""El Choclo"" —Ángel Villoldo",,,,,,
7,Week 2,Phil & Katya,"29 (7, 8, 7, 7)",Waltz,"""Sam"" —Olivia Newton-John",,,,,,
7,Week 2,Jo & Brendan,"18 (3, 5, 5, 5)",Tango,"""Let's Dance"" —David Bowie",,,,,,
7,Week 2,Ricky W. & Natalie,"33 (8, 9, 8, 8)",Waltz,"""It Is You (I Have Loved)"" —Dana Glover",,,,,,
7,Week 2,Couple,Scores,Dance,Music,Result,,,,,
7,Week 2,Phil & Katya,"22 (4, 6, 6, 6)",Cha-cha-cha,"""Daddy"" —Della Reese",Safe,,,,,
7,Week 2,Craig & Flavia,"22 (5, 6, 5, 6)",Rumba,"""Will You Still Love Me Tomorrow?"" —Amy Winehouse",Bottom two,,,,,
7,Week 2,Laila & Anton,"25 (6, 7, 6, 6)",Cha-cha-cha,"""Sway"" —Rosemary Clooney",Safe,,,,,
7,Week 2,Zöe & James,"31 (8, 7, 8, 8)",Rumba,"""Out of Reach"" —Gabrielle",Safe,,,,,
7,Week 2,Jo & Brendan,"18 (3, 5, 5, 5)",Rumba,"""Fallen"" —Lauren Wood",Safe,,,,,
7,Week 2,Richard & Lilia,"19 (4, 5, 5, 5)",Cha-cha-cha,"""I'm Your Man"" —Wham!",Eliminated,,,,,
7,Week 2,Ricky W. & Natalie,"32 (8, 8, 8, 8)",Rumba,"""Stepping Stone"" —Duffy",Safe,,,,,
7,Week 2,Natalie & Vincent,"26 (6, 7, 7, 6)",Cha-cha-cha,"""Bang Bang"" —David Sanborn",Safe,,,,,
7,Week 3,Couple,Scores,Dance,Music,Result,,,,,
7,Week 3,Ali & Brian,"32 (8, 8, 8, 8)",Quickstep,"""I Get a Kick Out of You"" —Frank Sinatra",Safe,,,,,
7,Week 3,Lynda & Darren,"25 (5, 7, 7, 6)",Paso doble,"""Devil Woman"" —Cliff Richard",Bottom two,,,,,
7,Week 3,Chris & Ola,"23 (5, 6, 6, 6)",Quickstep,"""Dancin' Fool"" —Barry Manilow",Safe,,,,,
7,Week 3,Zöe & James,"31 (7, 8, 8, 8)",Paso doble,"""You've Got the Love"" —Florence and the Machine",Safe,,,,,
7,Week 3,Rav & Aliona,"20 (3, 6, 5, 6)",Quickstep,"""We Go Together"" —John Travolta&Olivia Newton-John",Eliminated,,,,,
7,Week 3,Natalie & Vincent,"28 (6, 7, 8, 7)",Paso doble,"""Malagueña"" —Connie Francis",Safe,,,,,
7,Week 3,Craig & Flavia,"21 (4, 6, 6, 5)",Quickstep,"""Peroxide Swing"" —Michael Bublé",Safe,,,,,
7,Week 3,Ricky W. & Natalie,"35 (8, 9, 9, 9)",Paso doble,"""Spanish Gypsy Dance"" —Pascual Marquina Narro",Safe,,,,,
7,Week 3,Jade & Ian,"31 (7, 8, 8, 8)",Quickstep,"""Fascination"" —Alphabeat",Safe,,,,,
7,Week 3,Joe & Kristina,"19 (3, 5, 6, 5)",Paso doble,"""Livin' on a Prayer"" —Bon Jovi",Safe,,,,,
7,Week 3,Laila & Anton,"30 (8, 8, 7, 7)",Quickstep,"""Strike Up the Band"" —Tony Bennett",Safe,,,,,
7,Week 3,Jo & Brendan,"20 (3, 6, 6, 5)",Paso doble,"""Because the Night"" —Patti Smith",Safe,,,,,
7,Week 3,Phil & Katya,"24 (5, 6, 6, 7)",Quickstep,"""Put on a Happy Face"" —Tony Bennett",Safe,,,,,
7,Week 3,Ricky G. & Erin,"29 (7, 7, 8, 7)",Paso doble,"""One Vision"" —Queen",Safe,,,,,
7,Week 4,Couple,Scores,Dance,Music,Result,,,,,
7,Week 4,Zöe & James,"33 (8, 9, 8, 8)",Foxtrot,"""This Will Be (An Everlasting Love)"" —Natalie Cole",Safe,,,,,
7,Week 4,Chris & Ola,"25 (5, 6, 7, 7)",Salsa,"""Micaela"" — King Bongo",Safe,,,,,
7,Week 4,Lynda & Darren,"24 (5, 7, 6, 6)",Foxtrot,"""Calendar Girl"" —Neil Sedaka",Eliminated,,,,,
7,Week 4,Ali & Brian,"32 (8, 8, 8, 8)",Salsa,"""Quimbara"" —Celia Cruz",Safe,,,,,
7,Week 4,Jo & Brendan,"20 (4, 6, 5, 5)",Foxtrot,"""Crazy"" —Patsy Cline",Safe,,,,,
7,Week 4,Natalie & Vincent,"29 (7, 8, 7, 7)",Salsa,"""You'll Be Mine (Party Time)"" —Gloria Estefan",Safe,,,,,
7,Week 4,Joe & Kristina,"20 (3, 6, 6, 5)",Foxtrot,"""Feeling Good"" —Michael Bublé",Safe,,,,,
7,Week 4,Laila & Anton,"34 (8, 9, 9, 8)",Foxtrot,"""Just in Time"" —Frank Sinatra",Safe,,,,,
7,Week 4,Ricky W. & Natalie,"32 (8, 8, 8, 8)",Salsa,"""Dancing Machine"" —The Jackson Five",Safe,,,,,
7,Week 4,Craig & Flavia,"24 (5, 7, 6, 6)",Foxtrot,"""Sometimes When We Touch"" —Dan Hill",Bottom two,,,,,
7,Week 4,Jade & Ian,"29 (7, 7, 8, 7)",Salsa,"""La Isla Bonita"" —Anna Book",Safe,,,,,
7,Week 4,Ricky G. & Erin,"28 (6, 8, 7, 7)",Foxtrot,"""All of Me"" —Frank Sinatra",Safe,,,,,
7,Week 4,Phil & Katya,"24 (4, 7, 6, 7)",Salsa,"""Long Train Runnin'"" —Doobie Brothers",Safe,,,,,
7,Week 5,Couple,Scores,Dance,Music,Result,,,,,
7,Week 5,Ricky G. & Erin,"25 (6, 7, 7, 5)",Jive,"""The Boy from New York City"" —The Manhattan Transfer",Safe,,,,,
7,Week 5,Jade & Ian,"35 (8, 9, 9, 9)",Viennese waltz,"""It's a Man's Man's Man's World"" —James Brown",Safe,,,,,
7,Week 5,Ali & Brian,"29 (6, 7, 8, 8)",Jive,"""Tutti Frutti"" —Little Richard",Safe,,,,,
7,Week 5,Jo & Brendan,"23 (5, 7, 6, 5)",Viennese waltz,"""Trouble"" —Ray LaMontagne",Safe,,,,,
7,Week 5,Zöe & James,"30 (7, 8, 8, 7)",Jive,"""Tainted Love"" —Gloria Jones",Bottom two,,,,,
7,Week 5,Ricky W. & Natalie,"36 (8, 9, 10, 9)",Viennese waltz,"""How Can I Be Sure"" —David Cassidy",Safe,,,,,
7,Week 5,Craig & Flavia,"20 (4, 6, 5, 5)",Jive,"""It Takes Two"" —Marvin Gaye",Safe,,,,,
7,Week 5,Joe & Kristina,"21 (4, 6, 6, 5)",Jive,"""Rock This Town"" —Stray Cats",Eliminated,,,,,
7,Week 5,Natalie & Vincent,"27 (7, 7, 7, 6)",Viennese waltz,"""At Last"" —Etta James",Safe,,,,,
7,Week 5,Laila & Anton,"22 (5, 7, 5, 5)",Jive,"""Modern Love"" —David Bowie",Safe,,,,,
7,Week 5,Phil & Katya,"27 (6, 7, 7, 7)",Viennese waltz,"""Mad About the Boy"" —Dinah Washington",Safe,,,,,
7,Week 5,Chris & Ola,"22 (5, 6, 6, 5)",Jive,"""Roll Over Beethoven"" —Chuck Berry",Safe,,,,,
7,Week 6,Couple,Scores,Dance,Music,Result,,,,,
7,Week 6,Jade & Ian,"32 (8, 8, 8, 8)",Samba,"""Independent Women"" —Destiny's Child",Bottom two,,,,,
7,Week 6,Chris & Ola,"28 (7, 7, 7, 7)",American Smooth,"""Jimmy Mack"" —Martha Reeves and the Vandellas",Safe,,,,,
7,Week 6,Phil & Katya,"25 (6, 7, 6, 6)",Samba,"""Daddy Cool"" —Boney M.",Safe,,,,,
7,Week 6,Zöe & James,"33 (8, 8, 9, 8)",American Smooth,"""My Girl"" —The Temptations",Safe,,,,,
7,Week 6,Craig & Flavia,"18 (3, 6, 4, 5)",Samba,"""Give It Up"" —KC & The Sunshine Band",Safe,,,,,
7,Week 6,Ricky G. & Erin,"29 (7, 8, 7, 7)",American Smooth,"""Chim Chim Cher-ee"" —Cliff Richard",Safe,,,,,
7,Week 6,Ricky W. & Natalie,"32 (8, 8, 8, 8)",Samba,"""Good Lovin'"" —The Young Rascals",Safe,,,,,
7,Week 6,Natalie & Vincent,"29 (7, 8, 7, 7)",American Smooth,"""Please Don't Talk About Me When I'm Gone"" —Dean Martin",Safe,,,,,
7,Week 6,Jo & Brendan,"14 (2, 5, 3, 4)",Samba,"""Superstition"" —Stevie Wonder",Eliminated,,,,,
7,Week 6,Ali & Brian,"37 (9, 9, 9, 10)",American Smooth,"""A Foggy Day in London Town"" —Michael Bublé",Safe,,,,,
7,Week 6,Laila & Anton,"28 (7, 7, 7, 7)",Samba,"""He's the Greatest Dancer"" —Sister Sledge",Safe,,,,,
7,Week 7,Couple,Scores,Dance,Music,Result,,,,,
7,Week 7,Natalie & Vincent,"30 (7, 8, 7, 8)",Jive,"""Good Golly Miss Molly"" —Little Richard",Safe,,,,,
7,Week 7,Ali & Brian,"33 (8, 9, 8, 8)",Paso doble,"""El Gato Montes"" — Ramon Cortez Pasodoble Orchestra",Bottom two,,,,,
7,Week 7,Craig & Flavia,"24 (5, 7, 7, 5)",Waltz,"""Don't Let the Sun Go Down on Me"" —Elton John",Safe,,,,,
7,Week 7,Chris & Ola,"29 (7, 8, 7, 7)",Cha-cha-cha,"""Shake Your Groove Thing"" —Peaches & Herb",Safe,,,,,
7,Week 7,Jade & Ian,"35 (8, 9, 9, 9)",Foxtrot,"""A Recipe for Making Love"" —Harry Connick, Jr.",Safe,,,,,
7,Week 7,Zöe & James,"32 (7, 8, 9, 8)",Samba,"""Boogie Nights"" —Heatwave",Eliminated,,,,,
7,Week 7,Ricky G. & Erin,"24 (4, 8, 7, 5)",Rumba,"""Licence To Kill"" —Gladys Knight",Safe,,,,,
7,Week 7,Laila & Anton,"33 (8, 9, 8, 8)",Viennese waltz,"""Once Around the Block"" —Badly Drawn Boy",Safe,,,,,
7,Week 7,Phil & Katya,"30 (7, 7, 8, 8)",Tango,"""Back to Black"" —Amy Winehouse",Safe,,,,,
7,Week 7,Ricky W. & Natalie,"39 (9, 10, 10, 10)",Quickstep,"""Down With Love"" —Holly Palmer&Michael Bublé",Safe,,,,,
7,Week 8: Blackpool Week,Couple,Scores,Dance,Music,Result,,,,,
7,Week 8: Blackpool Week,Ricky W. & Natalie,"35 (8, 9, 9, 9)",Tango,"""You Really Got Me"" —The Kinks",Safe,,,,,
7,Week 8: Blackpool Week,Natalie & Vincent,"31 (7, 8, 8, 8)",Quickstep,"""Tu Vuò Fà L'Americano"" —Fiorello",Safe,,,,,
7,Week 8: Blackpool Week,Jade & Ian,"33 (8, 8, 9, 8)",Jive,"""Flip, Flop, Fly"" —The Blues Brothers",Safe,,,,,
7,Week 8: Blackpool Week,Ali & Brian,"40 (10, 10, 10, 10)",Viennese waltz,"""Do Right Woman, Do Right Man"" —Etta James",Safe,,,,,
7,Week 8: Blackpool Week,Ricky G. & Erin,"25 (6, 7, 6, 6)",Salsa,"""Acuyuye"" — D.L.G",Bottom two,,,,,
7,Week 8: Blackpool Week,Laila & Anton,"30 (7, 7, 8, 8)",Paso doble,"""Layla"" —Derek and the Dominos",Safe,,,,,
7,Week 8: Blackpool Week,Phil & Katya,"28 (6, 8, 7, 7)",Rumba,"""Maybe I'm Amazed"" —Paul McCartney",Safe,,,,,
7,Week 8: Blackpool Week,Chris & Ola,"34 (8, 9, 9, 8)",Foxtrot,"""I Could Have Danced All Night"" —Frank Sinatra",Safe,,,,,
7,Week 8: Blackpool Week,Craig & Flavia,"17 (3, 5, 4, 5)",Cha-cha-cha,"""Easy Lover"" —Phil Collins",Eliminated,,,,,
7,Week 9,Couple,Scores,Dance,Music,Result,,,,,
7,Week 9,Phil & Katya,"31 (7, 8, 8, 8)",American Smooth,"""Come Fly with Me"" —Frank Sinatra",Eliminated,,,,,
7,Week 9,Ricky W. & Natalie,"35 (8, 9, 9, 9)",Jive,"""Rip It Up"" —Little Richard",Safe,,,,,
7,Week 9,Ricky G. & Erin,"29 (7, 8, 7, 7)",Viennese waltz,"""Nights in White Satin"" —The Moody Blues",Bottom two,,,,,
7,Week 9,Chris & Ola,"30 (6, 8, 9, 7)",Paso doble,"""I Believe in a Thing Called Love"" —The Darkness",Safe,,,,,
7,Week 9,Laila & Anton,"22 (3, 7, 6, 6)",Rumba,"""Rule the World"" —Take That",Safe,,,,,
7,Week 9,Natalie & Vincent,"34 (8, 9, 9, 8)",Foxtrot,"""Magic Moments"" —Perry Como",Safe,,,,,
7,Week 9,Ali & Brian,"35 (9, 8, 9, 9)",Cha-cha-cha,"""I Gotta Feeling"" —The Black Eyed Peas",Safe,,,,,
7,Week 10,Couple,Scores,Dance,Music,Result,,,,,
7,Week 10,Ali & Brian,"35 (8, 9, 9, 9)",Foxtrot,"""Haven't Met You Yet"" —Michael Bublé",Safe,,,,,
7,Week 10,Natalie & Vincent,"26 (6, 7, 8, 5)",Samba,"""Holiday"" —Madonna",Safe,,,,,
7,Week 10,Chris & Ola,"29 (7, 8, 7, 7)",Viennese waltz,"""A New Day Has Come"" —Celine Dion",Safe,,,,,
7,Week 10,Ricky W. & Natalie,"36 (9, 8, 10, 9)",American Smooth,"""Over the Rainbow"" —Eva Cassidy",Safe,,,,,
7,Week 10,Laila & Anton,"29 (6, 8, 7, 8)",Waltz,"""Fascination"" —Nat King Cole",Bottom two,,,,,
7,Week 10,Ricky G. & Erin,"22 (5, 6, 6, 5)",Tango,"""U Got the Look"" —Prince",Eliminated,,,,,
7,Week 11,Couple,Scores,Dance,Music,Result,,,,,
7,Week 11,Chris & Ola,"34 (8, 8, 9, 9)",Charleston,"""Fat Sam's Grand Slam"" —Bugsy Malone",Safe,,,,,
7,Week 11,Ricky W. & Natalie,"31 (7, 8, 8, 8)",Rock 'n' roll,"""Hound Dog"" —Elvis Presley",Bottom two,,,,,
7,Week 11,Ali & Brian,"37 (9, 9, 10, 9)",Charleston,"""Pencil Full of Lead"" —Paolo Nutini",Safe,,,,,
7,Week 11,Natalie & Vincent,"26 (5, 7, 7, 7)",Rock 'n' roll,"""Long Tall Sally"" —Little Richard",Eliminated,,,,,
7,Week 11,Laila & Anton,"31 (6, 9, 8, 8)",Charleston,"""Yes Sir, That's My Baby"" —Firehouse Five Plus Two",Safe,,,,,
7,Week 11,Ali & Brian,10,GroupViennese waltz,"""Piano Man"" —Billy Joel",,,,,,
7,Week 11,Chris & Ola,7,GroupViennese waltz,"""Piano Man"" —Billy Joel",,,,,,
7,Week 11,Laila & Anton,8,GroupViennese waltz,"""Piano Man"" —Billy Joel",,,,,,
7,Week 11,Natalie & Vincent,7,GroupViennese waltz,"""Piano Man"" —Billy Joel",,,,,,
7,Week 11,Ricky & Natalie,9,GroupViennese waltz,"""Piano Man"" —Billy Joel",,,,,,
7,Week 12: Quarter-final,Couple,Scores,Dance,Music,Result,,,,,
7,Week 12: Quarter-final,Ali & Brian,"42 (8, 9, 8, 9, 8)",Tango,"""Born to Be Wild"" —Steppenwolf",Safe,,,,,
7,Week 12: Quarter-final,Ali & Brian,"44 (9, 9, 8, 9, 9)",Samba,"""Change"" —Daniel Merriweather",Safe,,,,,
7,Week 12: Quarter-final,Laila & Anton,"33 (6, 6, 7, 7, 7)",American Smooth,"""My Kind of Girl"" —Matt Monro",Eliminated,,,,,
7,Week 12: Quarter-final,Laila & Anton,"26 (5, 5, 6, 5, 5)",Salsa,"""Cogele el Gusto"" — Wayne Gorbea",Eliminated,,,,,
7,Week 12: Quarter-final,Chris & Ola,"41 (8, 8, 8, 9, 8)",Waltz,"""At This Moment"" —Billy Vera and the Beaters",Safe,,,,,
7,Week 12: Quarter-final,Chris & Ola,"39 (8, 8, 8, 8, 7)",Samba,"""Cuba"" —Gibson Brothers",Safe,,,,,
7,Week 12: Quarter-final,Ricky W. & Natalie,"48 (9, 9, 10, 10, 10)",Foxtrot,"""Too Marvelous for Words"" —Frank Sinatra",Bottom two,,,,,
7,Week 12: Quarter-final,Ricky W. & Natalie,"47 (9, 10, 9, 10, 9)",Cha-cha-cha,"""Sunshine of Your Love"" —Spanky Wilson",Bottom two,,,,,
7,Week 13: Semi-final,Couple,Scores,Dance,Music,Result,,,,,
7,Week 13: Semi-final,Chris & Ola,"38 (7, 7, 8, 8, 8)",Rumba,"""Total Eclipse of the Heart"" —Bonnie Tyler",Safe,,,,,
7,Week 13: Semi-final,Chris & Ola,"42 (8, 8, 9, 9, 8)",Argentine tango,"""Bust Your Windows"" —Jazmine Sullivan",Safe,,,,,
7,Week 13: Semi-final,Ali & Brian,"42 (8, 8, 9, 8, 9)",Argentine tango,"""Pa Bailar"" —Bajofondo Tango Club",Eliminated,,,,,
7,Week 13: Semi-final,Ali & Brian,"50 (10, 10, 10, 10, 10)",American Smooth,"""Come Dance with Me"" —Frank Sinatra",Eliminated,,,,,
7,Week 13: Semi-final,Ricky W. & Natalie,"47 (9, 9, 10, 9, 10)",Waltz,"""Kissing You"" —Des'ree",Safe,,,,,
7,Week 13: Semi-final,Ricky W. & Natalie,"49 (9, 10, 10, 10, 10)",Argentine tango,"""Verano Porteno"" —Astor Piazzolla",Safe,,,,,
7,Week 14: Final,Couple,Score,Dance,Music,,,,,,
7,Week 14: Final,Ricky W. & Natalie,"50 (10, 10, 10, 10, 10)",Quickstep,"""Down with Love"" —Holly Palmer&Michael Bublé",,,,,,
7,Week 14: Final,Chris & Ola,"46 (9, 9, 9, 10, 9)",Foxtrot,"""I Could Have Danced All Night"" —Frank Sinatra",,,,,,
7,Week 14: Final,Chris & Ola,"44 (8, 9, 9, 9, 9)",GroupLindy Hop,"""Sing, Sing, Sing"" —Louis Prima",,,,,,
7,Week 14: Final,Ricky W. & Natalie,"43 (8, 8, 9, 9, 9)",GroupLindy Hop,"""Sing, Sing, Sing"" —Louis Prima",,,,,,
7,Week 14: Final,Couple,Score,Dance,Music,Result,,,,,
7,Week 14: Final,Chris & Ola,"50 (10, 10, 10, 10, 10)",Charleston,"""Fat Sam's Grand Slam"" —Bugsy Malone",Winners,,,,,
7,Week 14: Final,Chris & Ola,"46 (9, 9, 9, 10, 9)",Showdance,"""Do You Love Me"" —The Contours",Winners,,,,,
7,Week 14: Final,Ricky W. & Natalie,"48 (9, 10, 9, 10, 10)",Cha-cha-cha,"""Sunshine of Your Love"" —Spanky Wilson",Runners-up,,,,,
7,Week 14: Final,Ricky W. & Natalie,"49 (10, 9, 10, 10, 10)",Showdance,"""Last Dance"" —Donna Summer",Runners-up,,,,,
8,Week 1,Couple,Scores,Dance,Music,,,,,,
8,Week 1,Felicity & Vincent,"23 (4, 5, 7, 7)",Cha-cha-cha,"""Sunny"" —Bobby Hebb",,,,,,
8,Week 1,Scott & Natalie,"29 (6, 7, 8, 8)",Waltz,"""I Never Loved a Man (The Way I Love You)"" —Aretha Franklin",,,,,,
8,Week 1,Goldie & Kristina,"20 (3, 6, 6, 5)",Cha-cha-cha,"""Tik Tok"" —Ke$ha",,,,,,
8,Week 1,Patsy & Robin,"22 (4, 6, 6, 6)",Waltz,"""When I Need You"" —Leo Sayer",,,,,,
8,Week 1,Matt & Aliona,"31 (7, 8, 8, 8)",Cha-cha-cha,"""Ain't No Mountain High Enough"" —Marvin Gaye&Tammi Terrell",,,,,,
8,Week 1,Pamela & James,"31 (7, 8, 8, 8)",Waltz,"""If I Ain't Got You"" —Alicia Keys",,,,,,
8,Week 1,Paul & Ola,"16 (2, 5, 5, 4)",Cha-cha-cha,"""Could It Be Magic"" —Take That",,,,,,
8,Week 1,Couple,Scores,Dance,Music,,,,,,
8,Week 1,Jimi & Flavia,"26 (6, 7, 6, 7)",Cha-cha-cha,"""Don't Upset the Rhythm (Go Baby Go)"" —Noisettes",,,,,,
8,Week 1,Peter & Erin,"21 (4, 6, 6, 5)",Waltz,"""Take It to the Limit"" —Eagles",,,,,,
8,Week 1,Michelle & Brendan,"24 (5, 6, 7, 6)",Cha-cha-cha,"""Stone Cold Sober"" —Paloma Faith",,,,,,
8,Week 1,Gavin & Katya,"28 (6, 8, 7, 7)",Waltz,"""You Light Up My Life"" —Debby Boone",,,,,,
8,Week 1,Tina & Jared,"24 (5, 7, 6, 6)",Cha-cha-cha,"""California Gurls"" —Katy Perry, feat.Snoop Dogg",,,,,,
8,Week 1,Ann & Anton,"17 (2, 5, 5, 5)",Waltz,"""My Cherie"" —Al Martino",,,,,,
8,Week 1,Kara & Artem,"30 (7, 8, 8, 7)",Cha-cha-cha,"""I Like It"" —Enrique Iglesias, feat.Pitbull",,,,,,
8,Week 2,Couple,Scores,Dance,Music,Result,,,,,
8,Week 2,Matt & Aliona,"31 (7, 8, 8, 8)",Foxtrot,"""She Said"" —Plan B",Safe,,,,,
8,Week 2,Peter & Erin,"17 (3, 5, 5, 4)",Salsa,"""Mambo No.5"" —Perez Prado",Bottom two,,,,,
8,Week 2,Tina & Jared,"26 (6, 6, 7, 7)",Foxtrot,"""On the Sunny Side of the Street"" —Frankie Laine",Safe,,,,,
8,Week 2,Patsy & Robin,"28 (7, 7, 7, 7)",Salsa,"""Canned Heat"" —Jamiroquai",Safe,,,,,
8,Week 2,Paul & Ola,"21 (4, 6, 6, 5)",Foxtrot,"""Lady Luck"" —Brian Setzer",Safe,,,,,
8,Week 2,Scott & Natalie,"32 (8, 8, 8, 8)",Salsa,"""Let's Hear It for the Boy"" —Deniece Williams",Safe,,,,,
8,Week 2,Michelle & Brendan,"26 (6, 7, 7, 6)",Foxtrot,"""It Had to Be You"" —Harry Connick Jr.",Safe,,,,,
8,Week 2,Goldie & Kristina,"26 (6, 7, 7, 6)",Foxtrot,"""This Business of Love"" —Domino",Eliminated,,,,,
8,Week 2,Pamela & James,"32 (8, 8, 8, 8)",Salsa,"""Dr. Beat"" —Gloria Estefan",Safe,,,,,
8,Week 2,Felicity & Vincent,"25 (6, 6, 6, 7)",Foxtrot,"""Somethin' Stupid"" —Frank Sinatra&Nancy Sinatra",Safe,,,,,
8,Week 2,Ann & Anton,"12 (1, 4, 4, 3)",Salsa,"""Mambo Italiano"" —Dean Martin",Safe,,,,,
8,Week 2,Kara & Artem,"32 (7, 8, 9, 8)",Foxtrot,"""From Russia with Love"" —Matt Monro",Safe,,,,,
8,Week 2,Gavin & Katya,"19 (3, 6, 5, 5)",Salsa,"""Don't Stop the Music"" —Rihanna",Safe,,,,,
8,Week 2,Jimi & Flavia,"30 (7, 7, 8, 8)",Foxtrot,"""Fever"" —Peggy Lee",Safe,,,,,
8,Week 3,Couple,Scores,Dance,Music,Result,,,,,
8,Week 3,Kara & Artem,"31 (8, 8, 8, 7)",Quickstep,"""Are You Gonna Be My Girl"" —Jet",Safe,,,,,
8,Week 3,Felicity & Vincent,"29 (7, 7, 8, 7)",Rumba,"""True Colors"" —Cyndi Lauper",Safe,,,,,
8,Week 3,Patsy & Robin,"24 (5, 6, 7, 6)",Quickstep,"""Black Horse and the Cherry Tree"" —KT Tunstall",Safe,,,,,
8,Week 3,Paul & Ola,"16 (2, 5, 5, 4)",Rumba,"""Take a Bow"" —Rihanna",Eliminated,,,,,
8,Week 3,Matt & Aliona,"31 (8, 7, 8, 8)",Quickstep,"""Dreaming of You"" —The Coral",Safe,,,,,
8,Week 3,Gavin & Katya,"22 (3, 6, 7, 6)",Rumba,"""Always on My Mind"" —Elvis Presley",Safe,,,,,
8,Week 3,Scott & Natalie,"34 (8, 8, 9, 9)",Quickstep,"""I Wan'na Be Like You"" —Louis Prima",Safe,,,,,
8,Week 3,Michelle & Brendan,"24 (4, 6, 7, 7)",Rumba,"""Wicked Game"" —Chris Isaak",Bottom two,,,,,
