Bike Type,Store,Order Date,Quantity,Value per Bike,Shipping Date,Model
Mountain,York,29/09/2020,3,1927,12/10/2020,03913/012ORRO
Road,London,02/11/2020,3,1034,04/11/2020,03913/012ORRO
Gravel,Leeds,28/10/2020,2,3667,30/10/2020,48321/001ORRO
Mountain,York,14/04/2020,5,1189,21/04/2020,84123/002ORRO
Gravel,Leeds,25/11/2020,2,787,10/12/2020,12349/014ORRO
Gravel,Leeds,02/07/2020,2,1274,21/07/2020,19312/032ORRO
Road,Manchester,14/05/2020,5,3823,30/05/2020,23144/014ORRO
Gravel,Manchester,30/09/2020,3,2527,02/10/2020,03913/012ORRO
Road,York,17/12/2020,2,1205,27/12/2020,03913/012ORRO
Mountain,York,17/08/2020,1,2524,27/08/2020,48321/001ORRO
Road,York,25/09/2020,5,3013,28/09/2020,84123/002ORRO
Gravel,Birmingham,11/03/2020,5,3593,27/03/2020,12349/014ORRO
Gravel,London,10/12/2020,4,1073,15/12/2020,19312/032ORRO
Gravel,Leeds,05/11/2020,5,1697,08/11/2020,23144/014ORRO
Road,Birmingham,07/09/2020,1,3672,13/09/2020,03913/012ORRO
Gravel,London,22/06/2020,1,3078,30/06/2020,03913/012ORRO
Gravel,Leeds,19/03/2020,1,2012,31/03/2020,48321/001ORRO
Mountain,London,21/12/2020,5,2059,30/12/2020,84123/002ORRO
Mountain,London,27/09/2020,5,3091,17/10/2020,12349/014ORRO
Gravel,Manchester,06/07/2020,5,1495,13/07/2020,19312/032ORRO
Gravel,Birmingham,27/10/2020,5,3178,08/11/2020,23144/014ORRO
Gravel,London,06/04/2020,3,2505,24/04/2020,BROM12042/912
Mountain,Manchester,06/04/2020,2,2503,23/04/2020,BROM93423/120
Mountain,Manchester,04/03/2020,5,1762,05/03/2020,BROM12319/123
Mountain,Leeds,04/10/2020,4,2264,11/10/2020,BROM12459/124
Mountain,Manchester,25/05/2020,2,2380,12/06/2020,BROM12493/230
Mountain,York,20/03/2020,5,1241,24/03/2020,BROM24292/102
Gravel,Leeds,01/05/2020,1,1793,15/05/2020,BROM31821/300
Mountain,York,16/06/2020,5,2803,22/06/2020,BROM34921/102
Road,Manchester,13/11/2020,5,3585,24/11/2020,BROM12042/913
Road,Leeds,17/05/2020,4,2717,18/05/2020,BROM93423/121
Mountain,Birmingham,09/08/2020,2,761,13/08/2020,BROM12319/124
Mountain,Manchester,15/11/2020,3,984,04/12/2020,BROM12459/125
Mountain,Leeds,07/10/2020,5,3399,25/10/2020,BROM12493/231
Mountain,York,15/04/2020,3,2342,02/05/2020,BROM24292/103
Mountain,Leeds,29/07/2020,1,2089,17/08/2020,BROM31821/301
Road,York,11/04/2020,5,1667,27/04/2020,BROM34921/103
Road,London,11/07/2020,4,3115,26/07/2020,BROM12042/914
Road,Leeds,24/09/2020,2,2069,28/09/2020,BROM93423/122
Road,York,14/04/2020,3,3560,04/05/2020,BROM12319/125
Mountain,Leeds,30/06/2020,2,3248,12/07/2020,BROM12459/126
Mountain,Birmingham,12/05/2020,4,3066,19/05/2020,BROM12493/232
Gravel,London,03/02/2020,4,3345,17/02/2020,BROM24292/104
Mountain,Leeds,02/05/2020,1,1719,22/05/2020,BROM31821/302
Road,London,09/11/2020,5,2405,15/11/2020,BROM34921/104
Mountain,Manchester,02/01/2020,5,3144,19/01/2020,BROM12042/915
Road,Birmingham,01/01/2020,5,1004,18/01/2020,BROM93423/123
Gravel,Birmingham,18/08/2020,2,2271,28/08/2020,BROM12319/126
Road,Leeds,25/04/2020,3,3704,14/05/2020,BROM12459/127
Gravel,London,06/05/2020,2,3839,11/05/2020,BROM12493/233
Mountain,Birmingham,20/11/2020,5,3315,30/11/2020,BROM24292/105
Gravel,London,22/12/2020,2,2407,31/12/2020,BROM31821/303
Mountain,Leeds,13/09/2020,5,2607,03/10/2020,BROM34921/105
Gravel,Leeds,11/09/2020,3,2019,25/09/2020,BROM12042/916
Road,Leeds,08/01/2020,4,3959,15/01/2020,BROM93423/124
Gravel,Manchester,24/12/2020,3,1989,28/12/2020,BROM12319/127
Mountain,Birmingham,29/12/2020,4,2059,12/01/2021,BROM12459/128
Gravel,York,01/09/2020,3,2547,06/09/2020,BROM12493/234
Mountain,Manchester,26/01/2020,4,2595,06/02/2020,BROM24292/106
Gravel,London,27/05/2020,3,2192,06/06/2020,BROM31821/304
Mountain,Leeds,31/03/2020,5,3641,02/04/2020,BROM34921/106
Gravel,Leeds,21/06/2020,3,3187,25/06/2020,BROM12042/917
Mountain,Leeds,27/02/2020,4,2660,10/03/2020,BROM93423/125
Mountain,Birmingham,25/01/2020,2,1895,06/02/2020,BROM12319/128
Gravel,Leeds,25/09/2020,4,3536,10/10/2020,BROM12459/129
Mountain,Birmingham,11/12/2020,5,2180,17/12/2020,BROM12493/235
Gravel,York,21/03/2020,5,2168,23/03/2020,BROM24292/107
Road,Birmingham,13/03/2020,5,3029,24/03/2020,BROM31821/305
Gravel,Birmingham,20/06/2020,1,3663,27/06/2020,BROM34921/107
Road,York,05/10/2020,4,3278,21/10/2020,BROM12042/918
Mountain,London,23/05/2020,1,2204,03/06/2020,BROM93423/126
Road,London,07/04/2020,5,2313,20/04/2020,BROM12319/129
Road,Leeds,27/04/2020,3,2937,02/05/2020,BROM12459/130
Mountain,Birmingham,04/01/2020,4,1162,08/01/2020,BROM12493/236
Gravel,Leeds,11/07/2020,4,1107,29/07/2020,BROM24292/108
Mountain,London,03/08/2020,1,1639,17/08/2020,BROM31821/306
Road,Manchester,20/02/2020,5,3611,27/02/2020,BROM34921/108
Road,Manchester,11/08/2020,4,1476,28/08/2020,BROM12042/919
Mountain,Leeds,17/02/2020,1,3427,19/02/2020,BROM93423/127
Mountain,London,04/07/2020,5,3478,08/07/2020,BROM12319/130
Road,Manchester,23/12/2020,2,2139,05/01/2021,BROM12459/131
Gravel,Manchester,06/08/2020,2,2462,14/08/2020,BROM12493/237
Mountain,Manchester,17/10/2020,2,1385,30/10/2020,BROM24292/109
Gravel,York,27/02/2020,2,1812,01/03/2020,BROM31821/307
Gravel,Manchester,21/08/2020,4,2430,03/09/2020,BROM34921/109
Road,Birmingham,03/02/2020,2,2002,08/02/2020,BROM12042/920
Mountain,Birmingham,26/10/2020,3,1872,14/11/2020,BROM93423/128
Mountain,London,19/02/2020,4,1487,05/03/2020,BROM12319/131
Mountain,Birmingham,28/12/2020,2,1871,12/01/2021,BROM12459/132
Mountain,Birmingham,06/05/2020,4,2621,12/05/2020,BROM12493/238
Mountain,Leeds,08/07/2020,1,3869,10/07/2020,BROM24292/110
Mountain,Manchester,05/05/2020,5,997,23/05/2020,BROM31821/308
Mountain,Leeds,26/01/2020,3,3607,15/02/2020,BROM34921/110
Road,Manchester,02/07/2020,4,1797,04/07/2020,BROM12042/921
Mountain,York,29/08/2020,5,2328,11/09/2020,BROM93423/129
Gravel,London,14/03/2020,1,2150,28/03/2020,BROM12319/132
Gravel,Leeds,27/07/2020,1,2056,05/08/2020,BROM12459/133
Mountain,London,09/04/2020,5,1509,24/04/2020,12123/014KONA
Road,Manchester,22/03/2020,2,3825,27/03/2020,84123/192KONA
Road,Manchester,03/10/2020,3,3671,05/10/2020,02381/123KONA
Gravel,York,20/06/2020,3,2622,25/06/2020,83481/012KONA
Gravel,London,10/01/2020,3,925,29/01/2020,93481/014KONA
Road,Birmingham,02/12/2020,4,3564,06/12/2020,94120/015KONA
Mountain,Manchester,13/03/2020,4,1784,20/03/2020,92423/192KONA
Road,London,14/11/2020,4,2454,15/11/2020,83412/824KONA
Road,Leeds,16/06/2020,3,3682,18/06/2020,81233/023KONA
Gravel,London,21/07/2020,2,3826,02/08/2020,12123/014KONA
Gravel,Birmingham,08/04/2020,3,887,26/04/2020,84123/192KONA
Mountain,Leeds,18/08/2020,2,3273,22/08/2020,02381/123KONA
Gravel,Birmingham,03/06/2020,3,854,22/06/2020,83481/012KONA
Mountain,Manchester,26/11/2020,4,2449,05/12/2020,93481/014KONA
Gravel,London,02/10/2020,1,2883,07/10/2020,94120/015KONA
Mountain,London,15/01/2020,4,3831,21/01/2020,92423/192KONA
Mountain,Leeds,14/06/2020,5,3262,18/06/2020,83412/824KONA
Mountain,Birmingham,06/07/2020,5,3866,10/07/2020,81233/023KONA
Mountain,London,02/02/2020,5,1657,10/02/2020,12123/014KONA
Gravel,York,26/06/2020,4,1534,04/07/2020,84123/192KONA
Road,Birmingham,09/07/2020,4,3930,12/07/2020,02381/123KONA
Gravel,London,14/01/2020,3,3689,29/01/2020,83481/012KONA
Gravel,London,14/07/2020,2,2572,21/07/2020,93481/014KONA
Road,London,14/08/2020,1,1494,26/08/2020,94120/015KONA
Mountain,Birmingham,08/11/2020,1,2054,15/11/2020,92423/192KONA
Gravel,Manchester,09/06/2020,4,2976,20/06/2020,83412/824KONA
Mountain,Leeds,21/08/2020,3,1054,28/08/2020,81233/023KONA
Road,London,26/09/2020,1,3989,01/10/2020,12123/014KONA
Gravel,Manchester,27/12/2020,1,1580,05/01/2021,84123/192KONA
Gravel,York,10/07/2020,4,2611,25/07/2020,02381/123KONA
Gravel,London,01/08/2020,5,3079,21/08/2020,83481/012KONA
Gravel,Leeds,14/05/2020,4,3606,27/05/2020,93481/014KONA
Gravel,Leeds,30/11/2020,3,1945,01/12/2020,94120/015KONA
Road,London,25/10/2020,2,3881,05/11/2020,92423/192KONA
Road,Manchester,26/05/2020,2,2163,05/06/2020,83412/824KONA
Road,Birmingham,19/01/2020,1,915,07/02/2020,81233/023KONA
Mountain,York,16/09/2020,4,3094,28/09/2020,12123/014KONA
Gravel,London,14/02/2020,5,2260,19/02/2020,84123/192KONA
Road,Manchester,20/04/2020,4,3086,08/05/2020,02381/123KONA
Mountain,Leeds,08/05/2020,4,3976,18/05/2020,83481/012KONA
Gravel,Leeds,09/08/2020,3,3539,27/08/2020,93481/014KONA
Road,York,12/01/2020,4,2036,17/01/2020,94120/015KONA
Gravel,York,28/02/2020,5,3741,17/03/2020,92423/192KONA
Road,London,15/06/2020,5,2038,18/06/2020,83412/824KONA
Mountain,Leeds,15/07/2020,3,1644,17/07/2020,81233/023KONA
Gravel,London,30/07/2020,3,3820,16/08/2020,12123/014KONA
Mountain,York,10/05/2020,5,3694,19/05/2020,84123/192KONA
Mountain,Manchester,09/01/2020,5,1680,13/01/2020,02381/123KONA
Road,London,17/06/2020,5,1941,26/06/2020,83481/012KONA
Road,Birmingham,07/09/2020,4,3278,09/09/2020,93481/014KONA
Gravel,Birmingham,08/08/2020,5,1439,25/08/2020,94120/015KONA
Mountain,Leeds,21/07/2020,5,2675,03/08/2020,92423/192KONA
Gravel,York,18/09/2020,4,3361,01/10/2020,83412/824KONA
Mountain,York,07/02/2020,5,3186,23/02/2020,81233/023KONA
Road,Leeds,31/08/2020,4,3836,03/09/2020,12123/014KONA
Gravel,London,06/05/2020,4,1976,20/05/2020,84123/192KONA
Road,London,29/06/2020,3,2755,14/07/2020,02381/123KONA
Mountain,York,11/09/2020,1,3859,27/09/2020,83481/012KONA
Mountain,York,24/11/2020,4,2357,01/12/2020,93481/014KONA
Road,London,17/08/2020,3,1967,21/08/2020,94120/015KONA
Gravel,York,12/09/2020,4,3035,02/10/2020,92423/192KONA
Road,Leeds,11/10/2020,1,2037,29/10/2020,83412/824KONA
Road,Manchester,18/12/2020,2,3922,23/12/2020,81233/023KONA
Mountain,London,28/07/2020,4,1954,02/08/2020,12123/014KONA
Mountain,Birmingham,08/09/2020,3,1762,18/09/2020,84123/192KONA
Gravel,Leeds,04/11/2020,4,1819,06/11/2020,02381/123KONA
Gravel,Manchester,15/06/2020,3,2657,01/07/2020,83481/012KONA
Mountain,Leeds,03/09/2020,4,2414,09/09/2020,93481/014KONA
Gravel,Leeds,20/07/2020,2,1278,01/08/2020,94120/015KONA
Gravel,London,26/07/2020,3,2920,02/08/2020,92423/192KONA
Mountain,Birmingham,09/07/2020,3,1212,28/07/2020,83412/824KONA
Gravel,London,20/07/2020,5,1004,05/08/2020,81233/023KONA
Mountain,Birmingham,03/01/2020,5,3033,12/01/2020,12123/014KONA
Gravel,York,04/01/2020,1,906,22/01/2020,84123/192KONA
Gravel,Leeds,19/04/2020,3,2755,28/04/2020,02381/123KONA
Road,Manchester,15/05/2020,2,3820,28/05/2020,83481/012KONA
Road,London,27/07/2020,4,1360,09/08/2020,93481/014KONA
Gravel,York,01/05/2020,1,1219,06/05/2020,94120/015KONA
Mountain,Leeds,28/03/2020,1,3954,30/03/2020,92423/192KONA
Mountain,Birmingham,10/03/2020,2,3261,19/03/2020,83412/824KONA
Mountain,Leeds,02/08/2020,2,1923,19/08/2020,81233/023KONA
Road,London,25/07/2020,3,2576,13/08/2020,12123/014KONA
Mountain,York,05/12/2020,2,2435,23/12/2020,84123/192KONA
Road,Birmingham,23/12/2020,2,1066,09/01/2021,02381/123KONA
Road,York,05/08/2020,2,2693,10/08/2020,83481/012KONA
Mountain,Leeds,12/05/2020,3,1651,30/05/2020,93481/014KONA
Gravel,Leeds,30/05/2020,3,3760,31/05/2020,94120/015KONA
Mountain,London,12/09/2020,3,1221,24/09/2020,92423/192KONA
Mountain,London,19/09/2020,2,3668,02/10/2020,83412/824KONA
Mountain,Birmingham,28/08/2020,5,917,29/08/2020,81233/023KONA
Road,York,02/12/2020,1,2713,17/12/2020,12123/014KONA
Road,Birmingham,25/06/2020,5,1685,08/07/2020,84123/192KONA
Gravel,London,10/04/2020,3,2576,22/04/2020,02381/123KONA
Gravel,Leeds,19/02/2020,5,1277,23/02/2020,83481/012KONA
Gravel,Manchester,03/08/2020,3,2714,15/08/2020,93481/014KONA
Road,London,19/01/2020,3,868,27/01/2020,94120/015KONA
Mountain,Birmingham,12/02/2020,4,2304,25/02/2020,92423/192KONA
Mountain,Leeds,04/02/2020,4,2178,15/02/2020,83412/824KONA
Mountain,Manchester,02/05/2020,2,2215,04/05/2020,81233/023KONA
Gravel,London,22/02/2020,5,2154,27/02/2020,12123/014KONA
Gravel,Leeds,06/07/2020,2,832,21/07/2020,84123/192KONA
Gravel,Manchester,29/09/2020,1,903,15/10/2020,02381/123KONA
Mountain,Manchester,28/07/2020,2,3777,30/07/2020,83481/012KONA
Road,Birmingham,09/03/2020,4,2282,26/03/2020,93481/014KONA
Road,Leeds,10/08/2020,3,2304,12/08/2020,GIA31292/003
Road,London,10/11/2020,2,1161,20/11/2020,GIA21312/001
Gravel,Manchester,31/08/2020,5,1385,06/09/2020,GIA94221/129
Mountain,Manchester,15/11/2020,4,3401,21/11/2020,GIA12442/120
Mountain,York,23/09/2020,4,2484,28/09/2020,GIA12492/123
Gravel,Birmingham,07/09/2020,4,2146,23/09/2020,GIA14293/003
Road,London,27/04/2020,5,2820,29/04/2020,GIA31292/004
Road,Leeds,19/09/2020,2,3957,30/09/2020,GIA21312/002
Mountain,Leeds,27/04/2020,1,1544,07/05/2020,GIA94221/130
Mountain,London,23/10/2020,2,2980,08/11/2020,GIA12442/121
Road,Birmingham,25/02/2020,5,1881,06/03/2020,GIA12492/124
Gravel,London,27/01/2020,1,1532,10/02/2020,GIA14293/004
Mountain,York,09/05/2020,2,3129,13/05/2020,GIA31292/005
Road,Manchester,08/12/2020,1,1898,11/12/2020,GIA31292/004
Gravel,Leeds,14/11/2020,1,1421,28/11/2020,GIA21312/002
Gravel,York,24/12/2020,3,1594,03/01/2021,GIA94221/130
Road,Manchester,15/03/2020,1,1867,19/03/2020,GIA12442/121
Mountain,Birmingham,12/04/2020,5,2037,15/04/2020,GIA12492/124
Gravel,Manchester,21/10/2020,3,2672,10/11/2020,GIA14293/004
Mountain,Leeds,04/06/2020,3,952,07/06/2020,GIA31292/005
Road,Manchester,07/11/2020,4,3367,19/11/2020,GIA21312/003
Road,York,07/05/2020,5,1294,13/05/2020,GIA94221/131
Mountain,York,19/08/2020,2,2115,22/08/2020,GIA12442/122
Road,Birmingham,29/11/2020,1,1851,18/12/2020,GIA12492/125
Gravel,Birmingham,07/06/2020,1,3039,27/06/2020,GIA14293/005
Mountain,York,02/04/2020,1,790,03/04/2020,GIA31292/006
Mountain,Manchester,14/12/2020,1,1637,19/12/2020,GIA31292/005
Road,London,21/01/2020,1,2063,09/02/2020,GIA21312/003
Mountain,York,16/09/2020,4,1862,04/10/2020,GIA94221/131
Mountain,Manchester,16/12/2020,3,3526,26/12/2020,GIA12442/122
Mountain,Leeds,27/05/2020,3,2317,10/06/2020,GIA12492/125
Gravel,Manchester,25/01/2020,3,880,31/01/2020,GIA14293/005
Road,London,22/06/2020,3,3560,29/06/2020,GIA31292/006
Road,Manchester,13/01/2020,1,3584,16/01/2020,GIA21312/004
Gravel,Birmingham,25/12/2020,2,2986,26/12/2020,GIA94221/132
Road,Birmingham,04/09/2020,3,2168,06/09/2020,GIA12442/123
Road,York,14/07/2020,3,3995,21/07/2020,GIA12492/126
Mountain,Birmingham,07/07/2020,3,3014,16/07/2020,GIA14293/006
Gravel,York,04/04/2020,3,3711,05/04/2020,GIA31292/007
Mountain,Birmingham,17/03/2020,3,3639,23/03/2020,GIA31292/006
Mountain,London,05/05/2020,3,3112,21/05/2020,GIA21312/004
Road,Leeds,20/03/2020,1,895,07/04/2020,GIA94221/132
Road,York,30/06/2020,5,1544,13/07/2020,GIA12442/123
Road,Manchester,11/05/2020,4,3340,17/05/2020,GIA12492/126
Road,London,31/03/2020,2,2065,01/04/2020,GIA14293/006
Gravel,Birmingham,02/05/2020,2,1335,08/05/2020,GIA31292/007
Mountain,Leeds,14/10/2020,2,1239,31/10/2020,GIA21312/005
Gravel,London,19/05/2020,1,929,20/05/2020,GIA94221/133
Mountain,London,02/07/2020,4,1722,20/07/2020,GIA12442/124
Road,Leeds,23/06/2020,1,2121,12/07/2020,GIA12492/127
Road,Birmingham,31/01/2020,1,2650,15/02/2020,GIA14293/007
Gravel,Leeds,15/02/2020,1,2597,22/02/2020,GIA31292/008
Road,Leeds,27/11/2020,1,1648,09/12/2020,GIA31292/007
Gravel,Birmingham,28/11/2020,4,2550,09/12/2020,GIA21312/005
Mountain,Leeds,16/01/2020,3,3219,03/02/2020,GIA94221/133
Mountain,Birmingham,30/08/2020,3,1928,03/09/2020,GIA12442/124
Road,York,15/04/2020,5,2602,21/04/2020,GIA12492/127
Road,Birmingham,10/04/2020,2,1511,30/04/2020,GIA14293/007
Mountain,London,15/07/2020,5,1688,17/07/2020,GIA31292/008
Road,Manchester,25/01/2020,5,1588,14/02/2020,GIA21312/006
Gravel,Birmingham,11/11/2020,1,3007,19/11/2020,GIA94221/134
Road,Leeds,05/11/2020,4,2960,20/11/2020,GIA12442/125
Gravel,Manchester,15/07/2020,1,810,03/08/2020,GIA12492/128
Gravel,Birmingham,28/10/2020,3,1337,30/10/2020,GIA14293/008
Road,London,31/03/2020,2,3314,04/04/2020,GIA31292/009
Mountain,London,16/03/2020,3,2591,02/04/2020,GIA31292/008
Gravel,York,05/09/2020,1,1127,19/09/2020,GIA21312/006
Mountain,Leeds,14/04/2020,3,832,26/04/2020,GIA94221/134
Road,Manchester,14/06/2020,2,1284,23/06/2020,GIA12442/125
Mountain,Birmingham,13/01/2020,5,3746,25/01/2020,GIA12492/128
Gravel,London,19/08/2020,2,1029,07/09/2020,GIA14293/008
Mountain,York,26/12/2020,4,3192,02/01/2021,GIA31292/009
Road,Manchester,30/01/2020,5,1093,19/02/2020,GIA21312/007
Mountain,York,01/06/2020,5,3722,19/06/2020,GIA94221/135
Gravel,Manchester,25/10/2020,4,919,11/11/2020,GIA12442/126
Mountain,York,01/07/2020,4,2035,14/07/2020,GIA12492/129
Road,London,06/02/2020,4,2926,24/02/2020,GIA14293/009
Gravel,Leeds,25/09/2020,1,1125,13/10/2020,GIA31292/010
Road,Manchester,20/05/2020,1,2981,08/06/2020,GIA31292/009
Gravel,Leeds,28/08/2020,3,1076,05/09/2020,GIA21312/007
Road,Birmingham,24/03/2020,2,1084,29/03/2020,GIA94221/135
Road,Birmingham,01/09/2020,5,846,04/09/2020,GIA12442/126
Road,Manchester,18/04/2020,1,2118,02/05/2020,GIA12492/129
Road,Birmingham,27/02/2020,3,1787,16/03/2020,GIA14293/009
Gravel,York,13/04/2020,1,3433,28/04/2020,GIA31292/010
Mountain,York,05/02/2020,4,3001,16/02/2020,GIA21312/008
Gravel,Birmingham,03/12/2020,2,2993,08/12/2020,GIA94221/136
Gravel,York,20/01/2020,3,2896,25/01/2020,GIA12442/127
Road,Birmingham,19/08/2020,2,1156,26/08/2020,GIA12492/130
Mountain,Birmingham,18/03/2020,2,887,24/03/2020,GIA14293/010
Road,London,09/12/2020,3,1519,29/12/2020,GIA31292/011
Road,Leeds,30/08/2020,2,2318,04/09/2020,GIA31292/010
Mountain,London,15/08/2020,3,2129,25/08/2020,GIA21312/008
Mountain,London,07/11/2020,1,944,18/11/2020,GIA94221/136
Gravel,Manchester,19/11/2020,3,3626,08/12/2020,GIA12442/127
Road,Birmingham,21/11/2020,5,1819,28/11/2020,GIA12492/130
Gravel,Leeds,19/08/2020,1,3216,06/09/2020,GIA14293/010
Road,Manchester,28/12/2020,4,1206,01/01/2021,GIA31292/011
Road,York,18/07/2020,5,3461,05/08/2020,220SPEC12402
Gravel,Birmingham,16/11/2020,3,1611,04/12/2020,012SPEC24021
Mountain,Birmingham,15/02/2020,2,1654,25/02/2020,043SPEC12400
Gravel,Birmingham,04/01/2020,1,1151,24/01/2020,032SPEC29124
Road,Birmingham,27/10/2020,5,2185,05/11/2020,021SPEC01442
Road,Birmingham,08/04/2020,1,3239,25/04/2020,102SPEC84223
Mountain,Manchester,12/02/2020,5,1599,03/03/2020,012SPEC93581
Gravel,London,19/01/2020,4,2020,28/01/2020,943SPEC24912
Gravel,Leeds,17/02/2020,5,1414,08/03/2020,429SPEC21312
Mountain,Manchester,01/11/2020,2,3779,21/11/2020,942SPEC34342
Mountain,York,03/03/2020,3,944,12/03/2020,120SPEC13492
Road,Birmingham,12/10/2020,2,2541,19/10/2020,220SPEC12403
Gravel,London,20/07/2020,5,3092,04/08/2020,012SPEC24022
Gravel,York,20/05/2020,5,1888,26/05/2020,043SPEC12401
Mountain,Birmingham,13/10/2020,4,2343,16/10/2020,032SPEC29125
Road,Manchester,02/12/2020,5,3829,11/12/2020,021SPEC01443
Gravel,Leeds,15/02/2020,4,1541,19/02/2020,102SPEC84224
Mountain,Birmingham,08/09/2020,4,3391,11/09/2020,012SPEC93582
Road,York,19/09/2020,5,2658,23/09/2020,943SPEC24913
Mountain,Leeds,31/07/2020,4,2916,08/08/2020,429SPEC21313
Mountain,Manchester,26/05/2020,1,2243,06/06/2020,942SPEC34343
Road,Manchester,13/10/2020,3,2136,28/10/2020,120SPEC13493
Mountain,Manchester,20/04/2020,4,1667,06/05/2020,220SPEC12404
Mountain,Manchester,03/05/2020,2,1884,23/05/2020,012SPEC24023
Road,Leeds,04/05/2020,1,1441,17/05/2020,043SPEC12402
Gravel,Manchester,22/10/2020,3,3724,05/11/2020,032SPEC29126
Road,Birmingham,17/01/2020,5,1570,04/02/2020,021SPEC01444
Gravel,Manchester,16/10/2020,5,2043,04/11/2020,102SPEC84225
Road,York,22/11/2020,3,2191,01/12/2020,012SPEC93583
Mountain,Leeds,20/12/2020,5,3868,08/01/2021,943SPEC24914
Gravel,London,31/07/2020,5,1210,16/08/2020,429SPEC21314
Mountain,Leeds,04/12/2020,4,3795,24/12/2020,942SPEC34344
Gravel,York,20/03/2020,2,3303,02/04/2020,120SPEC13494
Mountain,York,12/10/2020,2,2599,01/11/2020,220SPEC12405
Road,Birmingham,15/04/2020,2,1248,30/04/2020,012SPEC24024
Gravel,Manchester,22/07/2020,2,1004,03/08/2020,043SPEC12403
Road,Manchester,07/02/2020,1,1531,09/02/2020,032SPEC29127
Mountain,Manchester,31/03/2020,2,3897,16/04/2020,021SPEC01445
Mountain,London,30/03/2020,5,3465,19/04/2020,102SPEC84226
Gravel,Birmingham,20/02/2020,4,3525,24/02/2020,012SPEC93584
Road,Manchester,11/02/2020,4,1524,13/02/2020,943SPEC24915
Gravel,Leeds,11/08/2020,3,2069,21/08/2020,429SPEC21315
Mountain,Leeds,17/05/2020,3,2831,06/06/2020,942SPEC34345
Mountain,Leeds,12/11/2020,5,2505,18/11/2020,120SPEC13495
Mountain,Leeds,27/08/2020,3,3942,14/09/2020,220SPEC12406
Gravel,London,31/07/2020,5,3173,02/08/2020,012SPEC24025
Mountain,Leeds,10/10/2020,2,3652,11/10/2020,043SPEC12404
Mountain,Manchester,05/04/2020,5,1378,16/04/2020,032SPEC29128
Road,Leeds,01/12/2020,1,1275,13/12/2020,021SPEC01446
Gravel,London,30/05/2020,4,2512,05/06/2020,102SPEC84227
Mountain,Leeds,22/05/2020,1,2689,04/06/2020,012SPEC93585
Road,London,03/08/2020,5,1248,20/08/2020,943SPEC24916
Gravel,Birmingham,26/12/2020,4,2301,13/01/2021,429SPEC21316
Road,Manchester,05/08/2020,1,1459,13/08/2020,942SPEC34346
Gravel,Birmingham,11/10/2020,1,969,13/10/2020,120SPEC13496
Gravel,London,30/01/2020,2,2411,15/02/2020,220SPEC12407
Gravel,York,31/05/2020,4,2306,20/06/2020,012SPEC24026
Road,Leeds,03/02/2020,3,1867,09/02/2020,043SPEC12405
Mountain,Manchester,11/02/2020,3,2086,20/02/2020,032SPEC29129
Gravel,Manchester,14/05/2020,5,2932,17/05/2020,021SPEC01447
Road,York,25/07/2020,4,3577,31/07/2020,102SPEC84228
Mountain,London,26/06/2020,4,3174,29/06/2020,012SPEC93586
Gravel,London,12/04/2020,2,2428,20/04/2020,943SPEC24917
Gravel,Birmingham,17/09/2020,2,1497,22/09/2020,429SPEC21317
Mountain,York,22/02/2020,1,1851,05/03/2020,942SPEC34347
Road,Birmingham,26/05/2020,2,3413,02/06/2020,120SPEC13497
Mountain,Manchester,01/04/2020,2,3811,05/04/2020,220SPEC12408
Gravel,Birmingham,09/10/2020,5,2801,12/10/2020,012SPEC24027
Gravel,Birmingham,17/09/2020,3,1061,30/09/2020,043SPEC12406
Mountain,London,04/12/2020,2,2412,17/12/2020,032SPEC29130
Mountain,London,07/03/2020,5,3101,12/03/2020,021SPEC01448
Road,Manchester,23/08/2020,2,3380,06/09/2020,102SPEC84229
Road,Manchester,21/09/2020,3,1900,27/09/2020,012SPEC93587
Road,Birmingham,29/04/2020,5,1529,05/05/2020,943SPEC24918
Mountain,Leeds,12/10/2020,4,2725,25/10/2020,429SPEC21318
Gravel,Leeds,24/03/2020,2,1826,31/03/2020,942SPEC34348
Mountain,Leeds,06/04/2020,4,2410,24/04/2020,120SPEC13498
Road,Leeds,17/12/2020,4,1572,03/01/2021,220SPEC12409
Road,York,19/10/2020,2,3473,26/10/2020,012SPEC24028
Mountain,Birmingham,21/11/2020,1,3034,01/12/2020,043SPEC12407
Gravel,London,05/07/2020,5,3281,07/07/2020,032SPEC29131
Gravel,York,09/11/2020,2,3969,29/11/2020,021SPEC01449
Mountain,York,05/11/2020,1,2906,18/11/2020,102SPEC84230
Gravel,London,20/05/2020,3,2645,01/06/2020,012SPEC93588
Mountain,Birmingham,03/09/2020,4,1967,08/09/2020,943SPEC24919
Mountain,Birmingham,20/11/2020,1,3122,27/11/2020,429SPEC21319
Gravel,Leeds,12/02/2020,1,1743,17/02/2020,942SPEC34349
Mountain,Birmingham,05/01/2020,4,3827,22/01/2020,120SPEC13499
Mountain,London,17/07/2020,3,1875,27/07/2020,220SPEC12410
Gravel,London,16/05/2020,4,3074,22/05/2020,012SPEC24029
Road,Leeds,23/02/2020,5,1554,05/03/2020,043SPEC12408
Gravel,Leeds,20/07/2020,2,3779,25/07/2020,032SPEC29132
Mountain,Birmingham,06/12/2020,5,3935,26/12/2020,021SPEC01450
Road,London,27/05/2020,4,1964,02/06/2020,102SPEC84231
