Engagement Start Date,Engagement End Date,Initials,Engagement Order,Grade Name,Day Rate
04/09/2024,14/12/2024,NT,2,Senior Consultant,750
16/01/2024,07/06/2024,SH,1,Senior Consultant,750
02/02/2024,23/06/2024,CC,1,Manager,1000
03/04/2024,18/05/2024,JA,1,Junior Consultant,500
20/07/2024,16/12/2024,JA,2,Junior Consultant,500
07/07/2024,01/12/2024,TA,1,Junior Consultant,500
21/01/2024,23/04/2024,EH,1,Senior Consultant,750
15/08/2024,17/09/2024,XT,1,Junior Consultant,500
04/08/2024,15/10/2024,AD,1,Senior Consultant,750
02/07/2024,22/12/2024,NM,1,Manager,1000
05/04/2024,22/06/2024,SQ,1,Senior Consultant,750
03/02/2024,09/05/2024,ZC,1,Manager,1000
02/02/2024,11/06/2024,LK,1,Junior Consultant,500
10/07/2024,24/09/2024,LK,2,Junior Consultant,500
30/04/2024,05/06/2024,FM,1,Manager,1000
29/08/2024,10/11/2024,OS,1,Manager,1000
01/08/2024,30/10/2024,RO,1,Junior Consultant,500
28/08/2024,29/12/2024,IS,1,Senior Consultant,750
12/01/2024,23/05/2024,TO,1,Senior Consultant,750
04/08/2024,16/12/2024,TO,3,Senior Consultant,750
18/01/2024,07/05/2024,EL,1,Junior Consultant,500
30/08/2024,01/09/2024,EL,3,Junior Consultant,500
26/02/2024,16/04/2024,XP,1,Manager,1000
28/04/2024,21/05/2024,HA,1,Senior Consultant,750
13/08/2024,19/11/2024,HA,2,Senior Consultant,750
11/02/2024,10/06/2024,KD,1,Junior Consultant,500
13/07/2024,02/10/2024,KD,2,Junior Consultant,500
20/01/2024,06/05/2024,VX,1,Junior Consultant,500
16/07/2024,28/09/2024,VX,3,Junior Consultant,500
26/09/2024,15/09/2024,VX,5,Junior Consultant,500
24/04/2024,15/05/2024,UD,1,Senior Consultant,750
08/03/2024,03/04/2024,LI,1,Junior Consultant,500
15/08/2024,27/11/2024,LI,2,Junior Consultant,500
12/01/2024,29/04/2024,HJ,1,Junior Consultant,500
21/08/2024,01/11/2024,HJ,2,Junior Consultant,500
13/04/2024,30/06/2024,UV,1,Junior Consultant,500
15/02/2024,08/05/2024,CM,1,Senior Consultant,750
01/09/2024,04/09/2024,CM,2,Senior Consultant,750
09/01/2024,25/04/2024,NL,1,Junior Consultant,500
03/03/2024,03/04/2024,SP,1,Manager,1000
13/02/2024,10/06/2024,WB,1,Junior Consultant,500
01/02/2024,26/06/2024,IJ,1,Junior Consultant,500
14/07/2024,27/10/2024,IJ,2,Junior Consultant,500
23/01/2024,04/05/2024,TV,1,Junior Consultant,500
01/07/2024,16/09/2024,MM,1,Junior Consultant,500
06/02/2024,17/05/2024,PQ,1,Senior Consultant,750
25/08/2024,19/09/2024,PQ,2,Senior Consultant,750
27/01/2024,23/06/2024,KC,1,Junior Consultant,500
21/07/2024,07/11/2024,KC,2,Junior Consultant,500
18/08/2024,17/09/2024,BP,1,Senior Consultant,750
19/09/2024,21/12/2024,OV,1,Manager,1000
06/03/2024,28/06/2024,RJ,1,Junior Consultant,500
26/09/2024,04/09/2024,RJ,3,Junior Consultant,500
23/02/2024,03/05/2024,OK,1,Senior Consultant,750
27/09/2024,07/09/2024,OK,2,Senior Consultant,750
03/01/2024,22/06/2024,RW,1,Manager,1000
10/03/2024,23/06/2024,MO,1,Manager,1000
22/01/2024,12/05/2024,PS,1,Junior Consultant,500
29/04/2024,14/04/2024,AU,1,Junior Consultant,500
01/08/2024,11/11/2024,AU,2,Junior Consultant,500
01/01/2024,28/06/2024,RU,1,Junior Consultant,500
01/08/2024,07/12/2024,RU,3,Junior Consultant,500
07/07/2024,19/11/2024,JX,1,Senior Consultant,750
29/01/2024,12/05/2024,WD,1,Senior Consultant,750
23/08/2024,16/11/2024,WD,2,Senior Consultant,750
02/03/2024,02/05/2024,MN,1,Senior Consultant,750
03/08/2024,16/09/2024,MN,2,Senior Consultant,750
02/08/2024,13/09/2024,PR,1,Manager,1000
27/01/2024,04/06/2024,JY,1,Junior Consultant,500
22/09/2024,04/10/2024,WE,1,Junior Consultant,500
07/04/2024,28/06/2024,SC,1,Junior Consultant,500
18/08/2024,21/09/2024,SC,2,Junior Consultant,500
21/04/2024,19/06/2024,YG,1,Junior Consultant,500
17/07/2024,17/12/2024,YG,2,Junior Consultant,500
17/01/2024,09/06/2024,EF,1,Senior Consultant,750
02/08/2024,09/09/2024,EF,2,Senior Consultant,750
04/01/2024,15/06/2024,XZ,1,Junior Consultant,500
26/08/2024,21/11/2024,XZ,3,Junior Consultant,500
19/02/2024,19/05/2024,LU,1,Manager,1000
13/03/2024,01/05/2024,QI,1,Junior Consultant,500
19/07/2024,15/12/2024,QI,2,Junior Consultant,500
19/08/2024,10/11/2024,HW,1,Manager,1000
05/07/2024,15/11/2024,UK,1,Junior Consultant,500
15/02/2024,08/05/2024,GP,1,Junior Consultant,500
10/09/2024,03/11/2024,ZL,1,Junior Consultant,500
26/04/2024,17/06/2024,GH,1,Manager,1000
19/04/2024,01/04/2024,ZT,1,Senior Consultant,750
04/07/2024,06/12/2024,ZT,2,Senior Consultant,750
03/01/2024,20/05/2024,GO,1,Senior Consultant,750
15/08/2024,28/12/2024,ZS,1,Senior Consultant,750
28/04/2024,02/05/2024,SG,1,Senior Consultant,750
01/01/2024,05/04/2024,DC,1,Senior Consultant,750
03/08/2024,06/09/2024,IO,1,Junior Consultant,500
15/04/2024,22/05/2024,KI,1,Junior Consultant,500
03/08/2024,13/12/2024,VU,1,Junior Consultant,500
20/01/2024,14/05/2024,FR,1,Junior Consultant,500
22/07/2024,15/12/2024,FR,4,Junior Consultant,500
07/09/2024,22/11/2024,BX,1,Manager,1000
06/01/2024,18/04/2024,EP,1,Senior Consultant,750
07/03/2024,14/05/2024,DE,1,Manager,1000
14/02/2024,30/04/2024,YY,1,Junior Consultant,500
07/07/2024,03/11/2024,YY,2,Junior Consultant,500
02/08/2024,11/11/2024,AS,1,Senior Consultant,750
13/08/2024,07/09/2024,JN,1,Junior Consultant,500
30/07/2024,29/10/2024,WR,1,Senior Consultant,750
29/08/2024,26/12/2024,BG,1,Junior Consultant,500
10/07/2024,27/12/2024,BY,1,Junior Consultant,500
09/07/2024,22/10/2024,LE,1,Junior Consultant,500
19/02/2024,15/04/2024,QY,1,Junior Consultant,500
23/07/2024,19/10/2024,QY,2,Junior Consultant,500
11/01/2024,16/05/2024,CH,1,Senior Consultant,750
20/09/2024,30/11/2024,CH,2,Senior Consultant,750
17/07/2024,21/10/2024,HY,1,Senior Consultant,750
14/04/2024,02/05/2024,UE,1,Senior Consultant,750
27/04/2024,22/06/2024,UZ,1,Junior Consultant,500
16/09/2024,18/09/2024,QT,1,Senior Consultant,750
15/07/2024,10/09/2024,SI,1,Junior Consultant,500
29/01/2024,16/04/2024,OF,1,Senior Consultant,750
17/08/2024,18/12/2024,OF,2,Senior Consultant,750
01/04/2024,11/05/2024,RZ,1,Manager,1000
05/03/2024,10/06/2024,HK,1,Senior Consultant,750
27/09/2024,29/12/2024,HK,2,Senior Consultant,750
27/01/2024,24/06/2024,UW,1,Manager,1000
26/02/2024,09/06/2024,DA,1,Junior Consultant,500
11/04/2024,03/06/2024,NA,1,Senior Consultant,750
09/08/2024,05/12/2024,NA,2,Senior Consultant,750
01/02/2024,10/06/2024,VA,1,Junior Consultant,500
27/07/2024,19/09/2024,VA,2,Junior Consultant,500
04/03/2024,20/05/2024,PM,1,Manager,1000
16/01/2024,23/05/2024,JQ,1,Junior Consultant,500
05/08/2024,05/10/2024,JQ,2,Junior Consultant,500
06/04/2024,11/06/2024,WM,1,Junior Consultant,500
21/07/2024,13/12/2024,EI,1,Senior Consultant,750
25/01/2024,02/04/2024,IZ,1,Junior Consultant,500
03/02/2024,26/04/2024,TF,1,Senior Consultant,750
12/08/2024,24/10/2024,TF,2,Senior Consultant,750
24/07/2024,25/12/2024,TG,1,Junior Consultant,500
26/01/2024,11/05/2024,GE,1,Manager,1000
18/01/2024,29/06/2024,ZY,1,Senior Consultant,750
17/07/2024,17/12/2024,ZY,2,Senior Consultant,750
02/01/2024,19/06/2024,WA,1,Senior Consultant,750
02/01/2024,21/04/2024,GR,1,Junior Consultant,500
04/07/2024,07/09/2024,GR,3,Junior Consultant,500
05/07/2024,07/12/2024,ZN,1,Manager,1000
01/09/2024,16/09/2024,ER,1,Junior Consultant,500
21/07/2024,12/11/2024,DB,1,Junior Consultant,500
03/02/2024,17/06/2024,JL,1,Junior Consultant,500
23/03/2024,16/05/2024,FG,1,Junior Consultant,500
11/07/2024,16/11/2024,IT,1,Junior Consultant,500
30/03/2024,08/06/2024,TH,1,Senior Consultant,750
04/07/2024,09/12/2024,TH,2,Senior Consultant,750
20/02/2024,15/04/2024,BN,1,Junior Consultant,500
01/07/2024,03/11/2024,BN,2,Junior Consultant,500
14/02/2024,08/06/2024,AI,1,Junior Consultant,500
11/08/2024,01/12/2024,AI,2,Junior Consultant,500
15/01/2024,03/04/2024,IN,1,Senior Consultant,750
30/03/2024,30/04/2024,TR,1,Senior Consultant,750
28/09/2024,14/11/2024,TR,2,Senior Consultant,750
20/03/2024,05/05/2024,IK,1,Manager,1000
06/03/2024,03/05/2024,TW,1,Senior Consultant,750
16/01/2024,17/05/2024,TC,1,Senior Consultant,750
11/09/2024,12/09/2024,TC,2,Senior Consultant,750
20/03/2024,30/06/2024,OB,1,Senior Consultant,750
18/07/2024,05/09/2024,KO,1,Junior Consultant,500
25/07/2024,10/09/2024,VS,1,Junior Consultant,500
29/03/2024,21/05/2024,KH,1,Junior Consultant,500
24/07/2024,06/09/2024,VT,1,Senior Consultant,750
27/02/2024,28/05/2024,HT,1,Junior Consultant,500
01/09/2024,14/09/2024,HT,2,Junior Consultant,500
27/02/2024,24/05/2024,UH,1,Senior Consultant,750
30/08/2024,23/11/2024,EC,1,Junior Consultant,500
29/04/2024,09/04/2024,DQ,1,Senior Consultant,750
18/07/2024,19/09/2024,DQ,2,Senior Consultant,750
22/09/2024,12/12/2024,DQ,3,Senior Consultant,750
26/04/2024,04/05/2024,NX,1,Junior Consultant,500
14/03/2024,24/04/2024,KK,1,Senior Consultant,750
14/08/2024,06/10/2024,KK,2,Senior Consultant,750
25/08/2024,08/09/2024,XA,1,Junior Consultant,500
30/09/2024,07/09/2024,XA,2,Junior Consultant,500
01/04/2024,24/06/2024,NR,1,Junior Consultant,500
25/07/2024,26/11/2024,NR,2,Junior Consultant,500
08/08/2024,10/10/2024,SN,1,Manager,1000
03/03/2024,28/05/2024,UP,1,Senior Consultant,750
07/02/2024,27/04/2024,XO,1,Manager,1000
04/04/2024,28/04/2024,CI,1,Junior Consultant,500
07/07/2024,26/10/2024,CI,2,Junior Consultant,500
09/01/2024,28/06/2024,OU,1,Junior Consultant,500
12/07/2024,27/12/2024,OU,3,Junior Consultant,500
26/03/2024,19/04/2024,EW,1,Junior Consultant,500
18/07/2024,12/09/2024,EW,2,Junior Consultant,500
20/03/2024,13/04/2024,XK,1,Senior Consultant,750
07/03/2024,22/05/2024,FF,1,Junior Consultant,500
24/01/2024,27/06/2024,FY,1,Junior Consultant,500
29/09/2024,09/11/2024,DP,1,Manager,1000
06/01/2024,01/04/2024,YL,1,Junior Consultant,500
12/01/2024,20/05/2024,BS,1,Senior Consultant,750
10/07/2024,29/12/2024,QH,1,Junior Consultant,500
03/03/2024,17/06/2024,BJ,1,Junior Consultant,500
14/09/2024,16/11/2024,BJ,2,Junior Consultant,500
18/01/2024,08/05/2024,ET,1,Senior Consultant,750
09/08/2024,18/11/2024,ET,2,Senior Consultant,750
25/09/2024,04/11/2024,KE,1,Junior Consultant,500
25/09/2024,17/09/2024,VY,1,Senior Consultant,750
01/07/2024,21/10/2024,EJ,1,Manager,1000
20/04/2024,03/06/2024,XV,1,Junior Consultant,500
29/08/2024,30/09/2024,XV,3,Junior Consultant,500
18/03/2024,22/05/2024,KT,1,Junior Consultant,500
12/08/2024,18/11/2024,KT,2,Junior Consultant,500
13/09/2024,16/10/2024,VH,1,Junior Consultant,500
03/02/2024,24/04/2024,KB,1,Manager,1000
20/02/2024,14/04/2024,ZA,1,Senior Consultant,750
08/09/2024,11/09/2024,ZA,2,Senior Consultant,750
16/01/2024,19/05/2024,GD,1,Senior Consultant,750
22/07/2024,25/11/2024,GD,2,Senior Consultant,750
10/03/2024,04/06/2024,HC,1,Junior Consultant,500
11/08/2024,16/10/2024,HC,2,Junior Consultant,500
12/02/2024,23/04/2024,KY,1,Junior Consultant,500
25/04/2024,16/05/2024,KY,2,Junior Consultant,500
09/08/2024,28/10/2024,VE,1,Manager,1000
07/01/2024,17/05/2024,OC,1,Senior Consultant,750
16/02/2024,29/05/2024,GT,1,Junior Consultant,500
24/07/2024,27/09/2024,GT,3,Junior Consultant,500
23/04/2024,09/06/2024,YV,1,Junior Consultant,500
28/07/2024,14/09/2024,MK,1,Senior Consultant,750
03/09/2024,13/10/2024,MK,3,Senior Consultant,750
05/04/2024,11/04/2024,PW,1,Junior Consultant,500
24/09/2024,07/09/2024,CN,1,Junior Consultant,500
12/03/2024,01/04/2024,SO,1,Junior Consultant,500
29/04/2024,27/04/2024,SO,2,Junior Consultant,500
15/07/2024,21/10/2024,SO,3,Junior Consultant,500
09/04/2024,07/05/2024,DU,1,Manager,1000
15/07/2024,20/09/2024,YI,1,Junior Consultant,500
28/09/2024,30/12/2024,YI,2,Junior Consultant,500
16/02/2024,20/06/2024,JK,1,Senior Consultant,750
11/08/2024,19/09/2024,JK,2,Senior Consultant,750
