Customer ID,Mobile App - Ease of Use,Mobile App - Ease of Access,Mobile App - Navigation,Mobile App - Likelihood to Recommend,Mobile App - Overall Rating,Online Interface - Ease of Use,Online Interface - Ease of Access,Online Interface - Navigation,Online Interface - Likelihood to Recommend,Online Interface - Overall Rating
563867,2,3,2,1,3,4,1,1,5,4
453151,1,5,3,4,5,1,3,5,1,4
354599,4,2,2,4,5,3,1,3,3,2
753763,3,3,5,5,3,2,2,3,3,4
970254,3,2,5,2,4,5,5,1,4,2
714941,1,3,4,3,2,1,2,3,5,5
177839,1,5,1,3,4,2,3,3,1,1
240175,3,5,4,3,5,1,4,5,5,3
854445,1,2,5,1,3,5,2,3,1,2
388262,1,3,4,2,3,1,3,4,1,2
991674,2,5,3,5,3,3,1,4,4,4
126085,3,5,4,1,2,4,1,2,3,2
788387,4,3,5,4,3,2,2,4,5,1
959357,5,1,2,1,5,1,3,5,4,3
740509,2,5,5,5,5,1,1,3,2,2
807770,1,2,3,5,4,2,2,5,5,3
109306,1,4,2,1,2,1,2,1,4,1
664680,5,3,2,2,1,3,1,2,2,5
989973,1,5,1,1,3,4,5,3,4,2
381969,2,1,1,5,4,4,4,3,2,4
925420,5,1,2,2,1,2,5,4,5,4
725310,3,4,1,4,3,1,5,2,2,2
182375,2,4,4,3,5,1,2,4,1,5
377928,5,4,2,4,2,5,3,4,3,5
503587,4,3,1,5,5,4,1,1,5,4
250095,2,2,4,1,1,5,5,5,3,4
181737,3,1,1,3,3,5,2,5,1,4
614797,2,2,3,2,5,3,3,4,5,1
794467,1,3,1,4,3,1,2,5,2,3
229593,5,2,4,4,3,5,3,1,1,3
191514,5,2,1,2,2,5,5,3,3,3
472617,3,2,2,5,4,2,5,3,4,2
443703,4,4,2,3,4,3,1,2,5,4
652708,3,2,4,4,1,4,1,1,2,1
400229,1,4,1,3,5,1,2,2,3,2
811193,5,5,1,2,2,5,4,2,1,1
470820,1,1,1,2,4,5,5,1,2,3
276358,3,1,1,2,3,3,1,4,3,5
427541,2,4,4,5,4,2,2,1,3,2
475031,1,4,4,5,1,3,1,1,2,4
616801,3,1,5,3,5,4,5,1,4,5
968297,2,4,5,2,4,5,4,5,5,4
343046,3,4,1,2,5,2,4,4,1,3
327991,2,3,4,5,2,3,3,4,3,5
801175,4,1,5,5,5,5,2,4,1,2
559244,5,3,3,3,1,5,3,4,1,5
525911,3,2,4,5,2,1,4,5,3,2
615203,5,2,5,4,2,1,2,1,5,4
977366,3,1,2,2,4,2,2,1,1,4
831551,1,5,2,5,2,2,2,5,5,2
759283,2,4,4,2,1,5,1,3,5,4
429972,4,4,4,3,4,1,1,1,5,1
679462,5,2,4,3,1,4,5,5,3,5
155200,2,3,4,1,3,3,1,5,4,4
663792,3,5,4,4,4,5,5,2,3,2
698446,1,2,3,3,1,4,3,4,1,3
826774,3,4,5,4,4,2,1,4,2,1
880992,2,3,1,1,1,4,5,2,5,5
454434,3,4,4,1,5,2,1,1,2,2
567796,4,2,2,1,5,5,5,1,1,4
918685,1,4,2,1,5,3,5,2,3,4
189483,2,2,1,4,2,5,2,1,2,4
991026,4,3,5,4,1,1,2,5,4,5
149908,4,1,4,3,1,3,3,3,4,3
190160,3,2,5,4,5,1,4,3,4,4
746556,5,1,1,3,2,4,5,2,2,3
965878,3,3,5,4,2,3,1,5,2,1
208624,1,2,3,1,2,4,2,3,3,3
537955,5,3,1,4,5,2,2,3,1,2
658934,2,2,5,3,3,5,2,2,5,1
318547,3,3,2,3,3,4,5,4,5,3
334690,3,1,4,3,5,3,4,3,4,3
694977,2,4,5,4,2,2,5,3,1,3
157503,2,3,1,5,4,2,3,5,2,3
224923,3,2,4,3,3,2,3,5,3,5
658486,5,5,3,5,1,5,4,2,5,1
577816,4,4,4,1,5,4,2,4,2,4
315621,5,1,1,1,5,1,2,3,5,4
168152,2,1,1,3,2,2,3,2,4,5
296429,5,4,4,1,2,4,1,2,2,4
745014,1,4,4,4,3,4,1,4,4,1
549792,3,5,4,5,3,5,3,1,2,4
780205,1,5,4,3,3,3,1,1,5,3
495335,3,5,3,4,5,5,5,4,3,4
246657,3,5,5,4,3,5,1,4,1,5
744887,4,5,2,3,3,2,3,1,2,5
785964,1,2,2,5,1,3,2,4,5,2
128286,1,4,4,4,3,1,1,5,2,4
177972,1,3,1,3,3,4,3,3,5,1
812215,4,4,1,1,5,1,1,3,4,2
962573,5,2,1,3,1,5,3,2,2,3
656073,1,2,3,5,2,4,4,3,1,4
163667,2,3,3,3,2,5,1,3,1,1
571472,3,5,5,5,3,1,3,2,5,2
380540,1,2,1,5,4,3,4,4,4,3
373295,5,3,4,4,2,1,2,4,1,3
920876,1,5,3,2,4,1,5,5,3,1
776412,1,2,1,3,2,1,3,2,1,5
606308,4,1,3,3,1,1,5,5,5,5
370615,4,1,1,3,1,2,5,4,4,4
727873,5,5,1,1,3,1,5,3,1,3
661361,4,3,4,5,1,3,2,2,1,3
574284,5,4,3,2,5,3,5,3,5,2
160100,3,3,5,1,2,3,1,3,2,5
232233,1,5,1,5,1,3,5,1,3,2
539829,3,5,4,5,4,5,5,4,3,3
707590,4,3,1,3,3,5,1,2,5,4
272233,1,1,2,2,5,4,5,2,3,2
439547,4,5,3,2,3,2,4,4,4,2
473386,1,3,3,5,2,4,5,3,2,2
421013,5,1,3,2,4,1,1,4,2,3
437828,1,3,5,4,3,3,3,4,3,3
313712,3,5,3,2,1,3,5,5,1,3
593198,1,2,3,4,4,4,4,3,2,1
696701,4,2,1,3,2,5,5,5,5,1
244094,5,1,1,3,1,1,2,3,2,2
675699,4,2,1,2,4,3,4,1,4,3
473605,3,4,3,1,1,5,2,1,3,3
324348,3,3,4,1,4,3,3,5,3,3
879673,2,4,2,4,5,2,1,1,4,4
674960,2,4,4,3,3,2,1,3,2,4
509949,2,3,4,5,4,1,3,2,1,3
123691,4,3,4,5,3,1,2,1,4,3
697203,1,2,3,5,3,1,5,4,3,2
181201,3,2,4,5,3,4,1,4,1,1
179388,1,5,4,1,4,5,3,1,1,3
669769,1,4,2,5,3,5,2,5,4,2
160592,3,3,4,4,5,1,2,4,5,1
186124,1,2,3,4,3,4,2,3,3,2
533921,5,4,1,1,3,2,4,5,5,4
470894,5,2,1,5,2,4,2,5,3,1
486982,5,4,1,5,2,3,1,5,5,1
808669,2,5,1,3,2,3,4,3,2,4
132106,2,2,1,5,3,4,1,5,2,1
652158,4,4,5,3,1,3,1,4,3,3
660478,2,2,3,3,2,5,2,5,4,3
622297,3,1,1,1,3,3,3,4,2,5
548530,1,1,3,5,4,3,4,3,1,3
546766,5,5,1,5,2,3,5,2,5,4
156143,5,1,1,1,4,3,5,3,1,5
252180,2,4,1,5,4,5,1,3,2,1
835890,2,5,5,1,3,4,3,3,1,5
187012,2,3,2,5,3,1,5,3,2,4
884923,1,4,2,3,5,1,2,3,2,1
854055,5,4,2,3,4,3,3,4,5,3
857758,5,5,4,1,3,5,1,3,5,1
282285,3,4,1,4,3,3,5,4,3,5
471649,3,1,3,2,2,3,1,3,5,5
645245,1,3,1,5,2,2,1,2,5,4
394124,5,1,5,5,4,5,4,2,3,4
110719,3,3,5,1,3,5,5,1,3,1
628275,3,1,1,3,5,1,5,5,5,3
555042,5,5,4,2,1,3,1,3,1,5
393050,1,2,2,4,3,4,5,2,1,2
399278,4,1,3,2,5,5,4,2,1,2
214200,5,2,5,4,5,2,1,3,3,4
513449,4,4,2,5,1,2,2,5,5,1
752334,3,4,1,4,4,2,1,1,2,2
435561,5,1,5,2,3,2,1,1,5,5
124135,2,5,1,3,4,4,2,4,5,5
425438,2,5,5,3,2,5,3,4,3,4
461910,2,4,3,1,2,5,3,2,2,3
220781,1,4,5,1,2,4,4,2,5,2
810221,1,3,1,3,2,3,4,2,1,1
556201,2,1,3,5,2,2,2,1,5,4
545548,5,3,1,5,2,1,3,5,2,4
589232,2,5,3,4,5,5,3,5,1,3
374015,5,1,4,5,2,2,1,5,5,1
144922,5,5,3,2,4,4,4,4,4,3
421323,1,4,1,1,3,3,5,1,1,2
707580,1,1,5,4,5,5,4,2,4,1
123417,4,3,1,3,4,4,2,1,3,5
