Evolution Group,#,Name,Total,HP,Attack,Defense,Special Attack,Special Defense,Speed,Evolving from,Evolving to,Level,Condition,Evolution Type,First Evolution
Makuhita, 296,Makuhita,237,72,60,30,20,30,25,,Hariyama,24,,Level,
Pichu, 026,Raichu,475,60,90,55,90,80,100,Pikachu,,,,,Pichu
Psyduck, 054,Psyduck,320,50,52,48,65,50,55,,Golduck,33,,Level,
Chikorita, 153,Bayleef,405,60,62,80,63,80,60,Chikorita,Meganium,32,,Level,
Nidoran♀, 029,Nidoran♀,275,55,47,52,40,40,41,,Nidorina,16,,Level,
Eevee, 133,Eevee,325,55,55,50,45,65,55,,Flareon,,Fire Stone,Stone,
Slowpoke, 080,Slowbro,490,95,75,110,100,80,30,Slowpoke,,,,,
Cacnea, 332,Cacturne,475,70,115,60,115,60,55,Cacnea,,,,,
Lileep, 345,Lileep,355,66,41,77,61,87,23,,Cradily,40,,Level,
Farfetch'd, 083,Farfetch'd,352,52,65,55,58,62,60,,,,,,
Vulpix, 037,Vulpix,299,38,41,40,50,65,65,,Ninetales,,Fire Stone,Stone,
Chikorita, 154,Meganium,525,80,82,100,83,100,80,Bayleef,,,,,Chikorita
Zubat, 042,Golbat,455,75,80,70,65,75,90,Zubat,Crobat,,,Happiness,
Relicanth, 369,Relicanth,485,100,90,130,45,65,55,,,,,,
Venonat, 048,Venonat,305,60,55,50,40,55,45,,Venomoth,31,,Level,
Koffing, 110,Weezing,490,65,90,120,85,70,60,Koffing,,,,,
Hoothoot, 163,Hoothoot,262,60,30,30,36,56,50,,Noctowl,20,,Level,
Wynaut, 202,Wobbuffet,405,190,33,58,33,58,33,Wynaut,,,,,
Mawile, 303,Mawile,380,50,85,85,55,55,50,,,,,,
Tangela, 114,Tangela,435,65,55,115,100,40,60,,,,,,
Drowzee, 096,Drowzee,328,60,48,45,43,90,42,,Hypno,26,,Level,
Grimer, 089,Muk,500,105,105,75,65,100,50,Grimer,,,,,
Cacnea, 331,Cacnea,335,50,85,40,85,40,35,,Cacturne,32,,Level,
Mime Jr., 122,Mr. Mime,460,40,45,65,100,120,90,Mime Jr.,,,,,
Slakoth, 287,Slakoth,280,60,60,60,35,35,30,,Vigoroth,18,,Level,
Zangoose, 335,Zangoose,458,73,115,60,60,60,90,,,,,,
Swinub, 221,Piloswine,450,100,100,80,60,60,50,Swinub,,,,,
Chinchou, 170,Chinchou,330,75,38,38,56,56,67,,Lanturn,27,,Level,
Gastly, 092,Gastly,310,30,35,30,100,35,80,,Haunter,25,,Level,
Seel, 086,Seel,325,65,45,55,45,70,45,,Dewgong,34,,Level,
Gulpin, 317,Swalot,467,100,73,83,73,83,55,Gulpin,,,,,
Beldum, 375,Metang,420,60,75,100,55,80,50,Beldum,Metagross,45,,Level,
Exeggcute, 103,Exeggutor,520,95,95,85,125,65,55,Exeggcute,,,,,
Tentacool, 073,Tentacruel,515,80,70,65,80,120,100,Tentacool,,,,,
Gulpin, 316,Gulpin,302,70,43,53,43,53,40,,Swalot,26,,Level,
Tentacool, 072,Tentacool,335,40,40,35,50,100,70,,Tentacruel,30,,Level,
Delibird, 225,Delibird,330,45,55,45,65,45,75,,,,,,
Nidoran♀, 030,Nidorina,365,70,62,67,55,55,56,Nidoran♀,Nidoqueen,,Moon Stone,Stone,
Pidgey, 018,Pidgeot,469,83,80,75,70,70,91,Pidgeotto,,,,,Pidgey
Torchic, 255,Torchic,310,45,60,40,70,50,45,,Combusken,16,,Level,
Larvitar, 247,Pupitar,410,70,84,70,65,70,51,Larvitar,Tyranitar,55,,Level,
Spinarak, 168,Ariados,390,70,90,70,60,60,40,Spinarak,,,,,
Aron, 306,Aggron,530,70,110,180,60,60,50,Lairon,,,,,Aron
Cyndaquil, 155,Cyndaquil,309,39,52,43,60,50,65,,Quilava,14,,Level,
Cyndaquil, 157,Typhlosion,534,78,84,78,109,85,100,Quilava,,,,,Cyndaquil
Latias, 380,Latias,600,80,80,90,110,130,110,,,,,,
Treecko, 253,Grovyle,405,50,65,45,85,65,95,Treecko,Sceptile,36,,Level,
Poochyena, 262,Mightyena,420,70,90,70,60,60,70,Poochyena,,,,,
Feebas, 350,Milotic,540,95,60,79,100,125,81,Feebas,,,,,
Eevee, 135,Jolteon,525,65,65,60,110,95,130,Eevee,,,,,
Krabby, 098,Krabby,325,30,105,90,25,25,50,,Kingler,28,,Level,
Drowzee, 097,Hypno,483,85,73,70,73,115,67,Drowzee,,,,,
Nincada, 290,Nincada,266,31,45,90,30,30,40,,Shedinja,20,with empty spot in party,Level,
Sentret, 162,Furret,415,85,76,64,45,55,90,Sentret,,,,,
Carvanha, 318,Carvanha,305,45,90,20,65,20,65,,Sharpedo,30,,Level,
Seviper, 336,Seviper,458,73,100,60,100,60,65,,,,,,
Magby, 126,Magmar,495,65,95,57,100,85,93,Magby,,,,,
Eevee, 136,Flareon,525,65,130,60,95,110,65,Eevee,,,,,
Registeel, 379,Registeel,580,80,75,150,75,150,50,,,,,,
Pidgey, 016,Pidgey,251,40,45,40,35,35,56,,Pidgeotto,18,,Level,
